name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	11447	7124	18571	0.00288
Bradyrhizobium sp. CCBAU 51753	1325100	S	3889	2847	6736	0.00104
Bradyrhizobium sp. BTAi1	288000	S	3070	1660	4730	0.00073
Bradyrhizobium sp. CCGE-LA001	1223566	S	2970	2769	5739	0.00089
Bradyrhizobium sp. ORS 278	114615	S	2912	2032	4944	0.00077
Bradyrhizobium sp. CCBAU 51765	1325102	S	2872	3052	5924	0.00092
Bradyrhizobium sp. 6(2017)	1197460	S	2825	2211	5036	0.00078
Bradyrhizobium sp. ORS 285	115808	S	2812	2007	4819	0.00075
Bradyrhizobium sp. SK17	2057741	S	2639	2689	5328	0.00083
Bradyrhizobium sp. CCBAU 53421	1325120	S	2463	2444	4907	0.00076
Bradyrhizobium sp. PSBB068	2715960	S	2286	2353	4639	0.00072
Bradyrhizobium sp. 1(2017)	1404888	S	1940	2022	3962	0.00061
Bradyrhizobium sp. CCBAU 53351	1325114	S	1809	3102	4911	0.00076
Bradyrhizobium sp. CCBAU 53340	1325112	S	1759	2462	4221	0.00065
Bradyrhizobium sp. CCBAU 53338	1325111	S	1711	2502	4213	0.00065
Bradyrhizobium sp.	376	S	1229	4862	6091	0.00094
Bradyrhizobium sp. WSM471	319017	S	561	2782	3343	0.00052
Bradyrhizobium sp. LCT2	2493093	S	287	1679	1966	0.00030
Bradyrhizobium sp. SG09	2599805	S	141	2341	2482	0.00038
Bradyrhizobium sp. TM102	2599819	S	139	2371	2510	0.00039
Bradyrhizobium icense	1274631	S	12525	5691	18216	0.00282
Bradyrhizobium erythrophlei	1437360	S	11526	3468	14994	0.00232
Bradyrhizobium paxllaeri	190148	S	11441	7650	19091	0.00296
Bradyrhizobium diazoefficiens	1355477	S	7919	23977	31896	0.00494
Bradyrhizobium lablabi	722472	S	4010	8835	12845	0.00199
Bradyrhizobium genosp. L	83637	S	3130	2058	5188	0.00080
Bradyrhizobium oligotrophicum	44255	S	3034	1558	4592	0.00071
Bradyrhizobium canariense	255045	S	3004	870	3874	0.00060
Bradyrhizobium japonicum	375	S	2407	7894	10301	0.00160
Bradyrhizobium zhanjiangense	1325107	S	2156	1722	3878	0.00060
Bradyrhizobium vignae	1549949	S	1958	1560	3518	0.00055
Bradyrhizobium symbiodeficiens	1404367	S	1958	2683	4641	0.00072
Bradyrhizobium cosmicum	1404864	S	1949	2295	4244	0.00066
