name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	10104	5929	16033	0.00218
Bradyrhizobium sp. CCGE-LA001	1223566	S	3889	3492	7381	0.00100
Bradyrhizobium sp. CCBAU 51753	1325100	S	3309	2288	5597	0.00076
Bradyrhizobium sp. BTAi1	288000	S	2403	1197	3600	0.00049
Bradyrhizobium sp. ORS 285	115808	S	2240	1507	3747	0.00051
Bradyrhizobium sp. 6(2017)	1197460	S	2227	1684	3911	0.00053
Bradyrhizobium sp. ORS 278	114615	S	2091	1372	3463	0.00047
Bradyrhizobium sp. CCBAU 51765	1325102	S	2090	2126	4216	0.00057
Bradyrhizobium sp. SK17	2057741	S	2072	2040	4112	0.00056
Bradyrhizobium sp. CCBAU 53421	1325120	S	1929	1868	3797	0.00052
Bradyrhizobium sp. PSBB068	2715960	S	1850	1855	3705	0.00050
Bradyrhizobium sp. 1(2017)	1404888	S	1681	1692	3373	0.00046
Bradyrhizobium sp. CCBAU 53351	1325114	S	1464	2451	3915	0.00053
Bradyrhizobium sp. CCBAU 53340	1325112	S	1322	1806	3128	0.00043
Bradyrhizobium sp. CCBAU 53338	1325111	S	1305	1861	3166	0.00043
Bradyrhizobium sp.	376	S	973	3933	4906	0.00067
Bradyrhizobium sp. WSM471	319017	S	470	2445	2915	0.00040
Bradyrhizobium sp. LCT2	2493093	S	193	1114	1307	0.00018
Bradyrhizobium sp. SG09	2599805	S	117	1944	2061	0.00028
Bradyrhizobium paxllaeri	190148	S	10547	6590	17137	0.00233
Bradyrhizobium icense	1274631	S	10302	4273	14575	0.00198
Bradyrhizobium erythrophlei	1437360	S	9967	2674	12641	0.00172
Bradyrhizobium diazoefficiens	1355477	S	6332	18752	25084	0.00341
Bradyrhizobium lablabi	722472	S	3472	7423	10895	0.00148
Bradyrhizobium canariense	255045	S	2750	714	3464	0.00047
Bradyrhizobium genosp. L	83637	S	2637	1586	4223	0.00057
Bradyrhizobium oligotrophicum	44255	S	2310	1062	3372	0.00046
Bradyrhizobium japonicum	375	S	1929	5981	7910	0.00108
Bradyrhizobium symbiodeficiens	1404367	S	1861	2422	4283	0.00058
Bradyrhizobium guangdongense	1325090	S	1839	2471	4310	0.00059
Bradyrhizobium cosmicum	1404864	S	1735	1942	3677	0.00050
Bradyrhizobium vignae	1549949	S	1635	1225	2860	0.00039
