name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium rhizoryzae	451876	S	53950	7164	61114	0.00464
Rhizobium sp. BG4	2613770	S	7434	1914	9348	0.00071
Rhizobium sp. WL3	2603277	S	5180	1335	6515	0.00050
Rhizobium sp. ACO-34A	1571470	S	3557	1089	4646	0.00035
Rhizobium sp. ADMK78	1813451	S	2338	414	2752	0.00021
Rhizobium sp. NXC24	2048897	S	2284	570	2854	0.00022
Rhizobium sp. 11515TR	2028343	S	2185	572	2757	0.00021
Rhizobium sp. Khangiran2	1435607	S	1473	1895	3368	0.00026
Rhizobium sp. NZLR1	2731096	S	1472	1052	2524	0.00019
Rhizobium sp. CIAT894	2020312	S	1338	1100	2438	0.00019
Rhizobium sp. TCK	136098	S	1223	3844	5067	0.00039
Rhizobium sp. NLR16a	2731112	S	1091	1141	2232	0.00017
Rhizobium sp. NXC14	1981173	S	1051	938	1989	0.00015
Rhizobium sp. ZX09	2291939	S	673	3164	3837	0.00029
Rhizobium sp. 007	2785056	S	461	741	1202	0.00009
Rhizobium sp. IE4771	1301032	S	414	1230	1644	0.00012
Rhizobium sp. Kim5	2020311	S	408	1489	1897	0.00014
Rhizobium sp. S41	1869170	S	379	3320	3699	0.00028
Rhizobium sp. NIBRBAC000502774	2590777	S	218	407	625	0.00005
Rhizobium sp. TAL182	2020313	S	194	954	1148	0.00009
Rhizobium sp. CCGE531	2364271	S	110	4915	5025	0.00038
Rhizobium leguminosarum	384	S	13769	28338	42107	0.00320
Rhizobium pseudoryzae	379684	S	4533	1166	5699	0.00043
Rhizobium etli	29449	S	3886	8026	11912	0.00091
Rhizobium rosettiformans	1368430	S	3850	1718	5568	0.00042
Rhizobium daejeonense	240521	S	2669	1249	3918	0.00030
Rhizobium favelukesii	348824	S	2656	668	3324	0.00025
Rhizobium jaguaris	1312183	S	2622	551	3173	0.00024
Rhizobium phaseoli	396	S	2401	8010	10411	0.00079
Rhizobium tropici	398	S	2131	1027	3158	0.00024
Rhizobium lusitanum	293958	S	2110	599	2709	0.00021
Rhizobium bangladeshense	1138189	S	2065	1101	3166	0.00024
Rhizobium flavum	1335061	S	2041	2006	4047	0.00031
Rhizobium gallicum	56730	S	1618	3055	4673	0.00036
Rhizobium lentis	1138194	S	1573	991	2564	0.00019
Rhizobium pusense	648995	S	1458	5537	6995	0.00053
Rhizobium binae	1138190	S	1406	1071	2477	0.00019
Rhizobium oryzihabitans	2267833	S	1351	907	2258	0.00017
Rhizobium acidisoli	1538158	S	882	1000	1882	0.00014
Rhizobium indicum	2583231	S	800	1247	2047	0.00016
Rhizobium hidalgonense	1538159	S	378	1168	1546	0.00012
Rhizobium selenitireducens	448181	S	221	883	1104	0.00008
Rhizobium ruizarguesonis	2081791	S	195	1196	1391	0.00011
Agrobacterium tumefaciens	358	S	23647	22391	46038	0.00350
Agrobacterium fabrum	1176649	S	1274	2389	3663	0.00028
Agrobacterium fabacearum	1183401	S	288	2406	2694	0.00020
Agrobacterium sp. T29	2580515	S	2554	2797	5351	0.00041
Agrobacterium sp. MA01	2664893	S	1097	2719	3816	0.00029
Agrobacterium sp. RAC06	1842536	S	828	2213	3041	0.00023
Agrobacterium sp. CGMCC 11546	2579248	S	461	1146	1607	0.00012
Agrobacterium vitis	373	S	4166	743	4909	0.00037
Agrobacterium rhizogenes	359	S	2214	3044	5258	0.00040
Agrobacterium larrymoorei	160699	S	1636	289	1925	0.00015
Agrobacterium rubi	28099	S	1499	357	1856	0.00014
Agrobacterium deltaense	1183412	S	103	1439	1542	0.00012
Neorhizobium galegae	399	S	37853	7823	45676	0.00347
Neorhizobium sp. SOG26	2060726	S	3503	832	4335	0.00033
Neorhizobium sp. NCHU2750	1825976	S	3364	897	4261	0.00032
Pseudorhizobium banfieldiae	1125847	S	1078	3030	4108	0.00031
Sinorhizobium meliloti	382	S	28478	15285	43763	0.00333
Sinorhizobium sp. RAC02	1842534	S	12004	4316	16320	0.00124
Sinorhizobium sp. BG8	2613773	S	4030	853	4883	0.00037
Sinorhizobium sp. CCBAU 05631	794846	S	444	1023	1467	0.00011
Sinorhizobium sp. M14	430451	S	147	170	317	0.00002
Sinorhizobium fredii	380	S	11563	21205	32768	0.00249
Sinorhizobium medicae	110321	S	4102	1077	5179	0.00039
Sinorhizobium americanum	194963	S	3252	1945	5197	0.00039
Ensifer adhaerens	106592	S	8068	5223	13291	0.00101
Ensifer mexicanus	375549	S	4250	1033	5283	0.00040
Ensifer sp. PDNC004	2811423	S	3450	1933	5383	0.00041
Ensifer alkalisoli	1752398	S	3358	1319	4677	0.00036
Ensifer sojae	716925	S	2714	1608	4322	0.00033
Shinella sp. HZN7	879274	S	65723	39999	105722	0.00803
Shinella sp. PSBB067	2715959	S	17656	12802	30458	0.00231
Kaistia sp. 32K	2795690	S	6538	1683	8221	0.00062
Ciceribacter thiooxidans	1969821	S	4186	1114	5300	0.00040
Georhizobium profundi	2341112	S	3790	844	4634	0.00035
Bradyrhizobium sp. CCBAU 051011	858422	S	5437	2751	8188	0.00062
Bradyrhizobium sp. BTAi1	288000	S	4946	2025	6971	0.00053
Bradyrhizobium sp. SK17	2057741	S	4740	3882	8622	0.00066
Bradyrhizobium sp. CCBAU 51765	1325102	S	4697	3968	8665	0.00066
Bradyrhizobium sp. CCBAU 51753	1325100	S	4532	2668	7200	0.00055
Bradyrhizobium sp. ORS 278	114615	S	3829	2082	5911	0.00045
Bradyrhizobium sp. ORS 285	115808	S	3741	2087	5828	0.00044
Bradyrhizobium sp. PSBB068	2715960	S	3658	3085	6743	0.00051
Bradyrhizobium sp. 6(2017)	1197460	S	3261	2082	5343	0.00041
