name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	1021	611	1632	0.00067
Bradyrhizobium sp. CCBAU 51753	1325100	S	761	527	1288	0.00053
Bradyrhizobium sp. BTAi1	288000	S	695	357	1052	0.00043
Bradyrhizobium sp. ORS 278	114615	S	662	434	1096	0.00045
Bradyrhizobium sp. CCBAU 51765	1325102	S	633	640	1273	0.00052
Bradyrhizobium sp. ORS 285	115808	S	595	399	994	0.00041
Bradyrhizobium sp. 6(2017)	1197460	S	510	373	883	0.00036
Bradyrhizobium sp. SK17	2057741	S	461	443	904	0.00037
Bradyrhizobium sp. CCGE-LA001	1223566	S	459	404	863	0.00035
Bradyrhizobium sp. CCBAU 53421	1325120	S	441	407	848	0.00035
Bradyrhizobium sp. 1(2017)	1404888	S	428	420	848	0.00035
Bradyrhizobium sp. PSBB068	2715960	S	418	400	818	0.00034
Bradyrhizobium sp. CCBAU 53338	1325111	S	371	516	887	0.00036
Bradyrhizobium sp. CCBAU 53351	1325114	S	367	599	966	0.00040
Bradyrhizobium sp. CCBAU 53340	1325112	S	361	481	842	0.00035
Bradyrhizobium sp.	376	S	323	1167	1490	0.00061
Bradyrhizobium sp. WSM471	319017	S	119	522	641	0.00026
Bradyrhizobium erythrophlei	1437360	S	1928	565	2493	0.00102
Bradyrhizobium diazoefficiens	1355477	S	1697	4918	6615	0.00272
Bradyrhizobium icense	1274631	S	1090	482	1572	0.00065
Bradyrhizobium paxllaeri	190148	S	1079	700	1779	0.00073
Bradyrhizobium lablabi	722472	S	694	1490	2184	0.00090
Bradyrhizobium oligotrophicum	44255	S	609	303	912	0.00037
Bradyrhizobium genosp. L	83637	S	568	363	931	0.00038
Bradyrhizobium japonicum	375	S	522	1460	1982	0.00081
Bradyrhizobium zhanjiangense	1325107	S	515	396	911	0.00037
Bradyrhizobium guangdongense	1325090	S	477	637	1114	0.00046
Bradyrhizobium canariense	255045	S	475	134	609	0.00025
Bradyrhizobium symbiodeficiens	1404367	S	456	602	1058	0.00044
Bradyrhizobium vignae	1549949	S	431	331	762	0.00031
Bradyrhizobium guangxiense	1325115	S	421	643	1064	0.00044
Bradyrhizobium genosp. B	83627	S	400	298	698	0.00029
Bradyrhizobium cosmicum	1404864	S	394	446	840	0.00035
