name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCGE-LA001	1223566	S	1638	1646	3284	0.00474
Bradyrhizobium sp. CCBAU 051011	858422	S	979	653	1632	0.00236
Bradyrhizobium sp. CCBAU 51765	1325102	S	407	470	877	0.00127
Bradyrhizobium sp. CCBAU 51753	1325100	S	377	298	675	0.00098
Bradyrhizobium sp. 1(2017)	1404888	S	302	340	642	0.00093
Bradyrhizobium sp. CCBAU 53351	1325114	S	289	537	826	0.00119
Bradyrhizobium sp. 6(2017)	1197460	S	242	201	443	0.00064
Bradyrhizobium sp. BTAi1	288000	S	238	141	379	0.00055
Bradyrhizobium sp. CCBAU 53421	1325120	S	227	239	466	0.00067
Bradyrhizobium sp. SK17	2057741	S	221	241	462	0.00067
Bradyrhizobium sp. ORS 285	115808	S	215	166	381	0.00055
Bradyrhizobium sp. ORS 278	114615	S	188	142	330	0.00048
Bradyrhizobium sp. PSBB068	2715960	S	170	186	356	0.00051
Bradyrhizobium sp. CCBAU 53338	1325111	S	163	258	421	0.00061
Bradyrhizobium sp. CCBAU 53340	1325112	S	141	214	355	0.00051
Bradyrhizobium sp.	376	S	124	512	636	0.00092
Bradyrhizobium paxllaeri	190148	S	1116	802	1918	0.00277
Bradyrhizobium icense	1274631	S	994	489	1483	0.00214
Bradyrhizobium erythrophlei	1437360	S	906	300	1206	0.00174
Bradyrhizobium diazoefficiens	1355477	S	847	2877	3724	0.00538
Bradyrhizobium lablabi	722472	S	333	778	1111	0.00160
Bradyrhizobium canariense	255045	S	263	84	347	0.00050
Bradyrhizobium guangdongense	1325090	S	263	396	659	0.00095
Bradyrhizobium zhanjiangense	1325107	S	261	228	489	0.00071
Bradyrhizobium genosp. L	83637	S	253	183	436	0.00063
Bradyrhizobium vignae	1549949	S	248	218	466	0.00067
Bradyrhizobium oligotrophicum	44255	S	233	135	368	0.00053
Bradyrhizobium symbiodeficiens	1404367	S	224	337	561	0.00081
Bradyrhizobium guangxiense	1325115	S	213	372	585	0.00084
Bradyrhizobium japonicum	375	S	206	759	965	0.00139
Bradyrhizobium arachidis	858423	S	189	206	395	0.00057
Bradyrhizobium genosp. B	83627	S	161	136	297	0.00043
Bradyrhizobium cosmicum	1404864	S	159	205	364	0.00053
Bradyrhizobium guangzhouense	1325095	S	148	223	371	0.00054
Bradyrhizobium amphicarpaeae	1404768	S	144	227	371	0.00054
Bradyrhizobium betae	244734	S	112	177	289	0.00042
Bosea sp. Tri-49	1867715	S	756	394	1150	0.00166
Bosea sp. AS-1	2015316	S	424	259	683	0.00099
Bosea sp. ANAM02	2020412	S	422	269	691	0.00100
Bosea sp. F3-2	2599640	S	406	253	659	0.00095
Bosea sp. RAC05	1842539	S	287	162	449	0.00065
Bosea sp. PAMC 26642	1792307	S	224	116	340	0.00049
Bosea vaviloviae	1526658	S	272	152	424	0.00061
Rhodopseudomonas palustris	1076	S	1386	1240	2626	0.00379
Nitrobacter winogradskyi	913	S	419	209	628	0.00091
Nitrobacter hamburgensis	912	S	412	171	583	0.00084
Tardiphaga robiniae	943830	S	166	74	240	0.00035
Afipia sp. GAS231	1882747	S	225	290	515	0.00074
Afipia carboxidovorans	40137	S	146	0	146	0.00021
Variibacter gotjawalensis	1333996	S	242	63	305	0.00044
Rhizobium sp. BG4	2613770	S	110	306	416	0.00060
