name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	11509	7153	18662	0.00293
Bradyrhizobium sp. CCGE-LA001	1223566	S	5221	4883	10104	0.00159
Bradyrhizobium sp. CCBAU 51753	1325100	S	3750	2728	6478	0.00102
Bradyrhizobium sp. BTAi1	288000	S	2578	1381	3959	0.00062
Bradyrhizobium sp. ORS 285	115808	S	2570	1821	4391	0.00069
Bradyrhizobium sp. 6(2017)	1197460	S	2504	1955	4459	0.00070
Bradyrhizobium sp. SK17	2057741	S	2463	2516	4979	0.00078
Bradyrhizobium sp. ORS 278	114615	S	2454	1699	4153	0.00065
Bradyrhizobium sp. CCBAU 53421	1325120	S	2134	2116	4250	0.00067
Bradyrhizobium sp. PSBB068	2715960	S	2061	2117	4178	0.00066
Bradyrhizobium sp. 1(2017)	1404888	S	1955	2045	4000	0.00063
Bradyrhizobium sp. CCBAU 51765	1325102	S	1850	1976	3826	0.00060
Bradyrhizobium sp. CCBAU 53351	1325114	S	1595	2772	4367	0.00069
Bradyrhizobium sp. CCBAU 53338	1325111	S	1538	2279	3817	0.00060
Bradyrhizobium sp. CCBAU 53340	1325112	S	1518	2153	3671	0.00058
Bradyrhizobium sp.	376	S	1096	4389	5485	0.00086
Bradyrhizobium sp. WSM471	319017	S	510	2551	3061	0.00048
Bradyrhizobium sp. LCT2	2493093	S	213	1270	1483	0.00023
Bradyrhizobium sp. SG09	2599805	S	135	2284	2419	0.00038
Bradyrhizobium sp. TM102	2599819	S	112	1944	2056	0.00032
Bradyrhizobium icense	1274631	S	12199	5492	17691	0.00278
Bradyrhizobium paxllaeri	190148	S	12100	8080	20180	0.00317
Bradyrhizobium erythrophlei	1437360	S	10344	3060	13404	0.00210
Bradyrhizobium diazoefficiens	1355477	S	6907	21271	28178	0.00442
Bradyrhizobium lablabi	722472	S	3633	8048	11681	0.00183
Bradyrhizobium genosp. L	83637	S	2972	1941	4913	0.00077
Bradyrhizobium canariense	255045	S	2921	834	3755	0.00059
Bradyrhizobium oligotrophicum	44255	S	2674	1358	4032	0.00063
Bradyrhizobium japonicum	375	S	2126	6251	8377	0.00131
Bradyrhizobium symbiodeficiens	1404367	S	1915	2649	4564	0.00072
Bradyrhizobium zhanjiangense	1325107	S	1752	1407	3159	0.00050
Bradyrhizobium guangdongense	1325090	S	1743	2452	4195	0.00066
Bradyrhizobium cosmicum	1404864	S	1728	2050	3778	0.00059
Bradyrhizobium arachidis	858423	S	1711	1726	3437	0.00054
Bradyrhizobium genosp. B	83627	S	1630	1261	2891	0.00045
Bradyrhizobium vignae	1549949	S	1621	1297	2918	0.00046
Bradyrhizobium guangzhouense	1325095	S	1529	2150	3679	0.00058
Bradyrhizobium guangxiense	1325115	S	1492	2414	3906	0.00061
Bradyrhizobium amphicarpaeae	1404768	S	1078	1564	2642	0.00041
Bradyrhizobium betae	244734	S	1010	1495	2505	0.00039
Bradyrhizobium ottawaense	931866	S	438	6051	6489	0.00102
Bosea sp. Tri-49	1867715	S	2752	1318	4070	0.00064
Bosea sp. F3-2	2599640	S	2651	1578	4229	0.00066
Bosea sp. ANAM02	2020412	S	2451	1513	3964	0.00062
Bosea sp. RAC05	1842539	S	2297	1212	3509	0.00055
Bosea sp. AS-1	2015316	S	2005	1178	3183	0.00050
Bosea sp. PAMC 26642	1792307	S	1900	927	2827	0.00044
Bosea vaviloviae	1526658	S	2036	1022	3058	0.00048
Rhodopseudomonas palustris	1076	S	15127	12074	27201	0.00427
Nitrobacter hamburgensis	912	S	4559	1780	6339	0.00099
Nitrobacter winogradskyi	913	S	2385	1120	3505	0.00055
Afipia sp. GAS231	1882747	S	2583	3423	6006	0.00094
Afipia carboxidovorans	40137	S	1803	537	2340	0.00037
Tardiphaga robiniae	943830	S	1912	752	2664	0.00042
Variibacter gotjawalensis	1333996	S	2907	634	3541	0.00056
Rhizobium sp. BG4	2613770	S	1060	413	1473	0.00023
Rhizobium sp. WL3	2603277	S	712	281	993	0.00016
Rhizobium sp. ACO-34A	1571470	S	708	296	1004	0.00016
Rhizobium sp. NXC24	2048897	S	608	237	845	0.00013
Rhizobium sp. 11515TR	2028343	S	608	270	878	0.00014
Rhizobium sp. NZLR1	2731096	S	538	563	1101	0.00017
Rhizobium sp. CIAT894	2020312	S	499	614	1113	0.00017
Rhizobium sp. NXC14	1981173	S	399	583	982	0.00015
Rhizobium sp. NLR16a	2731112	S	387	675	1062	0.00017
Rhizobium sp. ADMK78	1813451	S	351	100	451	0.00007
Rhizobium sp. Khangiran2	1435607	S	310	609	919	0.00014
Rhizobium sp. 007	2785056	S	230	398	628	0.00010
Rhizobium sp. Kim5	2020311	S	157	901	1058	0.00017
Rhizobium sp. TCK	136098	S	129	614	743	0.00012
Rhizobium sp. IE4771	1301032	S	122	564	686	0.00011
Rhizobium leguminosarum	384	S	4613	10553	15166	0.00238
Rhizobium etli	29449	S	1400	3041	4441	0.00070
Rhizobium phaseoli	396	S	839	2760	3599	0.00056
Rhizobium pseudoryzae	379684	S	836	310	1146	0.00018
Rhizobium favelukesii	348824	S	823	254	1077	0.00017
Rhizobium jaguaris	1312183	S	735	207	942	0.00015
Rhizobium gallicum	56730	S	627	1196	1823	0.00029
Rhizobium bangladeshense	1138189	S	627	397	1024	0.00016
Rhizobium lusitanum	293958	S	590	234	824	0.00013
Rhizobium lentis	1138194	S	547	407	954	0.00015
Rhizobium tropici	398	S	509	282	791	0.00012
Rhizobium binae	1138190	S	505	441	946	0.00015
Rhizobium rosettiformans	1368430	S	504	324	828	0.00013
Rhizobium daejeonense	240521	S	446	239	685	0.00011
