name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51765	1325102	S	550	942	1492	0.00803
Bradyrhizobium sp. CCBAU 051011	858422	S	368	354	722	0.00389
Bradyrhizobium sp. CCGE-LA001	1223566	S	208	331	539	0.00290
Bradyrhizobium sp. 1(2017)	1404888	S	149	265	414	0.00223
Bradyrhizobium sp. CCBAU 51753	1325100	S	147	190	337	0.00181
Bradyrhizobium sp. CCBAU 53351	1325114	S	122	317	439	0.00237
Bradyrhizobium sp. BTAi1	288000	S	116	114	230	0.00124
Bradyrhizobium sp. ORS 285	115808	S	104	138	242	0.00130
Bradyrhizobium sp. ORS 278	114615	S	102	133	235	0.00127
Bradyrhizobium icense	1274631	S	430	302	732	0.00395
Bradyrhizobium erythrophlei	1437360	S	411	201	612	0.00330
Bradyrhizobium diazoefficiens	1355477	S	380	1762	2142	0.01154
Bradyrhizobium paxllaeri	190148	S	363	361	724	0.00390
Bradyrhizobium vignae	1549949	S	195	238	433	0.00233
Bradyrhizobium lablabi	722472	S	143	434	577	0.00311
Bradyrhizobium symbiodeficiens	1404367	S	137	279	416	0.00225
Bradyrhizobium guangxiense	1325115	S	131	305	436	0.00235
Bradyrhizobium oligotrophicum	44255	S	120	103	223	0.00120
Bradyrhizobium genosp. L	83637	S	114	118	232	0.00125
Bradyrhizobium guangdongense	1325090	S	103	207	310	0.00167
Bradyrhizobium japonicum	375	S	102	346	448	0.00242
Bradyrhizobium genosp. B	83627	S	100	119	219	0.00118
Bosea sp. AS-1	2015316	S	159	139	298	0.00161
Bosea sp. F3-2	2599640	S	135	124	259	0.00140
Bosea sp. ANAM02	2020412	S	124	113	237	0.00128
Bosea sp. Tri-49	1867715	S	115	92	207	0.00112
Rhodopseudomonas palustris	1076	S	570	771	1341	0.00722
Nitrobacter hamburgensis	912	S	106	64	170	0.00092
Variibacter gotjawalensis	1333996	S	101	43	144	0.00078
Rhizobium sp. BG4	2613770	S	120	168	288	0.00155
Rhizobium leguminosarum	384	S	222	1237	1459	0.00786
Agrobacterium tumefaciens	358	S	112	444	556	0.00300
Sinorhizobium meliloti	382	S	514	547	1061	0.00572
Sinorhizobium fredii	380	S	218	756	974	0.00525
Ensifer adhaerens	106592	S	143	214	357	0.00192
Kaistia sp. 32K	2795690	S	101	80	181	0.00098
Mesorhizobium sp. 8	2584466	S	202	603	805	0.00434
Mesorhizobium sp. N3	675281	S	163	281	444	0.00240
Mesorhizobium sp. J8	2777475	S	109	1037	1146	0.00618
Mesorhizobium oceanicum	1670800	S	116	219	335	0.00181
Methylobacterium sp. 4-46	426117	S	128	255	383	0.00207
Methylobacterium nodulans	114616	S	142	147	289	0.00156
Methylobacterium aquaticum	270351	S	123	649	772	0.00416
Microvirga sp. VF16	2807101	S	398	190	588	0.00317
Microvirga sp. 17 mud 1-3	2082949	S	120	88	208	0.00112
Microvirga ossetica	1882682	S	357	181	538	0.00290
Microvirga thermotolerans	2651334	S	140	137	277	0.00150
Methylorubrum populi	223967	S	110	383	493	0.00266
Rhodoplanes sp. Z2-YC6860	674703	S	607	293	900	0.00485
Devosia sp. A16	1736675	S	190	198	388	0.00209
Hyphomicrobium sp. MC1	717785	S	139	42	181	0.00098
Hyphomicrobium denitrificans	53399	S	130	43	173	0.00093
Pseudolabrys sp. FHR47	2562284	S	245	176	421	0.00227
Pseudolabrys taiwanensis	331696	S	205	132	337	0.00182
Starkeya novella	921	S	209	13165	13374	0.07202
Starkeya sp. ORNL1	2709380	S	118	84	202	0.00109
Xanthobacter sp. YN2	2528964	S	134	94	228	0.00123
Labrys sp. KNU-23	2789216	S	132	69	201	0.00109
Pseudorhodoplanes sinuspersici	1235591	S	235	90	325	0.00176
Nordella sp. HKS 07	2712222	S	200	71	271	0.00146
Brucella intermedia	94625	S	153	238	391	0.00211
Chelatococcus sp. CO-6	1702325	S	118	202	320	0.00173
Sphingomonas sp. sand1-3	2764186	S	279	427	706	0.00380
Sphingomonas sp. HDW15C	2714944	S	258	397	655	0.00353
Sphingomonas sp. HDW15B	2714943	S	193	198	391	0.00211
Sphingomonas sp. HDW15A	2714942	S	188	175	363	0.00196
Sphingomonas sediminicola	386874	S	403	354	757	0.00408
Sphingomonas lutea	1045317	S	328	424	752	0.00405
Sphingomonas daechungensis	1176646	S	319	278	597	0.00322
Sphingomonas ginsengisoli An et al. 2013	363835	S	222	303	525	0.00283
