name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	9777	5957	15734	0.00370
Bradyrhizobium sp. CCGE-LA001	1223566	S	3851	3561	7412	0.00174
Bradyrhizobium sp. CCBAU 51753	1325100	S	3155	2288	5443	0.00128
Bradyrhizobium sp. CCBAU 51765	1325102	S	2550	2671	5221	0.00123
Bradyrhizobium sp. BTAi1	288000	S	2153	1165	3318	0.00078
Bradyrhizobium sp. 6(2017)	1197460	S	2125	1654	3779	0.00089
Bradyrhizobium sp. ORS 278	114615	S	2109	1473	3582	0.00084
Bradyrhizobium sp. ORS 285	115808	S	2012	1437	3449	0.00081
Bradyrhizobium sp. SK17	2057741	S	2011	2046	4057	0.00095
Bradyrhizobium sp. CCBAU 53421	1325120	S	1846	1825	3671	0.00086
Bradyrhizobium sp. PSBB068	2715960	S	1705	1749	3454	0.00081
Bradyrhizobium sp. 1(2017)	1404888	S	1601	1651	3252	0.00076
Bradyrhizobium sp. CCBAU 53340	1325112	S	1367	1877	3244	0.00076
Bradyrhizobium sp. CCBAU 53351	1325114	S	1334	2242	3576	0.00084
Bradyrhizobium sp. CCBAU 53338	1325111	S	1326	1901	3227	0.00076
Bradyrhizobium sp.	376	S	908	3587	4495	0.00106
Bradyrhizobium sp. WSM471	319017	S	403	2027	2430	0.00057
Bradyrhizobium sp. LCT2	2493093	S	199	1135	1334	0.00031
Bradyrhizobium sp. SG09	2599805	S	129	2100	2229	0.00052
Bradyrhizobium icense	1274631	S	10306	4583	14889	0.00350
Bradyrhizobium paxllaeri	190148	S	9939	6490	16429	0.00386
Bradyrhizobium erythrophlei	1437360	S	8295	2448	10743	0.00253
Bradyrhizobium diazoefficiens	1355477	S	5919	21773	27692	0.00651
Bradyrhizobium lablabi	722472	S	2825	5993	8818	0.00207
Bradyrhizobium genosp. L	83637	S	2419	1559	3978	0.00094
Bradyrhizobium canariense	255045	S	2196	623	2819	0.00066
Bradyrhizobium oligotrophicum	44255	S	2141	1085	3226	0.00076
Bradyrhizobium japonicum	375	S	1824	5533	7357	0.00173
Bradyrhizobium zhanjiangense	1325107	S	1595	1248	2843	0.00067
Bradyrhizobium vignae	1549949	S	1526	1192	2718	0.00064
Bradyrhizobium symbiodeficiens	1404367	S	1463	1959	3422	0.00080
Bradyrhizobium arachidis	858423	S	1439	1407	2846	0.00067
Bradyrhizobium cosmicum	1404864	S	1409	1623	3032	0.00071
Bradyrhizobium guangdongense	1325090	S	1386	1879	3265	0.00077
Bradyrhizobium genosp. B	83627	S	1316	998	2314	0.00054
Bradyrhizobium guangxiense	1325115	S	1271	1978	3249	0.00076
Bradyrhizobium guangzhouense	1325095	S	1234	1669	2903	0.00068
Bradyrhizobium amphicarpaeae	1404768	S	940	1322	2262	0.00053
Bradyrhizobium betae	244734	S	797	1146	1943	0.00046
Bradyrhizobium ottawaense	931866	S	339	4463	4802	0.00113
Bosea sp. Tri-49	1867715	S	2395	1170	3565	0.00084
Bosea sp. F3-2	2599640	S	2047	1243	3290	0.00077
Bosea sp. ANAM02	2020412	S	1828	1143	2971	0.00070
Bosea sp. RAC05	1842539	S	1786	961	2747	0.00065
Bosea sp. AS-1	2015316	S	1656	987	2643	0.00062
Bosea sp. PAMC 26642	1792307	S	1483	735	2218	0.00052
Bosea vaviloviae	1526658	S	1725	876	2601	0.00061
Rhodopseudomonas palustris	1076	S	11853	10689	22542	0.00530
Tardiphaga robiniae	943830	S	1506	596	2102	0.00049
Afipia sp. GAS231	1882747	S	2072	2657	4729	0.00111
Afipia carboxidovorans	40137	S	1418	316	1734	0.00041
Nitrobacter hamburgensis	912	S	1464	585	2049	0.00048
Nitrobacter winogradskyi	913	S	1121	545	1666	0.00039
Variibacter gotjawalensis	1333996	S	2621	592	3213	0.00076
Rhizobium sp. BG4	2613770	S	717	280	997	0.00023
Rhizobium sp. NXC24	2048897	S	517	193	710	0.00017
Rhizobium sp. 11515TR	2028343	S	515	210	725	0.00017
Rhizobium sp. ACO-34A	1571470	S	498	210	708	0.00017
Rhizobium sp. WL3	2603277	S	451	182	633	0.00015
Rhizobium sp. NZLR1	2731096	S	348	334	682	0.00016
Rhizobium sp. CIAT894	2020312	S	303	336	639	0.00015
Rhizobium sp. IE4771	1301032	S	298	1168	1466	0.00034
Rhizobium sp. NXC14	1981173	S	295	372	667	0.00016
Rhizobium sp. NLR16a	2731112	S	294	440	734	0.00017
Rhizobium sp. ADMK78	1813451	S	257	74	331	0.00008
Rhizobium sp. Kim5	2020311	S	213	1034	1247	0.00029
Rhizobium sp. 007	2785056	S	191	323	514	0.00012
Rhizobium sp. Khangiran2	1435607	S	173	342	515	0.00012
Rhizobium leguminosarum	384	S	3422	7844	11266	0.00265
Rhizobium etli	29449	S	1392	3380	4772	0.00112
Rhizobium favelukesii	348824	S	703	225	928	0.00022
Rhizobium jaguaris	1312183	S	636	187	823	0.00019
Rhizobium phaseoli	396	S	617	1946	2563	0.00060
Rhizobium pseudoryzae	379684	S	614	239	853	0.00020
Rhizobium gallicum	56730	S	512	929	1441	0.00034
Rhizobium bangladeshense	1138189	S	482	308	790	0.00019
Rhizobium lusitanum	293958	S	475	205	680	0.00016
Rhizobium lentis	1138194	S	467	352	819	0.00019
Rhizobium tropici	398	S	380	214	594	0.00014
Rhizobium rosettiformans	1368430	S	367	255	622	0.00015
Rhizobium binae	1138190	S	358	315	673	0.00016
Rhizobium rhizoryzae	451876	S	326	66	392	0.00009
Rhizobium daejeonense	240521	S	318	174	492	0.00012
Rhizobium indicum	2583231	S	241	390	631	0.00015
Rhizobium flavum	1335061	S	238	329	567	0.00013
Rhizobium oryzihabitans	2267833	S	238	255	493	0.00012
Rhizobium acidisoli	1538158	S	199	239	438	0.00010
Rhizobium pusense	648995	S	183	1073	1256	0.00030
Agrobacterium tumefaciens	358	S	1605	2659	4264	0.00100
Agrobacterium fabrum	1176649	S	198	482	680	0.00016
Agrobacterium vitis	373	S	848	229	1077	0.00025
Agrobacterium sp. T29	2580515	S	102	414	516	0.00012
Agrobacterium rhizogenes	359	S	348	633	981	0.00023
Agrobacterium rubi	28099	S	284	104	388	0.00009
Agrobacterium larrymoorei	160699	S	248	65	313	0.00007
Neorhizobium galegae	399	S	1395	476	1871	0.00044
