name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2633	1582	4215	0.00080
Bradyrhizobium sp. CCBAU 51753	1325100	S	1960	1395	3355	0.00063
Bradyrhizobium sp. ORS 278	114615	S	1688	1153	2841	0.00054
Bradyrhizobium sp. BTAi1	288000	S	1647	881	2528	0.00048
Bradyrhizobium sp. ORS 285	115808	S	1605	1119	2724	0.00051
Bradyrhizobium sp. 6(2017)	1197460	S	1325	997	2322	0.00044
Bradyrhizobium sp. SK17	2057741	S	1281	1264	2545	0.00048
Bradyrhizobium sp. CCBAU 53421	1325120	S	1171	1112	2283	0.00043
Bradyrhizobium sp. CCBAU 51765	1325102	S	1128	1151	2279	0.00043
Bradyrhizobium sp. PSBB068	2715960	S	1037	1025	2062	0.00039
Bradyrhizobium sp. CCGE-LA001	1223566	S	998	894	1892	0.00036
Bradyrhizobium sp. CCBAU 53338	1325111	S	958	1327	2285	0.00043
Bradyrhizobium sp. 1(2017)	1404888	S	924	923	1847	0.00035
Bradyrhizobium sp. CCBAU 53340	1325112	S	880	1167	2047	0.00039
Bradyrhizobium sp. CCBAU 53351	1325114	S	757	1229	1986	0.00038
Bradyrhizobium sp.	376	S	669	2472	3141	0.00059
Bradyrhizobium sp. WSM471	319017	S	271	1248	1519	0.00029
Bradyrhizobium sp. LCT2	2493093	S	171	938	1109	0.00021
Bradyrhizobium erythrophlei	1437360	S	5397	1615	7012	0.00132
Bradyrhizobium diazoefficiens	1355477	S	4299	12268	16567	0.00313
Bradyrhizobium icense	1274631	S	3263	1455	4718	0.00089
Bradyrhizobium paxllaeri	190148	S	2843	1842	4685	0.00088
Bradyrhizobium lablabi	722472	S	1887	3930	5817	0.00110
Bradyrhizobium oligotrophicum	44255	S	1739	888	2627	0.00050
Bradyrhizobium genosp. L	83637	S	1595	1031	2626	0.00050
Bradyrhizobium canariense	255045	S	1367	393	1760	0.00033
