name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2800	1726	4526	0.00087
Bradyrhizobium sp. CCBAU 51753	1325100	S	2270	1652	3922	0.00075
Bradyrhizobium sp. BTAi1	288000	S	1744	949	2693	0.00052
Bradyrhizobium sp. ORS 285	115808	S	1703	1211	2914	0.00056
Bradyrhizobium sp. ORS 278	114615	S	1683	1172	2855	0.00055
Bradyrhizobium sp. CCBAU 51765	1325102	S	1405	1467	2872	0.00055
Bradyrhizobium sp. 6(2017)	1197460	S	1393	1072	2465	0.00047
Bradyrhizobium sp. SK17	2057741	S	1383	1401	2784	0.00053
Bradyrhizobium sp. CCBAU 53351	1325114	S	1283	2142	3425	0.00066
Bradyrhizobium sp. CCBAU 53421	1325120	S	1277	1241	2518	0.00048
Bradyrhizobium sp. PSBB068	2715960	S	1250	1266	2516	0.00048
Bradyrhizobium sp. CCBAU 53340	1325112	S	1114	1519	2633	0.00050
Bradyrhizobium sp. 1(2017)	1404888	S	1095	1121	2216	0.00042
Bradyrhizobium sp. CCGE-LA001	1223566	S	1082	993	2075	0.00040
Bradyrhizobium sp. CCBAU 53338	1325111	S	1046	1489	2535	0.00049
Bradyrhizobium sp.	376	S	784	2975	3759	0.00072
Bradyrhizobium sp. WSM471	319017	S	352	1662	2014	0.00039
Bradyrhizobium sp. LCT2	2493093	S	158	893	1051	0.00020
Bradyrhizobium erythrophlei	1437360	S	5669	1732	7401	0.00142
Bradyrhizobium diazoefficiens	1355477	S	5240	15396	20636	0.00395
Bradyrhizobium icense	1274631	S	3180	1452	4632	0.00089
Bradyrhizobium paxllaeri	190148	S	2949	1960	4909	0.00094
Bradyrhizobium lablabi	722472	S	2016	4333	6349	0.00122
Bradyrhizobium oligotrophicum	44255	S	1776	922	2698	0.00052
Bradyrhizobium genosp. L	83637	S	1776	1175	2951	0.00056
Bradyrhizobium canariense	255045	S	1536	452	1988	0.00038
Bradyrhizobium zhanjiangense	1325107	S	1412	1114	2526	0.00048
Bradyrhizobium guangxiense	1325115	S	1408	2192	3600	0.00069
Bradyrhizobium guangdongense	1325090	S	1358	1843	3201	0.00061
Bradyrhizobium japonicum	375	S	1349	3791	5140	0.00098
Bradyrhizobium symbiodeficiens	1404367	S	1336	1792	3128	0.00060
Bradyrhizobium vignae	1549949	S	1324	1045	2369	0.00045
Bradyrhizobium arachidis	858423	S	1202	1181	2383	0.00046
Bradyrhizobium cosmicum	1404864	S	1097	1274	2371	0.00045
Bradyrhizobium genosp. B	83627	S	1092	837	1929	0.00037
Bradyrhizobium guangzhouense	1325095	S	1059	1432	2491	0.00048
Bradyrhizobium amphicarpaeae	1404768	S	795	1124	1919	0.00037
Bradyrhizobium betae	244734	S	751	1083	1834	0.00035
Bradyrhizobium ottawaense	931866	S	218	2871	3089	0.00059
Bosea sp. Tri-49	1867715	S	1567	752	2319	0.00044
Bosea sp. F3-2	2599640	S	1549	902	2451	0.00047
Bosea sp. AS-1	2015316	S	1443	829	2272	0.00043
Bosea sp. RAC05	1842539	S	1401	737	2138	0.00041
Bosea sp. ANAM02	2020412	S	1296	778	2074	0.00040
Bosea sp. PAMC 26642	1792307	S	1146	553	1699	0.00033
Bosea vaviloviae	1526658	S	1260	628	1888	0.00036
Rhodopseudomonas palustris	1076	S	10397	8986	19383	0.00371
Nitrobacter hamburgensis	912	S	2591	1076	3667	0.00070
Nitrobacter winogradskyi	913	S	1272	640	1912	0.00037
Tardiphaga robiniae	943830	S	1192	485	1677	0.00032
Afipia carboxidovorans	40137	S	1404	391	1795	0.00034
Afipia sp. GAS231	1882747	S	1111	1533	2644	0.00051
Variibacter gotjawalensis	1333996	S	1888	439	2327	0.00045
Mesorhizobium sp. 8	2584466	S	2832	1665	4497	0.00086
Mesorhizobium sp. N3	675281	S	2525	1216	3741	0.00072
Mesorhizobium sp. J8	2777475	S	1684	1362	3046	0.00058
Mesorhizobium sp. DCY119	2108445	S	1375	747	2122	0.00041
Mesorhizobium sp. Pch-S	2082387	S	1368	475	1843	0.00035
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	1288	1189	2477	0.00047
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	1135	988	2123	0.00041
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	1085	817	1902	0.00036
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	1053	1167	2220	0.00042
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	1052	1285	2337	0.00045
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	984	1022	2006	0.00038
Mesorhizobium sp. 131-2-1	2744518	S	982	1084	2066	0.00040
Mesorhizobium sp. INR15	2654248	S	946	417	1363	0.00026
Mesorhizobium sp. L-2-11	2744521	S	792	697	1489	0.00029
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	759	820	1579	0.00030
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	693	649	1342	0.00026
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	654	1224	1878	0.00036
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	653	592	1245	0.00024
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	583	554	1137	0.00022
Mesorhizobium sp. NZP2077	2483404	S	574	514	1088	0.00021
Mesorhizobium sp. 113-3-3	2744516	S	491	609	1100	0.00021
Mesorhizobium sp. L-8-3	2744522	S	464	2319	2783	0.00053
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	461	518	979	0.00019
Mesorhizobium sp. L-8-10	2744523	S	442	2143	2585	0.00049
Mesorhizobium sp. NBSH29	2654249	S	421	101	522	0.00010
Mesorhizobium sp. 113-3-9	2744517	S	380	677	1057	0.00020
Mesorhizobium sp. NZP2298	2483403	S	376	579	955	0.00018
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	343	1549	1892	0.00036
Mesorhizobium sp. AA22	1854057	S	337	573	910	0.00017
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	335	1503	1838	0.00035
Mesorhizobium sp. WSM1497	278153	S	118	532	650	0.00012
Mesorhizobium oceanicum	1670800	S	1881	887	2768	0.00053
Mesorhizobium amorphae	71433	S	936	568	1504	0.00029
Mesorhizobium loti	381	S	849	8719	9568	0.00183
Mesorhizobium australicum	536018	S	731	647	1378	0.00026
Mesorhizobium opportunistum	593909	S	718	645	1363	0.00026
Mesorhizobium erdmanii	1777866	S	587	536	1123	0.00022
Mesorhizobium ciceri	39645	S	562	3706	4268	0.00082
Mesorhizobium japonicum	2066070	S	506	1103	1609	0.00031
Mesorhizobium huakuii	28104	S	489	892	1381	0.00026
Aminobacter sp. MSH1	374606	S	1160	932	2092	0.00040
Aminobacter sp. MDW-2	2666139	S	221	1567	1788	0.00034
Aminobacter sp. SR38	2774562	S	210	873	1083	0.00021
Aminobacter aminovorans	83263	S	118	467	585	0.00011
Nitratireductor sp. SY7	2599600	S	1566	786	2352	0.00045
Nitratireductor sp. OM-1	1756988	S	793	261	1054	0.00020
Chelativorans sp. BNC1	266779	S	2292	700	2992	0.00057
Roseitalea porphyridii	1852022	S	1297	615	1912	0.00037
Hoeflea sp. IMCC20628	1620421	S	570	153	723	0.00014
Hoeflea phototrophica	244596	S	457	142	599	0.00011
Oricola thermophila	2742145	S	877	314	1191	0.00023
Phyllobacterium zundukense	1867719	S	483	143	626	0.00012
Phyllobacterium sp. 628	2718938	S	274	56	330	0.00006
Salaquimonas pukyongi	2712698	S	379	71	450	0.00009
Rhizobium sp. BG4	2613770	S	745	293	1038	0.00020
Rhizobium sp. NXC24	2048897	S	485	185	670	0.00013
Rhizobium sp. 11515TR	2028343	S	452	192	644	0.00012
Rhizobium sp. WL3	2603277	S	435	175	610	0.00012
Rhizobium sp. ACO-34A	1571470	S	430	186	616	0.00012
Rhizobium sp. NXC14	1981173	S	314	430	744	0.00014
Rhizobium sp. ADMK78	1813451	S	294	85	379	0.00007
Rhizobium sp. NZLR1	2731096	S	272	277	549	0.00011
Rhizobium sp. NLR16a	2731112	S	264	429	693	0.00013
Rhizobium sp. CIAT894	2020312	S	259	307	566	0.00011
Rhizobium sp. Khangiran2	1435607	S	206	411	617	0.00012
Rhizobium sp. 007	2785056	S	135	244	379	0.00007
Rhizobium sp. TAL182	2020313	S	114	807	921	0.00018
Rhizobium sp. IE4771	1301032	S	107	459	566	0.00011
Rhizobium leguminosarum	384	S	3013	7121	10134	0.00194
Rhizobium etli	29449	S	887	1987	2874	0.00055
Rhizobium pseudoryzae	379684	S	662	256	918	0.00018
Rhizobium jaguaris	1312183	S	633	185	818	0.00016
Rhizobium rhizoryzae	451876	S	564	113	677	0.00013
Rhizobium favelukesii	348824	S	556	172	728	0.00014
Rhizobium phaseoli	396	S	512	1770	2282	0.00044
Rhizobium bangladeshense	1138189	S	442	293	735	0.00014
Rhizobium lusitanum	293958	S	432	180	612	0.00012
Rhizobium gallicum	56730	S	388	776	1164	0.00022
Rhizobium lentis	1138194	S	376	294	670	0.00013
Rhizobium tropici	398	S	358	204	562	0.00011
Rhizobium rosettiformans	1368430	S	357	241	598	0.00011
Rhizobium pusense	648995	S	340	1897	2237	0.00043
Rhizobium daejeonense	240521	S	337	181	518	0.00010
Rhizobium binae	1138190	S	299	274	573	0.00011
Rhizobium flavum	1335061	S	243	329	572	0.00011
Rhizobium oryzihabitans	2267833	S	218	226	444	0.00008
Rhizobium indicum	2583231	S	203	354	557	0.00011
Rhizobium acidisoli	1538158	S	161	205	366	0.00007
Agrobacterium tumefaciens	358	S	1465	2295	3760	0.00072
Agrobacterium fabrum	1176649	S	127	315	442	0.00008
Agrobacterium vitis	373	S	710	187	897	0.00017
Agrobacterium sp. T29	2580515	S	128	186	314	0.00006
Agrobacterium sp. MA01	2664893	S	124	450	574	0.00011
Agrobacterium rhizogenes	359	S	352	641	993	0.00019
Agrobacterium rubi	28099	S	290	103	393	0.00008
Agrobacterium larrymoorei	160699	S	224	58	282	0.00005
Neorhizobium galegae	399	S	1403	450	1853	0.00035
Neorhizobium sp. NCHU2750	1825976	S	567	222	789	0.00015
Neorhizobium sp. SOG26	2060726	S	560	190	750	0.00014
Pseudorhizobium banfieldiae	1125847	S	101	439	540	0.00010
Sinorhizobium meliloti	382	S	3758	13228	16986	0.00325
Sinorhizobium fredii	380	S	2779	5388	8167	0.00156
Sinorhizobium sp. RAC02	1842534	S	762	319	1081	0.00021
Sinorhizobium sp. BG8	2613773	S	673	191	864	0.00017
