name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCGE-LA001	1223566	S	31041	21815	52856	0.01026
Bradyrhizobium sp. CCBAU 051011	858422	S	12389	5692	18081	0.00351
Bradyrhizobium sp. CCBAU 51765	1325102	S	7248	5823	13071	0.00254
Bradyrhizobium sp. CCBAU 53351	1325114	S	6253	8397	14650	0.00284
Bradyrhizobium sp. 1(2017)	1404888	S	4545	3588	8133	0.00158
Bradyrhizobium sp. CCBAU 51753	1325100	S	4029	2150	6179	0.00120
Bradyrhizobium sp. 6(2017)	1197460	S	2725	1592	4317	0.00084
Bradyrhizobium sp. SK17	2057741	S	2449	1881	4330	0.00084
Bradyrhizobium sp. CCBAU 53421	1325120	S	2392	1794	4186	0.00081
Bradyrhizobium sp. BTAi1	288000	S	2260	862	3122	0.00061
Bradyrhizobium sp. ORS 285	115808	S	2236	1153	3389	0.00066
Bradyrhizobium sp. CCBAU 53338	1325111	S	2192	2504	4696	0.00091
Bradyrhizobium sp. PSBB068	2715960	S	2164	1676	3840	0.00075
Bradyrhizobium sp. ORS 278	114615	S	2150	1080	3230	0.00063
Bradyrhizobium sp. CCBAU 53340	1325112	S	2140	2342	4482	0.00087
Bradyrhizobium sp.	376	S	1721	5481	7202	0.00140
Bradyrhizobium sp. WSM471	319017	S	714	2876	3590	0.00070
Bradyrhizobium sp. LCT2	2493093	S	325	1521	1846	0.00036
Bradyrhizobium sp. SG09	2599805	S	263	3524	3787	0.00073
Bradyrhizobium sp. TM102	2599819	S	258	3540	3798	0.00074
Bradyrhizobium icense	1274631	S	12968	4159	17127	0.00332
Bradyrhizobium paxllaeri	190148	S	12922	6335	19257	0.00374
Bradyrhizobium diazoefficiens	1355477	S	11325	27118	38443	0.00746
Bradyrhizobium erythrophlei	1437360	S	9555	1956	11511	0.00223
Bradyrhizobium vignae	1549949	S	4595	2729	7324	0.00142
Bradyrhizobium symbiodeficiens	1404367	S	4576	4759	9335	0.00181
