name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2210	1360	3570	0.00088
Bradyrhizobium sp. CCBAU 51765	1325102	S	1779	1864	3643	0.00090
Bradyrhizobium sp. CCBAU 51753	1325100	S	1439	1049	2488	0.00062
Bradyrhizobium sp. BTAi1	288000	S	1264	696	1960	0.00048
Bradyrhizobium sp. ORS 285	115808	S	1239	886	2125	0.00053
Bradyrhizobium sp. ORS 278	114615	S	1183	829	2012	0.00050
Bradyrhizobium sp. CCGE-LA001	1223566	S	1071	982	2053	0.00051
Bradyrhizobium sp. 6(2017)	1197460	S	1018	781	1799	0.00045
Bradyrhizobium sp. SK17	2057741	S	976	982	1958	0.00048
Bradyrhizobium sp. CCBAU 53421	1325120	S	904	874	1778	0.00044
Bradyrhizobium sp. 1(2017)	1404888	S	838	858	1696	0.00042
Bradyrhizobium sp. CCBAU 53338	1325111	S	806	1145	1951	0.00048
Bradyrhizobium sp. PSBB068	2715960	S	785	791	1576	0.00039
Bradyrhizobium sp. CCBAU 53340	1325112	S	676	919	1595	0.00039
Bradyrhizobium sp. CCBAU 53351	1325114	S	634	1055	1689	0.00042
Bradyrhizobium sp.	376	S	506	1890	2396	0.00059
Bradyrhizobium sp. WSM471	319017	S	220	1013	1233	0.00031
Bradyrhizobium sp. LCT2	2493093	S	107	601	708	0.00018
Bradyrhizobium erythrophlei	1437360	S	4262	1318	5580	0.00138
Bradyrhizobium diazoefficiens	1355477	S	3251	9522	12773	0.00316
Bradyrhizobium icense	1274631	S	2790	1280	4070	0.00101
Bradyrhizobium paxllaeri	190148	S	2271	1509	3780	0.00094
Bradyrhizobium lablabi	722472	S	1431	3089	4520	0.00112
Bradyrhizobium oligotrophicum	44255	S	1301	690	1991	0.00049
Bradyrhizobium genosp. L	83637	S	1088	726	1814	0.00045
Bradyrhizobium canariense	255045	S	1020	303	1323	0.00033
Bradyrhizobium japonicum	375	S	1012	2993	4005	0.00099
Bradyrhizobium vignae	1549949	S	948	753	1701	0.00042
Bradyrhizobium zhanjiangense	1325107	S	883	700	1583	0.00039
Bradyrhizobium guangdongense	1325090	S	840	1138	1978	0.00049
Bradyrhizobium symbiodeficiens	1404367	S	813	1101	1914	0.00047
Bradyrhizobium arachidis	858423	S	786	775	1561	0.00039
Bradyrhizobium genosp. B	83627	S	752	582	1334	0.00033
Bradyrhizobium guangxiense	1325115	S	745	1159	1904	0.00047
Bradyrhizobium cosmicum	1404864	S	739	861	1600	0.00040
Bradyrhizobium guangzhouense	1325095	S	723	976	1699	0.00042
Bradyrhizobium amphicarpaeae	1404768	S	531	753	1284	0.00032
Bradyrhizobium betae	244734	S	490	707	1197	0.00030
Bradyrhizobium ottawaense	931866	S	130	1691	1821	0.00045
Bosea sp. Tri-49	1867715	S	1594	801	2395	0.00059
Bosea sp. F3-2	2599640	S	1508	925	2433	0.00060
Bosea sp. RAC05	1842539	S	1352	743	2095	0.00052
Bosea sp. AS-1	2015316	S	1189	717	1906	0.00047
Bosea sp. PAMC 26642	1792307	S	1084	546	1630	0.00040
Bosea sp. ANAM02	2020412	S	1044	660	1704	0.00042
Bosea vaviloviae	1526658	S	1240	636	1876	0.00046
Rhodopseudomonas palustris	1076	S	7414	6380	13794	0.00341
Tardiphaga robiniae	943830	S	800	342	1142	0.00028
Nitrobacter hamburgensis	912	S	824	336	1160	0.00029
Nitrobacter winogradskyi	913	S	738	364	1102	0.00027
Afipia carboxidovorans	40137	S	890	543	1433	0.00035
Afipia sp. GAS231	1882747	S	743	981	1724	0.00043
Variibacter gotjawalensis	1333996	S	1397	336	1733	0.00043
Rhizobium sp. BG4	2613770	S	554	249	803	0.00020
Rhizobium sp. NXC24	2048897	S	441	204	645	0.00016
Rhizobium sp. ACO-34A	1571470	S	381	178	559	0.00014
Rhizobium sp. 11515TR	2028343	S	354	193	547	0.00014
Rhizobium sp. WL3	2603277	S	351	162	513	0.00013
Rhizobium sp. NZLR1	2731096	S	278	346	624	0.00015
Rhizobium sp. CIAT894	2020312	S	245	363	608	0.00015
Rhizobium sp. ADMK78	1813451	S	241	80	321	0.00008
Rhizobium sp. NXC14	1981173	S	219	400	619	0.00015
Rhizobium sp. NLR16a	2731112	S	213	466	679	0.00017
Rhizobium sp. Khangiran2	1435607	S	176	423	599	0.00015
Rhizobium sp. 007	2785056	S	166	303	469	0.00012
Rhizobium leguminosarum	384	S	2678	6386	9064	0.00224
Rhizobium etli	29449	S	738	1585	2323	0.00057
Rhizobium pseudoryzae	379684	S	527	217	744	0.00018
Rhizobium favelukesii	348824	S	521	174	695	0.00017
Rhizobium jaguaris	1312183	S	494	154	648	0.00016
Rhizobium gallicum	56730	S	457	905	1362	0.00034
Rhizobium phaseoli	396	S	395	1353	1748	0.00043
Rhizobium bangladeshense	1138189	S	349	237	586	0.00014
Rhizobium lentis	1138194	S	343	274	617	0.00015
Rhizobium tropici	398	S	322	192	514	0.00013
Rhizobium rosettiformans	1368430	S	281	206	487	0.00012
Rhizobium lusitanum	293958	S	277	127	404	0.00010
Rhizobium binae	1138190	S	271	253	524	0.00013
Rhizobium daejeonense	240521	S	262	153	415	0.00010
Rhizobium flavum	1335061	S	251	371	622	0.00015
Rhizobium rhizoryzae	451876	S	243	52	295	0.00007
Rhizobium acidisoli	1538158	S	196	251	447	0.00011
Rhizobium indicum	2583231	S	170	294	464	0.00011
Rhizobium oryzihabitans	2267833	S	160	181	341	0.00008
Rhizobium pusense	648995	S	128	806	934	0.00023
Agrobacterium tumefaciens	358	S	1219	2084	3303	0.00082
Agrobacterium fabrum	1176649	S	119	315	434	0.00011
Agrobacterium vitis	373	S	554	156	710	0.00018
Agrobacterium rhizogenes	359	S	277	546	823	0.00020
Agrobacterium rubi	28099	S	238	94	332	0.00008
Agrobacterium larrymoorei	160699	S	220	62	282	0.00007
Neorhizobium galegae	399	S	1119	381	1500	0.00037
Neorhizobium sp. NCHU2750	1825976	S	507	223	730	0.00018
Neorhizobium sp. SOG26	2060726	S	480	182	662	0.00016
Sinorhizobium meliloti	382	S	5434	2870	8304	0.00205
