name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	3734	2167	5901	0.00080
Bradyrhizobium sp. CCBAU 51753	1325100	S	2635	1816	4451	0.00061
Bradyrhizobium sp. CCBAU 51765	1325102	S	2464	2420	4884	0.00067
Bradyrhizobium sp. BTAi1	288000	S	2404	1251	3655	0.00050
Bradyrhizobium sp. ORS 278	114615	S	2155	1430	3585	0.00049
Bradyrhizobium sp. ORS 285	115808	S	2069	1401	3470	0.00047
Bradyrhizobium sp. 6(2017)	1197460	S	1749	1273	3022	0.00041
Bradyrhizobium sp. CCGE-LA001	1223566	S	1743	1509	3252	0.00044
Bradyrhizobium sp. SK17	2057741	S	1685	1617	3302	0.00045
Bradyrhizobium sp. CCBAU 53421	1325120	S	1607	1473	3080	0.00042
Bradyrhizobium sp. PSBB068	2715960	S	1494	1433	2927	0.00040
Bradyrhizobium sp. 1(2017)	1404888	S	1409	1358	2767	0.00038
Bradyrhizobium sp. CCBAU 53338	1325111	S	1320	1756	3076	0.00042
Bradyrhizobium sp. CCBAU 53351	1325114	S	1224	1909	3133	0.00043
Bradyrhizobium sp. CCBAU 53340	1325112	S	1182	1506	2688	0.00037
Bradyrhizobium sp.	376	S	888	3152	4040	0.00055
Bradyrhizobium sp. WSM471	319017	S	381	1689	2070	0.00028
Bradyrhizobium sp. LCT2	2493093	S	205	1077	1282	0.00017
Bradyrhizobium sp. SG09	2599805	S	107	1587	1694	0.00023
Bradyrhizobium erythrophlei	1437360	S	6937	2020	8957	0.00122
Bradyrhizobium diazoefficiens	1355477	S	5518	19062	24580	0.00335
Bradyrhizobium icense	1274631	S	4896	2119	7015	0.00096
Bradyrhizobium paxllaeri	190148	S	4072	2549	6621	0.00090
Bradyrhizobium lablabi	722472	S	2318	4622	6940	0.00095
Bradyrhizobium oligotrophicum	44255	S	2157	1068	3225	0.00044
Bradyrhizobium genosp. L	83637	S	2078	1303	3381	0.00046
Bradyrhizobium canariense	255045	S	1836	514	2350	0.00032
Bradyrhizobium japonicum	375	S	1659	4514	6173	0.00084
Bradyrhizobium guangdongense	1325090	S	1486	1882	3368	0.00046
Bradyrhizobium zhanjiangense	1325107	S	1451	1077	2528	0.00034
Bradyrhizobium vignae	1549949	S	1424	1059	2483	0.00034
Bradyrhizobium guangxiense	1325115	S	1372	1994	3366	0.00046
Bradyrhizobium genosp. B	83627	S	1356	980	2336	0.00032
Bradyrhizobium symbiodeficiens	1404367	S	1356	1709	3065	0.00042
Bradyrhizobium arachidis	858423	S	1310	1207	2517	0.00034
Bradyrhizobium cosmicum	1404864	S	1252	1365	2617	0.00036
Bradyrhizobium guangzhouense	1325095	S	1229	1552	2781	0.00038
Bradyrhizobium betae	244734	S	865	1171	2036	0.00028
Bradyrhizobium amphicarpaeae	1404768	S	840	1113	1953	0.00027
Bradyrhizobium ottawaense	931866	S	258	3146	3404	0.00046
Bosea sp. Tri-49	1867715	S	2341	1125	3466	0.00047
Bosea sp. F3-2	2599640	S	2252	1323	3575	0.00049
Bosea sp. RAC05	1842539	S	1926	1016	2942	0.00040
Bosea sp. ANAM02	2020412	S	1870	1142	3012	0.00041
Bosea sp. AS-1	2015316	S	1858	1083	2941	0.00040
Bosea sp. PAMC 26642	1792307	S	1543	748	2291	0.00031
Bosea vaviloviae	1526658	S	1879	925	2804	0.00038
Rhodopseudomonas palustris	1076	S	12483	10188	22671	0.00309
Tardiphaga robiniae	943830	S	1454	568	2022	0.00028
Afipia carboxidovorans	40137	S	1497	379	1876	0.00026
Afipia sp. GAS231	1882747	S	1442	1848	3290	0.00045
Nitrobacter hamburgensis	912	S	1318	501	1819	0.00025
Nitrobacter winogradskyi	913	S	1252	573	1825	0.00025
Variibacter gotjawalensis	1333996	S	2144	486	2630	0.00036
Rhizobium sp. BG4	2613770	S	815	323	1138	0.00016
Rhizobium sp. NXC24	2048897	S	734	286	1020	0.00014
Rhizobium sp. 11515TR	2028343	S	698	304	1002	0.00014
Rhizobium sp. ACO-34A	1571470	S	573	247	820	0.00011
Rhizobium sp. WL3	2603277	S	560	225	785	0.00011
Rhizobium sp. NZLR1	2731096	S	455	469	924	0.00013
Rhizobium sp. CIAT894	2020312	S	399	481	880	0.00012
Rhizobium sp. ADMK78	1813451	S	393	115	508	0.00007
Rhizobium sp. NLR16a	2731112	S	368	617	985	0.00013
Rhizobium sp. NXC14	1981173	S	359	505	864	0.00012
Rhizobium sp. 007	2785056	S	269	471	740	0.00010
Rhizobium sp. Khangiran2	1435607	S	242	475	717	0.00010
Rhizobium sp. Kim5	2020311	S	120	660	780	0.00011
Rhizobium sp. TCK	136098	S	111	527	638	0.00009
Rhizobium sp. IE4771	1301032	S	100	443	543	0.00007
Rhizobium leguminosarum	384	S	3993	9232	13225	0.00180
Rhizobium etli	29449	S	1126	2447	3573	0.00049
Rhizobium pseudoryzae	379684	S	812	313	1125	0.00015
Rhizobium favelukesii	348824	S	807	256	1063	0.00014
Rhizobium jaguaris	1312183	S	789	229	1018	0.00014
Rhizobium phaseoli	396	S	646	2129	2775	0.00038
Rhizobium bangladeshense	1138189	S	600	388	988	0.00013
Rhizobium gallicum	56730	S	530	1032	1562	0.00021
Rhizobium lentis	1138194	S	498	379	877	0.00012
Rhizobium lusitanum	293958	S	479	195	674	0.00009
Rhizobium tropici	398	S	465	264	729	0.00010
