name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	10348	5977	16325	0.00330
Bradyrhizobium sp. CCGE-LA001	1223566	S	7180	6341	13521	0.00274
Bradyrhizobium sp. 1(2017)	1404888	S	3510	3482	6992	0.00141
Bradyrhizobium sp. CCBAU 51753	1325100	S	3121	2124	5245	0.00106
Bradyrhizobium sp. 6(2017)	1197460	S	2127	1581	3708	0.00075
Bradyrhizobium sp. SK17	2057741	S	2054	1987	4041	0.00082
Bradyrhizobium sp. BTAi1	288000	S	1956	956	2912	0.00059
Bradyrhizobium sp. ORS 285	115808	S	1900	1254	3154	0.00064
Bradyrhizobium sp. CCBAU 51765	1325102	S	1893	1899	3792	0.00077
Bradyrhizobium sp. ORS 278	114615	S	1881	1211	3092	0.00063
Bradyrhizobium sp. CCBAU 53421	1325120	S	1875	1785	3660	0.00074
Bradyrhizobium sp. PSBB068	2715960	S	1849	1820	3669	0.00074
Bradyrhizobium sp. CCBAU 53351	1325114	S	1533	2537	4070	0.00082
Bradyrhizobium sp. CCBAU 53340	1325112	S	1301	1755	3056	0.00062
Bradyrhizobium sp. CCBAU 53338	1325111	S	1280	1803	3083	0.00062
Bradyrhizobium sp.	376	S	940	3743	4683	0.00095
Bradyrhizobium sp. WSM471	319017	S	401	2047	2448	0.00050
Bradyrhizobium sp. LCT2	2493093	S	182	1040	1222	0.00025
Bradyrhizobium sp. TM102	2599819	S	119	2007	2126	0.00043
Bradyrhizobium sp. SG09	2599805	S	105	1724	1829	0.00037
Bradyrhizobium icense	1274631	S	10829	4410	15239	0.00308
Bradyrhizobium paxllaeri	190148	S	10699	6579	17278	0.00350
Bradyrhizobium erythrophlei	1437360	S	8705	2293	10998	0.00222
Bradyrhizobium diazoefficiens	1355477	S	5870	17196	23066	0.00467
Bradyrhizobium lablabi	722472	S	3206	6784	9990	0.00202
Bradyrhizobium canariense	255045	S	2608	667	3275	0.00066
Bradyrhizobium genosp. L	83637	S	2577	1526	4103	0.00083
Bradyrhizobium oligotrophicum	44255	S	2063	935	2998	0.00061
Bradyrhizobium japonicum	375	S	1945	5455	7400	0.00150
Bradyrhizobium symbiodeficiens	1404367	S	1852	2387	4239	0.00086
Bradyrhizobium cosmicum	1404864	S	1502	1660	3162	0.00064
Bradyrhizobium vignae	1549949	S	1477	1091	2568	0.00052
Bradyrhizobium arachidis	858423	S	1429	1347	2776	0.00056
Bradyrhizobium guangdongense	1325090	S	1379	1833	3212	0.00065
Bradyrhizobium zhanjiangense	1325107	S	1341	997	2338	0.00047
Bradyrhizobium guangxiense	1325115	S	1325	2027	3352	0.00068
Bradyrhizobium genosp. B	83627	S	1304	926	2230	0.00045
Bradyrhizobium guangzhouense	1325095	S	1265	1681	2946	0.00060
Bradyrhizobium amphicarpaeae	1404768	S	951	1292	2243	0.00045
Bradyrhizobium betae	244734	S	827	1136	1963	0.00040
Bradyrhizobium ottawaense	931866	S	445	5911	6356	0.00129
Bosea sp. Tri-49	1867715	S	2572	1099	3671	0.00074
Bosea sp. ANAM02	2020412	S	2496	1423	3919	0.00079
Bosea sp. F3-2	2599640	S	2390	1309	3699	0.00075
Bosea sp. RAC05	1842539	S	1744	824	2568	0.00052
Bosea sp. AS-1	2015316	S	1702	915	2617	0.00053
Bosea sp. PAMC 26642	1792307	S	1405	619	2024	0.00041
Bosea vaviloviae	1526658	S	1656	744	2400	0.00049
Rhodopseudomonas palustris	1076	S	11443	7903	19346	0.00391
Afipia sp. GAS231	1882747	S	2424	3026	5450	0.00110
Afipia carboxidovorans	40137	S	1376	405	1781	0.00036
Tardiphaga robiniae	943830	S	1635	585	2220	0.00045
Nitrobacter hamburgensis	912	S	1556	540	2096	0.00042
Nitrobacter winogradskyi	913	S	1233	508	1741	0.00035
Variibacter gotjawalensis	1333996	S	2298	414	2712	0.00055
Ensifer adhaerens	106592	S	109693	43872	153565	0.03107
