name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	1494	860	2354	0.00059
Bradyrhizobium sp. CCBAU 51753	1325100	S	1317	925	2242	0.00056
Bradyrhizobium sp. BTAi1	288000	S	1210	647	1857	0.00047
Bradyrhizobium sp. ORS 278	114615	S	1154	789	1943	0.00049
Bradyrhizobium sp. ORS 285	115808	S	1100	766	1866	0.00047
Bradyrhizobium sp. CCBAU 51765	1325102	S	961	930	1891	0.00048
Bradyrhizobium sp. 6(2017)	1197460	S	910	673	1583	0.00040
Bradyrhizobium sp. SK17	2057741	S	895	870	1765	0.00044
Bradyrhizobium sp. CCBAU 53421	1325120	S	799	744	1543	0.00039
Bradyrhizobium sp. PSBB068	2715960	S	740	724	1464	0.00037
Bradyrhizobium sp. CCBAU 53338	1325111	S	702	900	1602	0.00040
Bradyrhizobium sp. CCBAU 53351	1325114	S	688	1033	1721	0.00043
Bradyrhizobium sp. CCBAU 53340	1325112	S	668	820	1488	0.00037
Bradyrhizobium sp. CCGE-LA001	1223566	S	654	566	1220	0.00031
Bradyrhizobium sp. 1(2017)	1404888	S	618	594	1212	0.00031
Bradyrhizobium sp.	376	S	408	1443	1851	0.00047
Bradyrhizobium sp. WSM471	319017	S	179	816	995	0.00025
Bradyrhizobium sp. LCT2	2493093	S	124	615	739	0.00019
Bradyrhizobium erythrophlei	1437360	S	3728	1108	4836	0.00122
Bradyrhizobium diazoefficiens	1355477	S	2956	11406	14362	0.00362
Bradyrhizobium icense	1274631	S	1949	847	2796	0.00070
Bradyrhizobium paxllaeri	190148	S	1624	1004	2628	0.00066
Bradyrhizobium lablabi	722472	S	1272	2454	3726	0.00094
Bradyrhizobium oligotrophicum	44255	S	1136	570	1706	0.00043
Bradyrhizobium genosp. L	83637	S	1027	646	1673	0.00042
Bradyrhizobium canariense	255045	S	921	263	1184	0.00030
Bradyrhizobium guangdongense	1325090	S	904	1099	2003	0.00050
Bradyrhizobium japonicum	375	S	847	2062	2909	0.00073
Bradyrhizobium zhanjiangense	1325107	S	766	554	1320	0.00033
Bradyrhizobium symbiodeficiens	1404367	S	759	927	1686	0.00042
Bradyrhizobium vignae	1549949	S	733	533	1266	0.00032
Bradyrhizobium cosmicum	1404864	S	698	739	1437	0.00036
Bradyrhizobium genosp. B	83627	S	692	493	1185	0.00030
Bradyrhizobium arachidis	858423	S	647	577	1224	0.00031
Bradyrhizobium guangzhouense	1325095	S	608	733	1341	0.00034
Bradyrhizobium guangxiense	1325115	S	584	811	1395	0.00035
Bradyrhizobium amphicarpaeae	1404768	S	469	602	1071	0.00027
Bradyrhizobium betae	244734	S	408	533	941	0.00024
Bradyrhizobium ottawaense	931866	S	136	1575	1711	0.00043
Bosea sp. Tri-49	1867715	S	1644	796	2440	0.00061
Bosea sp. F3-2	2599640	S	1292	755	2047	0.00052
Bosea sp. RAC05	1842539	S	1240	657	1897	0.00048
Bosea sp. AS-1	2015316	S	1093	628	1721	0.00043
Bosea sp. PAMC 26642	1792307	S	955	464	1419	0.00036
Bosea sp. ANAM02	2020412	S	936	563	1499	0.00038
Bosea vaviloviae	1526658	S	1128	568	1696	0.00043
Rhodopseudomonas palustris	1076	S	7053	6002	13055	0.00329
Tardiphaga robiniae	943830	S	751	317	1068	0.00027
Afipia carboxidovorans	40137	S	854	362	1216	0.00031
Afipia sp. GAS231	1882747	S	642	856	1498	0.00038
Nitrobacter hamburgensis	912	S	729	292	1021	0.00026
Nitrobacter winogradskyi	913	S	640	309	949	0.00024
Variibacter gotjawalensis	1333996	S	1390	327	1717	0.00043
Rhizobium sp. BG4	2613770	S	483	205	688	0.00017
Rhizobium sp. NXC24	2048897	S	427	187	614	0.00015
Rhizobium sp. ACO-34A	1571470	S	362	162	524	0.00013
Rhizobium sp. 11515TR	2028343	S	349	181	530	0.00013
Rhizobium sp. WL3	2603277	S	323	141	464	0.00012
Rhizobium sp. NZLR1	2731096	S	234	279	513	0.00013
Rhizobium sp. CIAT894	2020312	S	229	325	554	0.00014
Rhizobium sp. ADMK78	1813451	S	218	68	286	0.00007
Rhizobium sp. NLR16a	2731112	S	204	426	630	0.00016
Rhizobium sp. NXC14	1981173	S	196	342	538	0.00014
Rhizobium sp. Khangiran2	1435607	S	163	380	543	0.00014
Rhizobium sp. 007	2785056	S	144	259	403	0.00010
Rhizobium leguminosarum	384	S	2437	5548	7985	0.00201
Rhizobium etli	29449	S	695	1584	2279	0.00057
Rhizobium favelukesii	348824	S	485	148	633	0.00016
Rhizobium pseudoryzae	379684	S	471	185	656	0.00017
Rhizobium jaguaris	1312183	S	449	132	581	0.00015
Rhizobium phaseoli	396	S	384	1302	1686	0.00042
Rhizobium gallicum	56730	S	374	731	1105	0.00028
Rhizobium bangladeshense	1138189	S	361	238	599	0.00015
Rhizobium lentis	1138194	S	338	262	600	0.00015
Rhizobium lusitanum	293958	S	321	142	463	0.00012
Rhizobium rosettiformans	1368430	S	261	184	445	0.00011
Rhizobium flavum	1335061	S	255	367	622	0.00016
Rhizobium binae	1138190	S	251	227	478	0.00012
Rhizobium daejeonense	240521	S	241	127	368	0.00009
Rhizobium tropici	398	S	237	133	370	0.00009
Rhizobium rhizoryzae	451876	S	226	46	272	0.00007
Rhizobium indicum	2583231	S	184	316	500	0.00013
Rhizobium oryzihabitans	2267833	S	165	180	345	0.00009
Rhizobium acidisoli	1538158	S	147	184	331	0.00008
Rhizobium pusense	648995	S	127	781	908	0.00023
Agrobacterium tumefaciens	358	S	1132	1856	2988	0.00075
Agrobacterium fabrum	1176649	S	119	295	414	0.00010
Agrobacterium vitis	373	S	603	167	770	0.00019
Agrobacterium sp. T29	2580515	S	108	375	483	0.00012
Agrobacterium rhizogenes	359	S	272	505	777	0.00020
