name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51765	1325102	S	13760	12568	26328	0.00634
Bradyrhizobium sp. CCBAU 051011	858422	S	7082	3709	10791	0.00260
Bradyrhizobium sp. CCGE-LA001	1223566	S	5798	4641	10439	0.00251
Bradyrhizobium sp. 1(2017)	1404888	S	2916	2621	5537	0.00133
Bradyrhizobium sp. CCBAU 51753	1325100	S	2749	1720	4469	0.00108
Bradyrhizobium sp. CCBAU 53351	1325114	S	2087	3081	5168	0.00124
Bradyrhizobium sp. 6(2017)	1197460	S	1784	1199	2983	0.00072
Bradyrhizobium sp. BTAi1	288000	S	1745	808	2553	0.00062
Bradyrhizobium sp. ORS 285	115808	S	1743	1068	2811	0.00068
Bradyrhizobium sp. ORS 278	114615	S	1691	1015	2706	0.00065
Bradyrhizobium sp. SK17	2057741	S	1683	1468	3151	0.00076
Bradyrhizobium sp. CCBAU 53421	1325120	S	1600	1369	2969	0.00072
Bradyrhizobium sp. PSBB068	2715960	S	1506	1333	2839	0.00068
Bradyrhizobium sp. CCBAU 53340	1325112	S	1504	1811	3315	0.00080
Bradyrhizobium sp. CCBAU 53338	1325111	S	1434	1805	3239	0.00078
Bradyrhizobium sp.	376	S	1081	3736	4817	0.00116
Bradyrhizobium sp. WSM471	319017	S	426	1860	2286	0.00055
Bradyrhizobium sp. LCT2	2493093	S	240	1208	1448	0.00035
Bradyrhizobium sp. TM102	2599819	S	141	2083	2224	0.00054
Bradyrhizobium sp. SG09	2599805	S	139	1996	2135	0.00051
Bradyrhizobium icense	1274631	S	8047	3045	11092	0.00267
Bradyrhizobium paxllaeri	190148	S	7310	4090	11400	0.00275
Bradyrhizobium diazoefficiens	1355477	S	6857	17829	24686	0.00595
Bradyrhizobium erythrophlei	1437360	S	6385	1604	7989	0.00192
Bradyrhizobium vignae	1549949	S	2874	1955	4829	0.00116
Bradyrhizobium guangxiense	1325115	S	2329	3196	5525	0.00133
Bradyrhizobium lablabi	722472	S	2217	4070	6287	0.00151
Bradyrhizobium genosp. L	83637	S	2122	1177	3299	0.00079
Bradyrhizobium symbiodeficiens	1404367	S	2107	2470	4577	0.00110
Bradyrhizobium zhanjiangense	1325107	S	1994	1358	3352	0.00081
Bradyrhizobium japonicum	375	S	1979	5284	7263	0.00175
Bradyrhizobium oligotrophicum	44255	S	1879	825	2704	0.00065
Bradyrhizobium cosmicum	1404864	S	1792	1804	3596	0.00087
Bradyrhizobium canariense	255045	S	1751	426	2177	0.00052
Bradyrhizobium arachidis	858423	S	1719	1471	3190	0.00077
Bradyrhizobium guangdongense	1325090	S	1637	1945	3582	0.00086
Bradyrhizobium genosp. B	83627	S	1553	1023	2576	0.00062
Bradyrhizobium guangzhouense	1325095	S	1391	1654	3045	0.00073
Bradyrhizobium amphicarpaeae	1404768	S	1197	1476	2673	0.00064
Bradyrhizobium betae	244734	S	973	1209	2182	0.00053
Bradyrhizobium ottawaense	931866	S	334	3851	4185	0.00101
Bosea sp. Tri-49	1867715	S	1840	774	2614	0.00063
Bosea sp. F3-2	2599640	S	1800	946	2746	0.00066
Bosea sp. AS-1	2015316	S	1571	805	2376	0.00057
Bosea sp. RAC05	1842539	S	1448	668	2116	0.00051
Bosea sp. ANAM02	2020412	S	1428	773	2201	0.00053
Bosea sp. PAMC 26642	1792307	S	1176	504	1680	0.00040
Bosea vaviloviae	1526658	S	1317	586	1903	0.00046
Rhodopseudomonas palustris	1076	S	9457	6344	15801	0.00381
Nitrobacter hamburgensis	912	S	2758	879	3637	0.00088
Nitrobacter winogradskyi	913	S	818	312	1130	0.00027
Afipia sp. GAS231	1882747	S	1527	1582	3109	0.00075
Afipia carboxidovorans	40137	S	1263	386	1649	0.00040
Tardiphaga robiniae	943830	S	1206	404	1610	0.00039
Variibacter gotjawalensis	1333996	S	1591	298	1889	0.00046
Rhizobium sp. BG4	2613770	S	2019	734	2753	0.00066
Rhizobium sp. 11515TR	2028343	S	1007	437	1444	0.00035
Rhizobium sp. NXC24	2048897	S	563	210	773	0.00019
Rhizobium sp. ACO-34A	1571470	S	484	193	677	0.00016
Rhizobium sp. WL3	2603277	S	475	176	651	0.00016
Rhizobium sp. NZLR1	2731096	S	401	423	824	0.00020
Rhizobium sp. CIAT894	2020312	S	346	432	778	0.00019
Rhizobium sp. ADMK78	1813451	S	303	79	382	0.00009
Rhizobium sp. NXC14	1981173	S	287	429	716	0.00017
Rhizobium sp. NLR16a	2731112	S	279	496	775	0.00019
Rhizobium sp. Khangiran2	1435607	S	244	485	729	0.00018
Rhizobium sp. 007	2785056	S	169	308	477	0.00011
Rhizobium sp. IE4771	1301032	S	101	491	592	0.00014
Rhizobium leguminosarum	384	S	3292	7586	10878	0.00262
Rhizobium etli	29449	S	973	2040	3013	0.00073
Rhizobium favelukesii	348824	S	695	203	898	0.00022
Rhizobium pseudoryzae	379684	S	669	225	894	0.00022
