name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sinorhizobium meliloti	382	S	30962	26388	57350	0.02692
Sinorhizobium sp. RAC02	1842534	S	2469	790	3259	0.00153
Sinorhizobium sp. BG8	2613773	S	797	166	963	0.00045
Sinorhizobium sp. CCBAU 05631	794846	S	123	284	407	0.00019
Sinorhizobium fredii	380	S	2443	3898	6341	0.00298
Sinorhizobium medicae	110321	S	1496	339	1835	0.00086
Sinorhizobium americanum	194963	S	634	324	958	0.00045
Ensifer adhaerens	106592	S	1570	972	2542	0.00119
Ensifer sp. PDNC004	2811423	S	1182	630	1812	0.00085
Ensifer mexicanus	375549	S	825	181	1006	0.00047
Ensifer sojae	716925	S	608	277	885	0.00042
Ensifer alkalisoli	1752398	S	565	196	761	0.00036
Rhizobium sp. Khangiran2	1435607	S	943	1552	2495	0.00117
Rhizobium sp. BG4	2613770	S	579	169	748	0.00035
Rhizobium sp. WL3	2603277	S	500	148	648	0.00030
Rhizobium sp. ACO-34A	1571470	S	453	154	607	0.00029
Rhizobium sp. 11515TR	2028343	S	391	138	529	0.00025
Rhizobium sp. TCK	136098	S	386	1492	1878	0.00088
Rhizobium sp. NXC24	2048897	S	335	103	438	0.00021
Rhizobium sp. ADMK78	1813451	S	301	63	364	0.00017
Rhizobium sp. CIAT894	2020312	S	237	259	496	0.00023
Rhizobium sp. NLR16a	2731112	S	186	284	470	0.00022
Rhizobium sp. NZLR1	2731096	S	178	164	342	0.00016
Rhizobium sp. NXC14	1981173	S	166	213	379	0.00018
Rhizobium sp. ZX09	2291939	S	127	698	825	0.00039
Rhizobium sp. S41	1869170	S	101	1041	1142	0.00054
Rhizobium leguminosarum	384	S	1919	4380	6299	0.00296
Rhizobium flavum	1335061	S	1032	1135	2167	0.00102
Rhizobium pseudoryzae	379684	S	751	207	958	0.00045
Rhizobium etli	29449	S	724	1526	2250	0.00106
Rhizobium favelukesii	348824	S	443	108	551	0.00026
Rhizobium jaguaris	1312183	S	391	86	477	0.00022
