name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51765	1325102	S	39107	35297	74404	0.01577
Bradyrhizobium sp. CCBAU 051011	858422	S	19511	10018	29529	0.00626
Bradyrhizobium sp. CCBAU 53351	1325114	S	6089	8850	14939	0.00317
Bradyrhizobium sp. CCGE-LA001	1223566	S	5940	4715	10655	0.00226
Bradyrhizobium sp. CCBAU 51753	1325100	S	5185	3218	8403	0.00178
Bradyrhizobium sp. 1(2017)	1404888	S	4091	3646	7737	0.00164
Bradyrhizobium sp. 6(2017)	1197460	S	3287	2194	5481	0.00116
Bradyrhizobium sp. SK17	2057741	S	3060	2659	5719	0.00121
Bradyrhizobium sp. CCBAU 53421	1325120	S	2970	2529	5499	0.00117
Bradyrhizobium sp. BTAi1	288000	S	2823	1306	4129	0.00088
Bradyrhizobium sp. ORS 285	115808	S	2817	1723	4540	0.00096
Bradyrhizobium sp. ORS 278	114615	S	2742	1645	4387	0.00093
Bradyrhizobium sp. PSBB068	2715960	S	2633	2321	4954	0.00105
Bradyrhizobium sp. CCBAU 53340	1325112	S	2629	3117	5746	0.00122
Bradyrhizobium sp. CCBAU 53338	1325111	S	2419	2998	5417	0.00115
Bradyrhizobium sp.	376	S	2025	6980	9005	0.00191
Bradyrhizobium sp. WSM471	319017	S	786	3459	4245	0.00090
Bradyrhizobium sp. LCT2	2493093	S	337	1664	2001	0.00042
Bradyrhizobium sp. SG09	2599805	S	288	4072	4360	0.00092
Bradyrhizobium sp. TM102	2599819	S	278	4048	4326	0.00092
Bradyrhizobium paxllaeri	190148	S	20559	11248	31807	0.00674
Bradyrhizobium icense	1274631	S	19967	7396	27363	0.00580
Bradyrhizobium diazoefficiens	1355477	S	12625	32190	44815	0.00950
Bradyrhizobium erythrophlei	1437360	S	10923	2696	13619	0.00289
Bradyrhizobium guangxiense	1325115	S	6586	8877	15463	0.00328
Bradyrhizobium vignae	1549949	S	5326	3569	8895	0.00189
Bradyrhizobium zhanjiangense	1325107	S	4339	2907	7246	0.00154
Bradyrhizobium lablabi	722472	S	4225	7501	11726	0.00249
Bradyrhizobium genosp. L	83637	S	3884	2118	6002	0.00127
Bradyrhizobium japonicum	375	S	3698	9677	13375	0.00284
Bradyrhizobium symbiodeficiens	1404367	S	3646	4191	7837	0.00166
Bradyrhizobium arachidis	858423	S	3363	2828	6191	0.00131
Bradyrhizobium canariense	255045	S	3182	761	3943	0.00084
Bradyrhizobium guangdongense	1325090	S	2997	3490	6487	0.00138
Bradyrhizobium oligotrophicum	44255	S	2988	1301	4289	0.00091
Bradyrhizobium cosmicum	1404864	S	2913	2883	5796	0.00123
Bradyrhizobium genosp. B	83627	S	2480	1609	4089	0.00087
Bradyrhizobium guangzhouense	1325095	S	2465	2879	5344	0.00113
Bradyrhizobium amphicarpaeae	1404768	S	2342	2839	5181	0.00110
Bradyrhizobium betae	244734	S	1748	2131	3879	0.00082
Bradyrhizobium ottawaense	931866	S	674	7554	8228	0.00174
Bosea sp. AS-1	2015316	S	2873	1436	4309	0.00091
Bosea sp. Tri-49	1867715	S	2096	868	2964	0.00063
Bosea sp. F3-2	2599640	S	1959	1003	2962	0.00063
