name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. WAC 01438	2203204	S	2526	1509	4035	0.00086
Streptomyces sp. HM190	2695266	S	2353	1250	3603	0.00076
Streptomyces sp. SGAir0924	2109593	S	2276	10279	12555	0.00266
Streptomyces sp. CdTB01	1725411	S	2213	1103	3316	0.00070
Streptomyces sp. P3	2135430	S	2081	979	3060	0.00065
Streptomyces sp. ZYC-3	2797636	S	2044	869	2913	0.00062
Streptomyces sp. TLI_053	1855352	S	2032	963	2995	0.00064
Streptomyces sp. SN-593	659352	S	1997	820	2817	0.00060
Streptomyces sp. CRXT-G-22	2768066	S	1973	766	2739	0.00058
Streptomyces sp. SS52	2563602	S	1932	10273	12205	0.00259
Streptomyces sp. SCSIO 3032	1264596	S	1908	777	2685	0.00057
Streptomyces sp. Z423-1	2730915	S	1895	988	2883	0.00061
Streptomyces sp. NHF165	2175864	S	1845	692	2537	0.00054
Streptomyces sp. CB01881	2078691	S	1838	831	2669	0.00057
Streptomyces sp. 3214.6	1882757	S	1828	932	2760	0.00059
Streptomyces sp. So13.3	2136173	S	1799	637	2436	0.00052
Streptomyces sp. DSM 40868	2721173	S	1753	1043	2796	0.00059
Streptomyces sp. M2	646637	S	1715	883	2598	0.00055
Streptomyces sp. SCUT-3	2684469	S	1619	961	2580	0.00055
Streptomyces sp. NA02950	2742137	S	1589	607	2196	0.00047
Streptomyces sp. CRXT-Y-14	2768069	S	1517	703	2220	0.00047
Streptomyces sp. QMT-12	2717324	S	1345	564	1909	0.00040
Streptomyces sp. YIM 121038	2136401	S	1295	606	1901	0.00040
Streptomyces sp. RLB1-33	2721243	S	1285	1199	2484	0.00053
Streptomyces sp. SAT1	1849967	S	1283	712	1995	0.00042
Streptomyces sp. Go-475	2072505	S	1263	939	2202	0.00047
Streptomyces sp. CMB-StM0423	2059884	S	1256	1445	2701	0.00057
Streptomyces sp. JB150	2714844	S	1250	823	2073	0.00044
Streptomyces sp. CRPJ-33	2768068	S	1247	630	1877	0.00040
Streptomyces sp. MBT27	1488356	S	1223	539	1762	0.00037
Streptomyces sp. C8S0	2585716	S	1220	578	1798	0.00038
Streptomyces sp. GS7	2692234	S	1217	581	1798	0.00038
Streptomyces sp. NEAU-sy36	2751189	S	1209	758	1967	0.00042
Streptomyces sp. RPA4-2	2721244	S	1198	640	1838	0.00039
Streptomyces sp. CNQ-509	444103	S	1180	2392	3572	0.00076
Streptomyces sp. NA04227	2742136	S	1112	427	1539	0.00033
Streptomyces sp. W1SF4	2305220	S	1085	614	1699	0.00036
Streptomyces sp. QHH-9511	2684468	S	1077	510	1587	0.00034
Streptomyces sp. RTd22	1841249	S	1066	986	2052	0.00044
Streptomyces sp. Z022	1442032	S	1056	623	1679	0.00036
Streptomyces sp. PBH53	1577075	S	1052	725	1777	0.00038
Streptomyces sp. Rer75	2750011	S	1041	1084	2125	0.00045
Streptomyces sp. HSG2	2797167	S	977	358	1335	0.00028
Streptomyces sp. 2323.1	1938841	S	948	481	1429	0.00030
Streptomyces sp. INR7	2607753	S	939	882	1821	0.00039
Streptomyces sp. WAC 01529	2203205	S	928	524	1452	0.00031
Streptomyces sp. SM18	1736046	S	912	479	1391	0.00030
Streptomyces sp. WAC 06738	2203210	S	910	1890	2800	0.00059
Streptomyces sp. SirexAA-E	862751	S	902	504	1406	0.00030
Streptomyces sp. Tu 2975	2676871	S	899	488	1387	0.00029
Streptomyces sp. fd1-xmd	1812480	S	845	674	1519	0.00032
Streptomyces sp. SYP-A7193	2662065	S	823	756	1579	0.00033
Streptomyces sp. jing01	2726118	S	771	677	1448	0.00031
Streptomyces sp. S4.7	2705439	S	745	421	1166	0.00025
Streptomyces sp. CB09001	2083284	S	715	754	1469	0.00031
Streptomyces sp. CCM_MD2014	1561022	S	711	1028	1739	0.00037
Streptomyces sp. TN58	234612	S	705	590	1295	0.00027
Streptomyces sp. SUK 48	2582831	S	618	612	1230	0.00026
Streptomyces sp. Mg1	465541	S	588	920	1508	0.00032
Streptomyces sp. ADI95-16	1522758	S	561	818	1379	0.00029
Streptomyces sp. RPA4-5	2721245	S	547	460	1007	0.00021
Streptomyces sp. 769	1262452	S	539	476	1015	0.00022
Streptomyces sp. HF10	2692233	S	483	525	1008	0.00021
Streptomyces sp. AgN23	1188315	S	465	543	1008	0.00021
Streptomyces sp. XC 2026	2782004	S	452	573	1025	0.00022
Streptomyces sp. S063	2005885	S	439	424	863	0.00018
Streptomyces sp. ID38640	1265399	S	418	480	898	0.00019
Streptomyces sp. NEAU-S7GS2	2202000	S	404	457	861	0.00018
Streptomyces sp. 3211	1964449	S	403	723	1126	0.00024
Streptomyces sp. Tue 6075	1661694	S	384	431	815	0.00017
Streptomyces sp. S8	1837283	S	372	429	801	0.00017
Streptomyces sp. NA02536	2742133	S	368	1175	1543	0.00033
Streptomyces sp. MOE7	1961713	S	342	515	857	0.00018
Streptomyces sp. Sge12	1972846	S	318	859	1177	0.00025
Streptomyces sp. CB00271	2750025	S	293	352	645	0.00014
Streptomyces sp. CFMR 7	1649184	S	244	460	704	0.00015
Streptomyces sp. 11-1-2	1851167	S	230	509	739	0.00016
Streptomyces sp. LBUM 1480	2609808	S	183	1800	1983	0.00042
Streptomyces sp. endophyte_N2	2153485	S	170	605	775	0.00016
Streptomyces sp. CB04723	2748873	S	167	347	514	0.00011
Streptomyces sp. M56	1495638	S	165	514	679	0.00014
Streptomyces sp. CLI2509	1984801	S	143	808	951	0.00020
Streptomyces sp. NA03103	2742134	S	140	977	1117	0.00024
Streptomyces sp. Tu6071	355249	S	126	669	795	0.00017
Streptomyces sp. VN1	1821625	S	114	508	622	0.00013
Streptomyces sp. KPB2	2305221	S	110	1177	1287	0.00027
Streptomyces sp. 2114.2	1881022	S	105	676	781	0.00017
Streptomyces sp. LBUM 1482	2609809	S	101	2054	2155	0.00046
Streptomyces capitiformicae	2014920	S	29071	9741	38812	0.00823
Streptomyces venezuelae	54571	S	6734	4298	11032	0.00234
Streptomyces chartreusis	1969	S	3989	2722	6711	0.00142
Streptomyces phaeolivaceus	2653200	S	3568	1421	4989	0.00106
Streptomyces bathyalis	2710756	S	3337	986	4323	0.00092
Streptomyces asterosporus	285570	S	3149	2083	5232	0.00111
Streptomyces albus	1888	S	2712	1124	3836	0.00081
Streptomyces cyaneochromogenes	2496836	S	2609	1227	3836	0.00081
Streptomyces griseorubiginosus	67304	S	2397	1186	3583	0.00076
Streptomyces griseus	1911	S	1121	1456	2577	0.00055
Streptomyces sp. M54	2759525	S	106	313	419	0.00009
Streptomyces globisporus	1908	S	711	996	1707	0.00036
Streptomyces anulatus	1892	S	340	385	725	0.00015
Streptomyces ferrugineus	1413221	S	2338	1189	3527	0.00075
Streptomyces lydicus	47763	S	2327	1839	4166	0.00088
Streptomyces seoulensis	73044	S	2274	1342	3616	0.00077
Streptomyces bingchenggensis	379067	S	2267	802	3069	0.00065
Streptomyces tsukubensis	83656	S	2203	775	2978	0.00063
Streptomyces buecherae	2763006	S	2154	885	3039	0.00064
Streptomyces armeniacus	83291	S	2152	761	2913	0.00062
Streptomyces lincolnensis	1915	S	2067	974	3041	0.00064
Streptomyces aquilus	2548456	S	1975	934	2909	0.00062
Streptomyces niveus	193462	S	1944	1440	3384	0.00072
Streptomyces viridosporus	67581	S	1903	1323	3226	0.00068
Streptomyces davaonensis	348043	S	1849	807	2656	0.00056
Streptomyces lunaelactis	1535768	S	1848	668	2516	0.00053
Streptomyces cattleya	29303	S	1831	754	2585	0.00055
Streptomyces nigra	1827580	S	1821	1077	2898	0.00061
Streptomyces spectabilis	68270	S	1807	969	2776	0.00059
Streptomyces hygroscopicus	1912	S	1758	4395	6153	0.00130
Streptomyces cacaoi	1898	S	1661	794	2455	0.00052
Streptomyces dengpaensis	2049881	S	1654	672	2326	0.00049
Streptomyces rimosus	1927	S	1653	659	2312	0.00049
Streptomyces cadmiisoli	2184053	S	1589	582	2171	0.00046
Streptomyces prasinus	67345	S	1531	800	2331	0.00049
Streptomyces tendae	1932	S	1526	852	2378	0.00050
Streptomyces ambofaciens	1889	S	1499	1409	2908	0.00062
Streptomyces griseochromogenes	68214	S	1460	618	2078	0.00044
Streptomyces xinghaiensis	1038928	S	1455	675	2130	0.00045
Streptomyces nodosus	40318	S	1452	603	2055	0.00044
Streptomyces avermitilis	33903	S	1447	636	2083	0.00044
Streptomyces actuosus	1885	S	1421	883	2304	0.00049
Streptomyces glomeroaurantiacus	68210	S	1419	539	1958	0.00042
Streptomyces antibioticus	1890	S	1407	772	2179	0.00046
Streptomyces olivoreticuli	68246	S	1393	577	1970	0.00042
Streptomyces vietnamensis	362257	S	1391	698	2089	0.00044
Streptomyces rapamycinicus	1226757	S	1384	676	2060	0.00044
Streptomyces mobaraensis	35621	S	1363	626	1989	0.00042
Streptomyces parvulus	146923	S	1347	863	2210	0.00047
Streptomyces griseoviridis	45398	S	1337	662	1999	0.00042
Streptomyces aureoverticillatus	66871	S	1325	599	1924	0.00041
Streptomyces qaidamensis	1783515	S	1317	850	2167	0.00046
Streptomyces albulus	68570	S	1313	617	1930	0.00041
Streptomyces alboflavus	67267	S	1289	568	1857	0.00039
Streptomyces clavuligerus	1901	S	1285	412	1697	0.00036
Streptomyces atratus	1893	S	1285	434	1719	0.00036
Streptomyces galilaeus	33899	S	1279	698	1977	0.00042
Streptomyces paludis	2282738	S	1273	459	1732	0.00037
Streptomyces globosus	68209	S	1234	615	1849	0.00039
Streptomyces broussonetiae	2686304	S	1228	575	1803	0.00038
Streptomyces harbinensis	1176198	S	1214	595	1809	0.00038
Streptomyces coeruleorubidus	116188	S	1209	818	2027	0.00043
Streptomyces fodineus	1904616	S	1205	657	1862	0.00039
Streptomyces albireticuli	1940	S	1205	568	1773	0.00038
Streptomyces rectiverticillatus	173860	S	1197	563	1760	0.00037
Streptomyces glaucescens	1907	S	1181	728	1909	0.00040
Streptomyces ficellus	1977088	S	1176	614	1790	0.00038
Streptomyces griseocarneus	51201	S	1175	591	1766	0.00037
Streptomyces lavendulae	1914	S	1159	594	1753	0.00037
Streptomyces chromofuscus	42881	S	1157	682	1839	0.00039
Streptomyces luteoverticillatus	66425	S	1139	549	1688	0.00036
Streptomyces exfoliatus	1905	S	1135	589	1724	0.00037
Streptomyces roseochromogenus	285450	S	1129	533	1662	0.00035
Streptomyces katrae	68223	S	1128	618	1746	0.00037
Streptomyces pactum	68249	S	1128	701	1829	0.00039
Streptomyces hawaiiensis	67305	S	1128	748	1876	0.00040
Streptomyces gilvosporeus	553510	S	1075	464	1539	0.00033
Streptomyces pristinaespiralis	38300	S	1066	620	1686	0.00036
Streptomyces collinus	42684	S	1047	588	1635	0.00035
Streptomyces subrutilus	36818	S	1047	599	1646	0.00035
Streptomyces peucetius	1950	S	1018	422	1440	0.00031
Streptomyces incarnatus	665007	S	1016	574	1590	0.00034
Streptomyces tirandamycinicus	2174846	S	1014	525	1539	0.00033
Streptomyces tuirus	68278	S	1013	755	1768	0.00037
Streptomyces pratensis	1169025	S	1004	683	1687	0.00036
Streptomyces nitrosporeus	28894	S	987	445	1432	0.00030
Streptomyces spongiicola	1690221	S	970	476	1446	0.00031
Streptomyces pluripotens	1355015	S	932	337	1269	0.00027
Streptomyces vinaceus	1960	S	932	504	1436	0.00030
Streptomyces kanamyceticus	1967	S	930	496	1426	0.00030
Streptomyces formicae	1616117	S	927	528	1455	0.00031
Streptomyces hundungensis	1077946	S	925	400	1325	0.00028
Streptomyces cyanogenus	80860	S	916	567	1483	0.00031
Streptomyces fagopyri	2662397	S	902	461	1363	0.00029
Streptomyces rutgersensis	53451	S	897	593	1490	0.00032
Streptomyces alboniger	132473	S	894	491	1385	0.00029
Streptomyces gardneri	66892	S	878	540	1418	0.00030
Streptomyces finlayi	67296	S	868	307	1175	0.00025
Streptomyces qinzhouensis	2599401	S	860	335	1195	0.00025
Streptomyces nojiriensis	66374	S	728	458	1186	0.00025
Streptomyces violaceusniger	68280	S	657	515	1172	0.00025
Streptomyces leeuwenhoekii	1437453	S	627	586	1213	0.00026
Streptomyces olivaceus	47716	S	576	1229	1805	0.00038
Streptomyces cyaneogriseus	68192	S	562	611	1173	0.00025
Streptomyces albidoflavus	1886	S	402	1649	2051	0.00043
Streptomyces koyangensis	188770	S	528	667	1195	0.00025
Streptomyces noursei	1971	S	464	453	917	0.00019
Streptomyces antimycoticus	68175	S	463	562	1025	0.00022
Streptomyces platensis	58346	S	445	391	836	0.00018
Streptomyces fulvissimus	68202	S	381	1638	2019	0.00043
Streptomyces viridifaciens	48665	S	339	1336	1675	0.00036
Streptomyces fungicidicus	68203	S	331	1056	1387	0.00029
Streptomyces xiamenensis	408015	S	286	346	632	0.00013
Streptomyces cavourensis	67258	S	230	489	719	0.00015
Streptomyces alfalfae	1642299	S	215	1061	1276	0.00027
Streptomyces autolyticus	75293	S	162	656	818	0.00017
Streptomyces californicus	67351	S	158	489	647	0.00014
Streptomyces solisilvae	1929477	S	141	491	632	0.00013
Streptomyces fradiae	1906	S	139	196949	197088	0.04179
Streptomyces malaysiensis	92644	S	132	460	592	0.00013
Streptomyces murinus	33900	S	117	388	505	0.00011
Streptomyces scabiei	1930	S	100	800	900	0.00019
Kitasatospora sp. MMS16-BH015	2018025	S	2072	947	3019	0.00064
Kitasatospora sp. NA04385	2742135	S	1577	1187	2764	0.00059
Kitasatospora setae	2066	S	1565	1146	2711	0.00058
Kitasatospora albolonga	68173	S	574	542	1116	0.00024
Kitasatospora aureofaciens	1894	S	258	1201	1459	0.00031
Streptacidiphilus sp. P02-A3a	2704468	S	2069	946	3015	0.00064
Streptacidiphilus sp. PB12-B1b	2705012	S	1580	865	2445	0.00052
Streptacidiphilus bronchialis	2126346	S	1543	784	2327	0.00049
Micromonospora sp. WMMC415	2675222	S	6539	6152	12691	0.00269
Micromonospora sp. 28ISP2-46	2749844	S	2875	3994	6869	0.00146
Micromonospora sp. WMMA2032	2039870	S	2679	4080	6759	0.00143
Micromonospora sp. HM134	2583243	S	2565	2795	5360	0.00114
Micromonospora sp. B006	2201999	S	2041	3644	5685	0.00121
Micromonospora sp. L5	648999	S	221	3351	3572	0.00076
Micromonospora inositola	47865	S	7852	8784	16636	0.00353
Micromonospora echinaurantiaca	47857	S	5791	6473	12264	0.00260
Micromonospora purpureochromogenes	47872	S	4646	5502	10148	0.00215
Micromonospora terminaliae	1914461	S	4535	5484	10019	0.00212
Micromonospora krabiensis	307121	S	4439	3754	8193	0.00174
Micromonospora viridifaciens	1881	S	4358	4456	8814	0.00187
Micromonospora echinofusca	47858	S	4326	4469	8795	0.00187
Micromonospora carbonacea	47853	S	3891	3909	7800	0.00165
Micromonospora narathiwatensis	299146	S	3641	4132	7773	0.00165
Micromonospora coxensis	356852	S	3639	4452	8091	0.00172
Micromonospora coriariae	285665	S	3566	3420	6986	0.00148
Micromonospora siamensis	299152	S	3489	3759	7248	0.00154
Micromonospora auratinigra	261654	S	3404	4120	7524	0.00160
Micromonospora echinospora	1877	S	3262	2906	6168	0.00131
Micromonospora maris	1003110	S	2921	2133	5054	0.00107
Micromonospora sagamiensis	47875	S	2910	2867	5777	0.00123
Micromonospora zamorensis	709883	S	2608	2416	5024	0.00107
Micromonospora chokoriensis	356851	S	2555	2261	4816	0.00102
Micromonospora rifamycinica	291594	S	2340	2610	4950	0.00105
Micromonospora craniellae	2294034	S	1962	2635	4597	0.00097
Micromonospora tulbaghiae	479978	S	1355	3133	4488	0.00095
Micromonospora aurantiaca	47850	S	750	10112	10862	0.00230
Actinoplanes sp. N902-109	649831	S	6130	5099	11229	0.00238
Actinoplanes sp. OR16	946334	S	5830	7490	13320	0.00282
Actinoplanes friuliensis	196914	S	6286	2769	9055	0.00192
Actinoplanes teichomyceticus	1867	S	5936	4764	10700	0.00227
Actinoplanes missouriensis	1866	S	5595	4412	10007	0.00212
Actinoplanes derwentensis	113562	S	4803	1987	6790	0.00144
Phytohabitans suffuscus	624315	S	8152	4976	13128	0.00278
Phytohabitans flavus	1076124	S	6779	3591	10370	0.00220
Plantactinospora sp. KBS50	2024580	S	4806	2950	7756	0.00164
Plantactinospora sp. BB1	2071627	S	896	4798	5694	0.00121
Plantactinospora sp. BC1	2108470	S	760	4141	4901	0.00104
Actinocatenispora thailandica	227318	S	4516	1748	6264	0.00133
Salinispora arenicola	168697	S	1790	1036	2826	0.00060
Salinispora tropica	168695	S	1604	982	2586	0.00055
Verrucosispora sp. NA02020	2742132	S	2104	3159	5263	0.00112
Microbacterium sp. NY27	2782169	S	1552	849	2401	0.00051
Microbacterium sp. No. 7	1714373	S	1132	662	1794	0.00038
Microbacterium sp. WY121	2782168	S	1004	563	1567	0.00033
Microbacterium sp. 4R-513	2567934	S	879	412	1291	0.00027
Microbacterium sp. YJN-G	2763257	S	731	458	1189	0.00025
Microbacterium sp. JZ31	1906274	S	717	422	1139	0.00024
Microbacterium sp. 10M-3C3	2483401	S	656	480	1136	0.00024
Microbacterium sp. BH-3-3-3	1906742	S	570	317	887	0.00019
Microbacterium sp. A18JL241	2782166	S	556	296	852	0.00018
Microbacterium sp. ABRD_28	2268461	S	536	227	763	0.00016
Microbacterium sp. LKL04	912630	S	531	309	840	0.00018
Microbacterium sp. Se63.02b	2709304	S	526	375	901	0.00019
Microbacterium sp. A18JL200	2782167	S	524	305	829	0.00018
Microbacterium sp. PM5	2014534	S	489	256	745	0.00016
Microbacterium sp. XT11	367477	S	478	266	744	0.00016
Microbacterium sp. Y-01	2048898	S	469	451	920	0.00020
Microbacterium sp. RG1	2489212	S	436	195	631	0.00013
Microbacterium sp. TPU 3598	1938334	S	358	279	637	0.00014
Microbacterium sp. 1S1	2606451	S	356	568	924	0.00020
Microbacterium sp. CBA3102	2603598	S	342	241	583	0.00012
Microbacterium sp. HY82	2708079	S	298	67	365	0.00008
Microbacterium sp. Nx66	2766784	S	294	790	1084	0.00023
Microbacterium sp. PAMC 28756	1795053	S	257	1013	1270	0.00027
Microbacterium sp. HY60	2769067	S	245	48	293	0.00006
Microbacterium hominis	162426	S	1650	1035	2685	0.00057
Microbacterium foliorum	104336	S	1055	664	1719	0.00036
Microbacterium oleivorans	273677	S	946	471	1417	0.00030
Microbacterium oxydans	82380	S	760	581	1341	0.00028
Microbacterium lemovicicum	1072463	S	733	395	1128	0.00024
Microbacterium sediminis	904291	S	671	541	1212	0.00026
Microbacterium caowuchunii	2614638	S	656	290	946	0.00020
Microbacterium oryzae	743009	S	647	367	1014	0.00022
Microbacterium pygmaeum	370764	S	599	233	832	0.00018
Microbacterium aurum	36805	S	575	379	954	0.00020
Microbacterium chocolatum	84292	S	569	276	845	0.00018
Microbacterium wangchenii	2541726	S	567	370	937	0.00020
Microbacterium lushaniae	2614639	S	558	375	933	0.00020
Microbacterium esteraromaticum	57043	S	554	285	839	0.00018
Microbacterium testaceum	2033	S	542	254	796	0.00017
Microbacterium protaetiae	2509458	S	511	191	702	0.00015
Microbacterium hydrocarbonoxydans	273678	S	385	222	607	0.00013
Microbacterium schleiferi	69362	S	335	147	482	0.00010
Microbacterium amylolyticum	936337	S	251	63	314	0.00007
Microbacterium endophyticum	1526412	S	143	19	162	0.00003
Microbacterium paludicola	300019	S	118	1091	1209	0.00026
Agromyces sp. LHK192	2498704	S	1249	748	1997	0.00042
Agromyces sp. KACC 19306	2592652	S	1117	673	1790	0.00038
Agromyces sp. G127AT	2781962	S	896	509	1405	0.00030
Agromyces sp. HY052	2585717	S	806	438	1244	0.00026
Agromyces flavus	589382	S	3323	2019	5342	0.00113
Agromyces aureus	453304	S	1391	803	2194	0.00047
Agromyces protaetiae	2509455	S	971	547	1518	0.00032
Agromyces badenianii	2080742	S	854	591	1445	0.00031
Rathayibacter sp. VKM Ac-2759	2609252	S	797	495	1292	0.00027
Rathayibacter sp. VKM Ac-2760	2609253	S	557	445	1002	0.00021
Rathayibacter sp. VKM Ac-2804	2609257	S	527	616	1143	0.00024
Rathayibacter sp. VKM Ac-2801	2609255	S	257	398	655	0.00014
Rathayibacter sp. VKM Ac-2762	2609254	S	135	526	661	0.00014
Rathayibacter sp. VKM Ac-2805	2609258	S	129	508	637	0.00014
Rathayibacter festucae	110937	S	809	1389	2198	0.00047
Rathayibacter tanaceti	1671680	S	508	276	784	0.00017
Rathayibacter iranicus	59737	S	315	97	412	0.00009
Rathayibacter tritici	33888	S	306	191	497	0.00011
Rathayibacter rathayi	33887	S	273	160	433	0.00009
Rathayibacter toxicus	145458	S	167	23	190	0.00004
Curtobacterium sp. BH-2-1-1	1905847	S	581	414	995	0.00021
Curtobacterium sp. SGAir0471	2070337	S	550	499	1049	0.00022
Curtobacterium sp. 24E2	2804758	S	467	322	789	0.00017
Curtobacterium sp. MR_MD2014	1561023	S	461	410	871	0.00018
Curtobacterium sp. YC1	2795488	S	455	364	819	0.00017
Curtobacterium sp. Csp2	2495430	S	279	865	1144	0.00024
Curtobacterium flaccumfaciens	2035	S	908	622	1530	0.00032
Curtobacterium pusillum	69373	S	562	269	831	0.00018
Leifsonia sp. PS1209	2724914	S	776	442	1218	0.00026
Leifsonia sp. 21MFCrub1.1	1798223	S	717	1325	2042	0.00043
Leifsonia xyli	1575	S	1510	1161	2671	0.00057
Leifsonia shinshuensis	150026	S	1038	535	1573	0.00033
Clavibacter michiganensis	28447	S	2651	1966	4617	0.00098
Clavibacter sp. DM1	2768071	S	472	507	979	0.00021
Agrococcus carbonis	684552	S	1149	718	1867	0.00040
Agrococcus jejuensis	399736	S	883	538	1421	0.00030
Agrococcus sp. SGAir0287	2070347	S	839	515	1354	0.00029
Leucobacter muris	1935379	S	698	351	1049	0.00022
Leucobacter triazinivorans	1784719	S	631	314	945	0.00020
Leucobacter sp. CX169	2813744	S	447	162	609	0.00013
Leucobacter insecticola	2714934	S	177	32	209	0.00004
Leucobacter viscericola	2714935	S	140	30	170	0.00004
Leucobacter denitrificans	683042	S	135	23	158	0.00003
Leucobacter coleopterorum	2714933	S	114	23	137	0.00003
Salinibacterium sp. ZJ450	2708338	S	670	250	920	0.00020
Salinibacterium sp. ZJ70	2708084	S	502	252	754	0.00016
Salinibacterium sp. dk2585	2603292	S	465	182	647	0.00014
Salinibacterium sp. UTAS2018	2508880	S	187	25	212	0.00005
Salinibacterium hongtaonis	2079791	S	191	42	233	0.00005
Cryobacterium sp. LW097	1978566	S	512	227	739	0.00016
Cryobacterium arcticum	670052	S	424	358	782	0.00017
Cryobacterium soli	2220095	S	401	330	731	0.00016
Protaetiibacter sp. SSC-01	2759943	S	761	509	1270	0.00027
Protaetiibacter intestinalis	2419774	S	667	465	1132	0.00024
Microterricola viridarii	412690	S	1386	704	2090	0.00044
Frondihabitans sp. PAMC 28766	1795630	S	713	218	931	0.00020
Frondihabitans sp. 762G35	1446794	S	598	270	868	0.00018
Plantibacter sp. PA-3-X8	2480625	S	232	357	589	0.00013
Plantibacter sp. M259	2583822	S	199	297	496	0.00011
Plantibacter flavus	150123	S	251	305	556	0.00012
Herbiconiux sp. SALV-R1	2735133	S	915	376	1291	0.00027
Humibacter sp. WJ7-1	2599293	S	701	257	958	0.00020
Humibacter sp. BT305	2282656	S	208	955	1163	0.00025
Frigoribacterium sp. NBH87	2596916	S	855	482	1337	0.00028
Gryllotalpicola protaetiae	2419771	S	788	316	1104	0.00023
Chryseoglobus sp. 28M-23	2772253	S	163	434	597	0.00013
Chryseoglobus indicus	2750620	S	145	385	530	0.00011
Mycetocola zhujimingii	2079792	S	362	94	456	0.00010
Mycetocola sp. JXN-3	2116510	S	361	97	458	0.00010
