name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. PBH53	1577075	S	4344	2910	7254	0.00180
Streptomyces sp. HM190	2695266	S	3826	1862	5688	0.00141
Streptomyces sp. jing01	2726118	S	3441	2952	6393	0.00158
Streptomyces sp. DSM 40868	2721173	S	3428	1926	5354	0.00133
Streptomyces sp. P3	2135430	S	3249	1418	4667	0.00116
Streptomyces sp. WAC 01438	2203204	S	3057	1689	4746	0.00118
Streptomyces sp. CdTB01	1725411	S	3045	1402	4447	0.00110
Streptomyces sp. 3214.6	1882757	S	2792	1349	4141	0.00103
Streptomyces sp. Z022	1442032	S	2746	1520	4266	0.00106
Streptomyces sp. SAT1	1849967	S	2502	1246	3748	0.00093
Streptomyces sp. M2	646637	S	2426	1148	3574	0.00089
Streptomyces sp. Z423-1	2730915	S	2416	1178	3594	0.00089
Streptomyces sp. Go-475	2072505	S	2251	1588	3839	0.00095
Streptomyces sp. CRXT-G-22	2768066	S	2134	726	2860	0.00071
Streptomyces sp. NEAU-sy36	2751189	S	1969	1145	3114	0.00077
Streptomyces sp. ZYC-3	2797636	S	1947	812	2759	0.00068
Streptomyces sp. NA02950	2742137	S	1694	568	2262	0.00056
Streptomyces sp. JB150	2714844	S	1668	1017	2685	0.00067
Streptomyces sp. CRXT-Y-14	2768069	S	1531	615	2146	0.00053
Streptomyces sp. SN-593	659352	S	1529	508	2037	0.00050
Streptomyces sp. RTd22	1841249	S	1444	1557	3001	0.00074
Streptomyces sp. Rer75	2750011	S	1402	1704	3106	0.00077
Streptomyces sp. NHF165	2175864	S	1398	428	1826	0.00045
Streptomyces sp. So13.3	2136173	S	1391	410	1801	0.00045
Streptomyces sp. TLI_053	1855352	S	1375	537	1912	0.00047
Streptomyces sp. CB01881	2078691	S	1275	484	1759	0.00044
Streptomyces sp. SCUT-3	2684469	S	1243	597	1840	0.00046
Streptomyces sp. RPA4-2	2721244	S	1215	638	1853	0.00046
Streptomyces sp. SCSIO 3032	1264596	S	1212	394	1606	0.00040
Streptomyces sp. CCM_MD2014	1561022	S	1182	1960	3142	0.00078
Streptomyces sp. RLB1-33	2721243	S	1147	1301	2448	0.00061
Streptomyces sp. SYP-A7193	2662065	S	1111	1091	2202	0.00055
Streptomyces sp. CRPJ-33	2768068	S	1089	470	1559	0.00039
Streptomyces sp. QMT-12	2717324	S	1065	383	1448	0.00036
Streptomyces sp. NA04227	2742136	S	1006	327	1333	0.00033
Streptomyces sp. MBT27	1488356	S	994	384	1378	0.00034
Streptomyces sp. YIM 121038	2136401	S	979	427	1406	0.00035
Streptomyces sp. QHH-9511	2684468	S	964	421	1385	0.00034
Streptomyces sp. HSG2	2797167	S	938	287	1225	0.00030
Streptomyces sp. W1SF4	2305220	S	925	474	1399	0.00035
Streptomyces sp. C8S0	2585716	S	921	376	1297	0.00032
Streptomyces sp. GS7	2692234	S	914	389	1303	0.00032
Streptomyces sp. SUK 48	2582831	S	866	894	1760	0.00044
Streptomyces sp. WAC 01529	2203205	S	808	425	1233	0.00031
Streptomyces sp. CB09001	2083284	S	782	851	1633	0.00040
Streptomyces sp. HF10	2692233	S	748	855	1603	0.00040
Streptomyces sp. SirexAA-E	862751	S	735	385	1120	0.00028
Streptomyces sp. SM18	1736046	S	726	358	1084	0.00027
Streptomyces sp. Tu 2975	2676871	S	711	358	1069	0.00026
Streptomyces sp. 2323.1	1938841	S	695	325	1020	0.00025
Streptomyces sp. CMB-StM0423	2059884	S	655	891	1546	0.00038
Streptomyces sp. fd1-xmd	1812480	S	623	521	1144	0.00028
Streptomyces sp. INR7	2607753	S	574	588	1162	0.00029
Streptomyces sp. TN58	234612	S	529	473	1002	0.00025
Streptomyces sp. S4.7	2705439	S	527	285	812	0.00020
Streptomyces sp. WAC 06738	2203210	S	458	1211	1669	0.00041
Streptomyces sp. Mg1	465541	S	408	788	1196	0.00030
Streptomyces sp. AgN23	1188315	S	391	485	876	0.00022
Streptomyces sp. 769	1262452	S	389	347	736	0.00018
Streptomyces sp. RPA4-5	2721245	S	371	322	693	0.00017
Streptomyces sp. CNQ-509	444103	S	366	942	1308	0.00032
Streptomyces sp. ADI95-16	1522758	S	343	618	961	0.00024
Streptomyces sp. S063	2005885	S	333	327	660	0.00016
Streptomyces sp. NA02536	2742133	S	330	1120	1450	0.00036
Streptomyces sp. XC 2026	2782004	S	297	381	678	0.00017
Streptomyces sp. S8	1837283	S	293	330	623	0.00015
Streptomyces sp. SGAir0924	2109593	S	292	1688	1980	0.00049
Streptomyces sp. NEAU-S7GS2	2202000	S	282	354	636	0.00016
Streptomyces sp. SS52	2563602	S	279	1905	2184	0.00054
Streptomyces sp. NA03103	2742134	S	277	2526	2803	0.00069
Streptomyces sp. 3211	1964449	S	269	611	880	0.00022
Streptomyces sp. Tue 6075	1661694	S	269	310	579	0.00014
Streptomyces sp. CB00271	2750025	S	268	327	595	0.00015
Streptomyces sp. ID38640	1265399	S	249	324	573	0.00014
Streptomyces sp. MOE7	1961713	S	234	363	597	0.00015
Streptomyces sp. KPB2	2305221	S	230	3217	3447	0.00085
Streptomyces sp. Sge12	1972846	S	212	727	939	0.00023
Streptomyces sp. 11-1-2	1851167	S	180	442	622	0.00015
Streptomyces sp. M56	1495638	S	155	540	695	0.00017
Streptomyces sp. CFMR 7	1649184	S	154	297	451	0.00011
Streptomyces sp. CB04723	2748873	S	135	293	428	0.00011
Streptomyces sp. endophyte_N2	2153485	S	133	513	646	0.00016
Streptomyces sp. VN1	1821625	S	127	613	740	0.00018
Streptomyces sp. Tu6071	355249	S	126	904	1030	0.00026
Streptomyces sp. CLI2509	1984801	S	126	963	1089	0.00027
Streptomyces sp. LBUM 1482	2609809	S	103	2517	2620	0.00065
Streptomyces cyanogenus	80860	S	12122	6905	19027	0.00471
Streptomyces harbinensis	1176198	S	8454	3380	11834	0.00293
Streptomyces tendae	1932	S	6713	3287	10000	0.00248
Streptomyces hygroscopicus	1912	S	6207	18428	24635	0.00610
Streptomyces griseorubiginosus	67304	S	5846	2602	8448	0.00209
Streptomyces venezuelae	54571	S	5689	3008	8697	0.00216
Streptomyces chartreusis	1969	S	4998	3612	8610	0.00213
Streptomyces actuosus	1885	S	4739	2581	7320	0.00181
Streptomyces seoulensis	73044	S	4096	2070	6166	0.00153
Streptomyces griseochromogenes	68214	S	4015	1528	5543	0.00137
Streptomyces incarnatus	665007	S	3660	1916	5576	0.00138
Streptomyces collinus	42684	S	3594	1791	5385	0.00133
Streptomyces capitiformicae	2014920	S	3386	1026	4412	0.00109
Streptomyces viridosporus	67581	S	3153	2182	5335	0.00132
Streptomyces phaeolivaceus	2653200	S	2843	1023	3866	0.00096
Streptomyces davaonensis	348043	S	2841	1103	3944	0.00098
Streptomyces fodineus	1904616	S	2752	1372	4124	0.00102
Streptomyces cacaoi	1898	S	2751	1185	3936	0.00098
Streptomyces broussonetiae	2686304	S	2538	1066	3604	0.00089
Streptomyces lincolnensis	1915	S	2503	1058	3561	0.00088
Streptomyces cyaneochromogenes	2496836	S	2438	1043	3481	0.00086
Streptomyces galilaeus	33899	S	2431	1147	3578	0.00089
Streptomyces aquilus	2548456	S	2423	1024	3447	0.00085
Streptomyces bingchenggensis	379067	S	2384	701	3085	0.00076
Streptomyces albus	1888	S	2364	806	3170	0.00079
Streptomyces antibioticus	1890	S	2337	1126	3463	0.00086
Streptomyces roseochromogenus	285450	S	2329	1003	3332	0.00083
