name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2772	1650	4422	0.00066
Bradyrhizobium sp. CCBAU 51753	1325100	S	2354	1651	4005	0.00060
Bradyrhizobium sp. BTAi1	288000	S	2040	1077	3117	0.00047
Bradyrhizobium sp. ORS 278	114615	S	1968	1321	3289	0.00049
Bradyrhizobium sp. ORS 285	115808	S	1859	1274	3133	0.00047
Bradyrhizobium sp. SK17	2057741	S	1558	1512	3070	0.00046
Bradyrhizobium sp. 6(2017)	1197460	S	1511	1114	2625	0.00039
Bradyrhizobium sp. CCBAU 53421	1325120	S	1394	1294	2688	0.00040
Bradyrhizobium sp. PSBB068	2715960	S	1348	1305	2653	0.00040
Bradyrhizobium sp. CCBAU 51765	1325102	S	1215	1224	2439	0.00037
Bradyrhizobium sp. CCBAU 53338	1325111	S	1134	1553	2687	0.00040
Bradyrhizobium sp. CCGE-LA001	1223566	S	1132	998	2130	0.00032
Bradyrhizobium sp. 1(2017)	1404888	S	1041	1024	2065	0.00031
Bradyrhizobium sp. CCBAU 53340	1325112	S	1016	1332	2348	0.00035
Bradyrhizobium sp. CCBAU 53351	1325114	S	957	1536	2493	0.00037
Bradyrhizobium sp.	376	S	738	2647	3385	0.00051
Bradyrhizobium sp. WSM471	319017	S	324	1428	1752	0.00026
Bradyrhizobium sp. LCT2	2493093	S	213	1156	1369	0.00021
Bradyrhizobium erythrophlei	1437360	S	6275	1871	8146	0.00122
Bradyrhizobium diazoefficiens	1355477	S	4985	14098	19083	0.00286
Bradyrhizobium icense	1274631	S	3505	1555	5060	0.00076
Bradyrhizobium paxllaeri	190148	S	3129	2013	5142	0.00077
Bradyrhizobium lablabi	722472	S	2208	4554	6762	0.00101
Bradyrhizobium oligotrophicum	44255	S	2017	1026	3043	0.00046
Bradyrhizobium genosp. L	83637	S	1786	1150	2936	0.00044
Bradyrhizobium canariense	255045	S	1502	431	1933	0.00029
Bradyrhizobium japonicum	375	S	1466	4141	5607	0.00084
Bradyrhizobium guangdongense	1325090	S	1417	1855	3272	0.00049
Bradyrhizobium symbiodeficiens	1404367	S	1237	1612	2849	0.00043
Bradyrhizobium zhanjiangense	1325107	S	1225	936	2161	0.00032
Bradyrhizobium vignae	1549949	S	1166	892	2058	0.00031
Bradyrhizobium genosp. B	83627	S	1138	848	1986	0.00030
Bradyrhizobium cosmicum	1404864	S	1135	1275	2410	0.00036
Bradyrhizobium arachidis	858423	S	1133	1077	2210	0.00033
Bradyrhizobium guangxiense	1325115	S	1014	1522	2536	0.00038
Bradyrhizobium guangzhouense	1325095	S	1007	1313	2320	0.00035
Bradyrhizobium amphicarpaeae	1404768	S	756	1034	1790	0.00027
Bradyrhizobium betae	244734	S	720	1002	1722	0.00026
Bradyrhizobium ottawaense	931866	S	240	3031	3271	0.00049
Bosea sp. Tri-49	1867715	S	2462	1181	3643	0.00055
Bosea sp. F3-2	2599640	S	2172	1265	3437	0.00052
Bosea sp. RAC05	1842539	S	2047	1078	3125	0.00047
Bosea sp. AS-1	2015316	S	1993	1141	3134	0.00047
Bosea sp. ANAM02	2020412	S	1732	1039	2771	0.00042
Bosea sp. PAMC 26642	1792307	S	1500	727	2227	0.00033
Bosea vaviloviae	1526658	S	1947	987	2934	0.00044
Rhodopseudomonas palustris	1076	S	12086	10045	22131	0.00332
Tardiphaga robiniae	943830	S	1320	529	1849	0.00028
Afipia carboxidovorans	40137	S	1399	767	2166	0.00033
Afipia sp. GAS231	1882747	S	1188	1567	2755	0.00041
Nitrobacter hamburgensis	912	S	1266	507	1773	0.00027
Nitrobacter winogradskyi	913	S	1034	501	1535	0.00023
Variibacter gotjawalensis	1333996	S	2282	524	2806	0.00042
Rhizobium sp. BG4	2613770	S	870	340	1210	0.00018
Rhizobium sp. NXC24	2048897	S	660	251	911	0.00014
Rhizobium sp. WL3	2603277	S	620	243	863	0.00013
Rhizobium sp. ACO-34A	1571470	S	618	262	880	0.00013
Rhizobium sp. 11515TR	2028343	S	618	264	882	0.00013
Rhizobium sp. CIAT894	2020312	S	418	491	909	0.00014
Rhizobium sp. NZLR1	2731096	S	413	416	829	0.00012
Rhizobium sp. NLR16a	2731112	S	396	645	1041	0.00016
Rhizobium sp. NXC14	1981173	S	353	483	836	0.00013
Rhizobium sp. ADMK78	1813451	S	352	101	453	0.00007
Rhizobium sp. Khangiran2	1435607	S	274	515	789	0.00012
Rhizobium sp. 007	2785056	S	235	404	639	0.00010
Rhizobium sp. IE4771	1301032	S	121	519	640	0.00010
Rhizobium sp. Kim5	2020311	S	120	641	761	0.00011
Rhizobium sp. TCK	136098	S	117	519	636	0.00010
Rhizobium leguminosarum	384	S	4209	9405	13614	0.00204
Rhizobium etli	29449	S	1218	2635	3853	0.00058
Rhizobium pseudoryzae	379684	S	908	345	1253	0.00019
Rhizobium favelukesii	348824	S	786	241	1027	0.00015
Rhizobium jaguaris	1312183	S	725	207	932	0.00014
Rhizobium phaseoli	396	S	652	2116	2768	0.00042
Rhizobium bangladeshense	1138189	S	636	406	1042	0.00016
Rhizobium gallicum	56730	S	564	1062	1626	0.00024
Rhizobium lusitanum	293958	S	484	190	674	0.00010
Rhizobium lentis	1138194	S	467	351	818	0.00012
Rhizobium rosettiformans	1368430	S	465	295	760	0.00011
