name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2889	1855	4744	0.00119
Bradyrhizobium sp. CCBAU 51753	1325100	S	2118	1630	3748	0.00094
Bradyrhizobium sp. CCBAU 53351	1325114	S	1875	3203	5078	0.00127
Bradyrhizobium sp. BTAi1	288000	S	1715	1000	2715	0.00068
Bradyrhizobium sp. ORS 278	114615	S	1600	1186	2786	0.00070
Bradyrhizobium sp. ORS 285	115808	S	1565	1182	2747	0.00069
Bradyrhizobium sp. 6(2017)	1197460	S	1438	1160	2598	0.00065
Bradyrhizobium sp. CCBAU 51765	1325102	S	1431	1555	2986	0.00075
Bradyrhizobium sp. SK17	2057741	S	1363	1438	2801	0.00070
Bradyrhizobium sp. CCBAU 53421	1325120	S	1277	1295	2572	0.00064
Bradyrhizobium sp. PSBB068	2715960	S	1171	1240	2411	0.00060
Bradyrhizobium sp. 1(2017)	1404888	S	1131	1206	2337	0.00058
Bradyrhizobium sp. CCGE-LA001	1223566	S	1113	1064	2177	0.00054
Bradyrhizobium sp. CCBAU 53340	1325112	S	1075	1500	2575	0.00064
Bradyrhizobium sp. CCBAU 53338	1325111	S	1016	1481	2497	0.00062
Bradyrhizobium sp.	376	S	708	2736	3444	0.00086
Bradyrhizobium sp. WSM471	319017	S	330	1588	1918	0.00048
Bradyrhizobium sp. LCT2	2493093	S	153	874	1027	0.00026
Bradyrhizobium erythrophlei	1437360	S	5782	1898	7680	0.00192
Bradyrhizobium diazoefficiens	1355477	S	4890	14598	19488	0.00488
Bradyrhizobium icense	1274631	S	3229	1558	4787	0.00120
Bradyrhizobium paxllaeri	190148	S	3005	2081	5086	0.00127
Bradyrhizobium lablabi	722472	S	1924	4203	6127	0.00153
Bradyrhizobium guangxiense	1325115	S	1842	2936	4778	0.00120
Bradyrhizobium zhanjiangense	1325107	S	1820	1493	3313	0.00083
Bradyrhizobium oligotrophicum	44255	S	1711	959	2670	0.00067
Bradyrhizobium genosp. L	83637	S	1666	1169	2835	0.00071
Bradyrhizobium canariense	255045	S	1510	477	1987	0.00050
Bradyrhizobium japonicum	375	S	1439	3971	5410	0.00135
Bradyrhizobium guangdongense	1325090	S	1377	1915	3292	0.00082
Bradyrhizobium vignae	1549949	S	1324	1090	2414	0.00060
Bradyrhizobium symbiodeficiens	1404367	S	1304	1811	3115	0.00078
Bradyrhizobium arachidis	858423	S	1099	1117	2216	0.00055
Bradyrhizobium genosp. B	83627	S	1060	853	1913	0.00048
Bradyrhizobium cosmicum	1404864	S	1040	1252	2292	0.00057
Bradyrhizobium guangzhouense	1325095	S	1012	1399	2411	0.00060
Bradyrhizobium amphicarpaeae	1404768	S	800	1170	1970	0.00049
Bradyrhizobium betae	244734	S	681	1010	1691	0.00042
Bradyrhizobium ottawaense	931866	S	243	3228	3471	0.00087
Bosea sp. Tri-49	1867715	S	1506	789	2295	0.00057
Bosea sp. F3-2	2599640	S	1386	875	2261	0.00057
Bosea sp. RAC05	1842539	S	1337	764	2101	0.00053
Bosea sp. AS-1	2015316	S	1291	801	2092	0.00052
Bosea sp. ANAM02	2020412	S	1089	706	1795	0.00045
Bosea sp. PAMC 26642	1792307	S	1059	554	1613	0.00040
Bosea vaviloviae	1526658	S	1193	644	1837	0.00046
Rhodopseudomonas palustris	1076	S	9916	9091	19007	0.00476
Tardiphaga robiniae	943830	S	1096	477	1573	0.00039
Nitrobacter hamburgensis	912	S	1317	584	1901	0.00048
Nitrobacter winogradskyi	913	S	920	493	1413	0.00035
Afipia carboxidovorans	40137	S	1225	605	1830	0.00046
Afipia sp. GAS231	1882747	S	1077	1536	2613	0.00065
Variibacter gotjawalensis	1333996	S	2050	527	2577	0.00064
Rhizobium sp. BG4	2613770	S	666	305	971	0.00024
Rhizobium sp. NXC24	2048897	S	656	303	959	0.00024
Rhizobium sp. 11515TR	2028343	S	558	300	858	0.00021
Rhizobium sp. ACO-34A	1571470	S	411	198	609	0.00015
Rhizobium sp. WL3	2603277	S	367	172	539	0.00014
Rhizobium sp. NZLR1	2731096	S	279	343	622	0.00016
Rhizobium sp. CIAT894	2020312	S	261	379	640	0.00016
Rhizobium sp. ADMK78	1813451	S	261	88	349	0.00009
Rhizobium sp. NXC14	1981173	S	260	459	719	0.00018
Rhizobium sp. NLR16a	2731112	S	249	525	774	0.00019
Rhizobium sp. Khangiran2	1435607	S	199	482	681	0.00017
Rhizobium sp. 007	2785056	S	146	274	420	0.00011
Rhizobium leguminosarum	384	S	2804	6826	9630	0.00241
Rhizobium etli	29449	S	869	2106	2975	0.00074
Rhizobium jaguaris	1312183	S	728	235	963	0.00024
Rhizobium favelukesii	348824	S	572	193	765	0.00019
Rhizobium pseudoryzae	379684	S	560	239	799	0.00020
Rhizobium phaseoli	396	S	528	1805	2333	0.00058
Rhizobium bangladeshense	1138189	S	392	275	667	0.00017
Rhizobium lusitanum	293958	S	386	184	570	0.00014
Rhizobium tropici	398	S	357	216	573	0.00014
Rhizobium lentis	1138194	S	334	276	610	0.00015
Rhizobium binae	1138190	S	334	321	655	0.00016
Rhizobium gallicum	56730	S	326	670	996	0.00025
Rhizobium rosettiformans	1368430	S	287	217	504	0.00013
Rhizobium daejeonense	240521	S	280	163	443	0.00011
Rhizobium rhizoryzae	451876	S	249	56	305	0.00008
Rhizobium flavum	1335061	S	235	359	594	0.00015
