name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 53351	1325114	S	633	1118	1751	0.00134
Bradyrhizobium sp. CCBAU 51753	1325100	S	573	442	1015	0.00077
Bradyrhizobium sp. BTAi1	288000	S	561	322	883	0.00067
Bradyrhizobium sp. ORS 278	114615	S	508	368	876	0.00067
Bradyrhizobium sp. ORS 285	115808	S	507	375	882	0.00067
Bradyrhizobium sp. CCBAU 051011	858422	S	496	330	826	0.00063
Bradyrhizobium sp. SK17	2057741	S	438	459	897	0.00068
Bradyrhizobium sp. CCBAU 53338	1325111	S	434	654	1088	0.00083
Bradyrhizobium sp. PSBB068	2715960	S	426	445	871	0.00066
Bradyrhizobium sp. CCBAU 51765	1325102	S	394	436	830	0.00063
Bradyrhizobium sp. CCGE-LA001	1223566	S	378	363	741	0.00056
Bradyrhizobium sp. CCBAU 53421	1325120	S	359	360	719	0.00055
Bradyrhizobium sp. 1(2017)	1404888	S	358	384	742	0.00057
Bradyrhizobium sp. 6(2017)	1197460	S	334	267	601	0.00046
Bradyrhizobium sp. CCBAU 53340	1325112	S	328	473	801	0.00061
Bradyrhizobium sp.	376	S	249	948	1197	0.00091
Bradyrhizobium sp. WSM471	319017	S	103	467	570	0.00043
Bradyrhizobium erythrophlei	1437360	S	1717	577	2294	0.00175
Bradyrhizobium diazoefficiens	1355477	S	1527	4781	6308	0.00481
Bradyrhizobium guangxiense	1325115	S	774	1287	2061	0.00157
Bradyrhizobium oligotrophicum	44255	S	542	306	848	0.00065
Bradyrhizobium paxllaeri	190148	S	539	390	929	0.00071
Bradyrhizobium lablabi	722472	S	537	1303	1840	0.00140
Bradyrhizobium icense	1274631	S	518	258	776	0.00059
Bradyrhizobium guangdongense	1325090	S	508	740	1248	0.00095
Bradyrhizobium canariense	255045	S	481	155	636	0.00049
Bradyrhizobium japonicum	375	S	455	1303	1758	0.00134
Bradyrhizobium genosp. L	83637	S	453	327	780	0.00059
Bradyrhizobium vignae	1549949	S	401	340	741	0.00056
Bradyrhizobium zhanjiangense	1325107	S	394	333	727	0.00055
Bradyrhizobium symbiodeficiens	1404367	S	383	550	933	0.00071
Bradyrhizobium arachidis	858423	S	374	395	769	0.00059
Bradyrhizobium cosmicum	1404864	S	342	427	769	0.00059
Bradyrhizobium genosp. B	83627	S	337	279	616	0.00047
Bradyrhizobium guangzhouense	1325095	S	311	449	760	0.00058
Bradyrhizobium betae	244734	S	260	400	660	0.00050
Bradyrhizobium amphicarpaeae	1404768	S	242	367	609	0.00046
Rhodopseudomonas palustris	1076	S	3496	3317	6813	0.00519
Bosea sp. Tri-49	1867715	S	447	223	670	0.00051
Bosea sp. AS-1	2015316	S	420	246	666	0.00051
Bosea sp. F3-2	2599640	S	409	244	653	0.00050
Bosea sp. RAC05	1842539	S	406	222	628	0.00048
Bosea sp. ANAM02	2020412	S	360	220	580	0.00044
Bosea sp. PAMC 26642	1792307	S	331	166	497	0.00038
Bosea vaviloviae	1526658	S	362	193	555	0.00042
Nitrobacter hamburgensis	912	S	717	330	1047	0.00080
Nitrobacter winogradskyi	913	S	404	220	624	0.00048
Tardiphaga robiniae	943830	S	432	194	626	0.00048
Afipia carboxidovorans	40137	S	621	162	783	0.00060
Afipia sp. GAS231	1882747	S	294	483	777	0.00059
Variibacter gotjawalensis	1333996	S	681	169	850	0.00065
Mesorhizobium sp. J8	2777475	S	4667	3332	7999	0.00610
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	1999	3095	5094	0.00388
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	809	2897	3706	0.00282
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	749	2707	3456	0.00263
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	653	522	1175	0.00090
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	617	588	1205	0.00092
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	553	418	971	0.00074
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	492	514	1006	0.00077
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	483	323	806	0.00061
Mesorhizobium sp. N3	675281	S	481	230	711	0.00054
Mesorhizobium sp. 8	2584466	S	476	269	745	0.00057
Mesorhizobium sp. 131-2-1	2744518	S	375	357	732	0.00056
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	307	277	584	0.00045
Mesorhizobium sp. Pch-S	2082387	S	273	91	364	0.00028
Mesorhizobium sp. DCY119	2108445	S	261	131	392	0.00030
Mesorhizobium sp. INR15	2654248	S	257	102	359	0.00027
Mesorhizobium sp. L-2-11	2744521	S	202	154	356	0.00027
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	195	154	349	0.00027
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	183	170	353	0.00027
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	182	149	331	0.00025
Mesorhizobium sp. 113-3-3	2744516	S	179	190	369	0.00028
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	153	124	277	0.00021
Mesorhizobium sp. NZP2077	2483404	S	150	117	267	0.00020
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	145	140	285	0.00022
Mesorhizobium sp. 113-3-9	2744517	S	131	195	326	0.00025
Mesorhizobium sp. NZP2298	2483403	S	110	142	252	0.00019
Mesorhizobium sp. L-8-3	2744522	S	104	410	514	0.00039
Mesorhizobium oceanicum	1670800	S	382	172	554	0.00042
Mesorhizobium amorphae	71433	S	259	143	402	0.00031
Mesorhizobium loti	381	S	249	2070	2319	0.00177
Mesorhizobium opportunistum	593909	S	215	171	386	0.00029
Mesorhizobium australicum	536018	S	173	135	308	0.00024
Mesorhizobium huakuii	28104	S	159	263	422	0.00032
Mesorhizobium erdmanii	1777866	S	154	124	278	0.00021
Mesorhizobium ciceri	39645	S	142	834	976	0.00074
Mesorhizobium japonicum	2066070	S	137	273	410	0.00031
Chelativorans sp. BNC1	266779	S	1413	396	1809	0.00138
Aminobacter sp. MSH1	374606	S	233	402	635	0.00048
Nitratireductor sp. SY7	2599600	S	342	166	508	0.00039
Nitratireductor sp. OM-1	1756988	S	169	52	221	0.00017
Roseitalea porphyridii	1852022	S	316	147	463	0.00035
Hoeflea sp. IMCC20628	1620421	S	137	36	173	0.00013
Phyllobacterium zundukense	1867719	S	131	35	166	0.00013
Oricola thermophila	2742145	S	191	67	258	0.00020
Rhizobium sp. 11515TR	2028343	S	219	173	392	0.00030
Rhizobium sp. BG4	2613770	S	201	109	310	0.00024
Rhizobium sp. NXC24	2048897	S	144	90	234	0.00018
Rhizobium sp. NZLR1	2731096	S	120	212	332	0.00025
Rhizobium sp. CIAT894	2020312	S	117	253	370	0.00028
Rhizobium sp. ACO-34A	1571470	S	105	56	161	0.00012
Rhizobium leguminosarum	384	S	834	2419	3253	0.00248
Rhizobium etli	29449	S	283	832	1115	0.00085
Rhizobium phaseoli	396	S	204	860	1064	0.00081
Rhizobium jaguaris	1312183	S	159	55	214	0.00016
Rhizobium favelukesii	348824	S	158	58	216	0.00016
Rhizobium pseudoryzae	379684	S	145	66	211	0.00016
Rhizobium bangladeshense	1138189	S	138	107	245	0.00019
Rhizobium lentis	1138194	S	119	109	228	0.00017
Rhizobium binae	1138190	S	114	123	237	0.00018
Rhizobium tropici	398	S	112	76	188	0.00014
Rhizobium lusitanum	293958	S	104	66	170	0.00013
Agrobacterium tumefaciens	358	S	393	1122	1515	0.00115
Agrobacterium vitis	373	S	183	65	248	0.00019
Neorhizobium galegae	399	S	358	140	498	0.00038
Neorhizobium sp. NCHU2750	1825976	S	143	82	225	0.00017
Neorhizobium sp. SOG26	2060726	S	126	51	177	0.00013
Sinorhizobium fredii	380	S	612	1457	2069	0.00158
Sinorhizobium sp. RAC02	1842534	S	171	85	256	0.00020
Sinorhizobium sp. BG8	2613773	S	160	51	211	0.00016
Sinorhizobium meliloti	382	S	360	254	614	0.00047
Sinorhizobium americanum	194963	S	164	141	305	0.00023
Sinorhizobium medicae	110321	S	132	47	179	0.00014
Ensifer adhaerens	106592	S	350	340	690	0.00053
Ensifer mexicanus	375549	S	294	101	395	0.00030
Ensifer sp. PDNC004	2811423	S	165	115	280	0.00021
Ensifer alkalisoli	1752398	S	157	80	237	0.00018
Ensifer sojae	716925	S	154	106	260	0.00020
Shinella sp. HZN7	879274	S	317	272	589	0.00045
Shinella sp. PSBB067	2715959	S	270	267	537	0.00041
Kaistia sp. 32K	2795690	S	525	248	773	0.00059
Ciceribacter thiooxidans	1969821	S	228	91	319	0.00024
Georhizobium profundi	2341112	S	199	77	276	0.00021
Rhodoplanes sp. Z2-YC6860	674703	S	5984	1530	7514	0.00573
Devosia sp. A16	1736675	S	923	315	1238	0.00094
Devosia sp. S02	2657486	S	315	151	466	0.00036
Devosia sp. G19	2801335	S	275	140	415	0.00032
Devosia sp. LEGU1	2774137	S	202	71	273	0.00021
Devosia sp. 1566	2499144	S	190	55	245	0.00019
Devosia sp. I507	2083786	S	163	60	223	0.00017
Devosia sp. D6-9	2664417	S	124	331	455	0.00035
Devosia ginsengisoli	400770	S	302	140	442	0.00034
Hyphomicrobium denitrificans	53399	S	507	101	608	0.00046
Hyphomicrobium nitrativorans	1427356	S	257	53	310	0.00024
Hyphomicrobium sp. MC1	717785	S	250	44	294	0.00022
Blastochloris tepida	2233851	S	480	311	791	0.00060
Blastochloris viridis	1079	S	457	290	747	0.00057
Methyloceanibacter sp. wino2	2170729	S	165	58	223	0.00017
Methyloceanibacter caenitepidi	1384459	S	164	53	217	0.00017
Youhaiella tibetensis	1447062	S	366	142	508	0.00039
Aquabacter sp. L1I39	2820278	S	309	123	432	0.00033
Methyloligella sp. GL2	2742204	S	248	72	320	0.00024
Rhodomicrobium vannielii	1069	S	216	42	258	0.00020
Pelagibacterium halotolerans	531813	S	174	41	215	0.00016
Paradevosia shaoguanensis	1335043	S	132	369	501	0.00038
Caenibius tardaugens	169176	S	112	91	203	0.00015
Methylobacterium sp. 4-46	426117	S	652	437	1089	0.00083
Methylobacterium sp. 17Sr1-43	2202828	S	370	291	661	0.00050
Methylobacterium sp. WL1	2603276	S	267	229	496	0.00038
Methylobacterium sp. 17Sr1-1	2202826	S	256	460	716	0.00055
Methylobacterium nodulans	114616	S	532	211	743	0.00057
Methylobacterium aquaticum	270351	S	515	742	1257	0.00096
Methylobacterium durans	2202825	S	445	186	631	0.00048
Methylobacterium mesophilicum	39956	S	341	244	585	0.00045
Methylobacterium brachiatum	269660	S	307	316	623	0.00047
Methylobacterium currus	2051553	S	296	436	732	0.00056
Methylobacterium terrae	2202827	S	289	467	756	0.00058
Methylobacterium indicum	1775910	S	219	382	601	0.00046
Microvirga sp. VF16	2807101	S	663	211	874	0.00067
Microvirga sp. 17 mud 1-3	2082949	S	363	172	535	0.00041
Microvirga ossetica	1882682	S	621	216	837	0.00064
Microvirga thermotolerans	2651334	S	468	288	756	0.00058
Methylorubrum populi	223967	S	519	639	1158	0.00088
Methylorubrum extorquens	408	S	304	1251	1555	0.00119
Pseudolabrys taiwanensis	331696	S	4128	1695	5823	0.00444
Pseudolabrys sp. FHR47	2562284	S	2417	1127	3544	0.00270
Starkeya sp. ORNL1	2709380	S	591	259	850	0.00065
Starkeya novella	921	S	559	19184	19743	0.01504
Ancylobacter sp. TS-1	1850374	S	403	261	664	0.00051
Ancylobacter pratisalsi	1745854	S	264	107	371	0.00028
Xanthobacter sp. YN2	2528964	S	525	217	742	0.00057
Labrys sp. KNU-23	2789216	S	433	134	567	0.00043
Azorhizobium caulinodans	7	S	426	187	613	0.00047
Methylocystis parvus	134	S	279	78	357	0.00027
Methylocystis bryophila	655015	S	256	59	315	0.00024
Methylocystis rosea	173366	S	245	117	362	0.00028
Methylocystis heyeri	391905	S	212	52	264	0.00020
Methylocystis sp. SC2	187303	S	157	117	274	0.00021
Methylosinus trichosporium	426	S	319	155	474	0.00036
Methylosinus sp. C49	2699395	S	301	109	410	0.00031
Aureimonas sp. AU20	1349819	S	306	122	428	0.00033
Aureimonas sp. LMG 31693	2758041	S	243	125	368	0.00028
Aureimonas sp. OT7	2816454	S	200	137	337	0.00026
Aureimonas populi	1701758	S	237	128	365	0.00028
Martelella endophytica	1486262	S	164	81	245	0.00019
