name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51753	1325100	S	955	695	1650	0.00073
Bradyrhizobium sp. BTAi1	288000	S	928	503	1431	0.00064
Bradyrhizobium sp. CCBAU 53338	1325111	S	827	1165	1992	0.00089
Bradyrhizobium sp. ORS 278	114615	S	825	569	1394	0.00062
Bradyrhizobium sp. ORS 285	115808	S	821	579	1400	0.00062
Bradyrhizobium sp. CCBAU 51765	1325102	S	812	842	1654	0.00074
Bradyrhizobium sp. CCBAU 051011	858422	S	783	488	1271	0.00057
Bradyrhizobium sp. CCBAU 53351	1325114	S	706	1165	1871	0.00083
Bradyrhizobium sp. SK17	2057741	S	662	665	1327	0.00059
Bradyrhizobium sp. 1(2017)	1404888	S	599	606	1205	0.00054
Bradyrhizobium sp. CCGE-LA001	1223566	S	595	541	1136	0.00050
Bradyrhizobium sp. CCBAU 53421	1325120	S	576	553	1129	0.00050
Bradyrhizobium sp. 6(2017)	1197460	S	571	436	1007	0.00045
Bradyrhizobium sp. PSBB068	2715960	S	520	521	1041	0.00046
Bradyrhizobium sp. CCBAU 53340	1325112	S	449	605	1054	0.00047
Bradyrhizobium sp.	376	S	353	1301	1654	0.00074
Bradyrhizobium sp. WSM471	319017	S	170	771	941	0.00042
Bradyrhizobium erythrophlei	1437360	S	2648	827	3475	0.00154
Bradyrhizobium diazoefficiens	1355477	S	2353	6848	9201	0.00409
Bradyrhizobium icense	1274631	S	1008	470	1478	0.00066
Bradyrhizobium paxllaeri	190148	S	903	610	1513	0.00067
Bradyrhizobium lablabi	722472	S	864	1931	2795	0.00124
Bradyrhizobium oligotrophicum	44255	S	860	448	1308	0.00058
Bradyrhizobium guangxiense	1325115	S	751	1158	1909	0.00085
Bradyrhizobium guangdongense	1325090	S	747	1012	1759	0.00078
Bradyrhizobium genosp. L	83637	S	742	497	1239	0.00055
Bradyrhizobium vignae	1549949	S	707	557	1264	0.00056
Bradyrhizobium japonicum	375	S	695	1946	2641	0.00117
Bradyrhizobium symbiodeficiens	1404367	S	670	895	1565	0.00070
Bradyrhizobium canariense	255045	S	665	199	864	0.00038
Bradyrhizobium zhanjiangense	1325107	S	615	484	1099	0.00049
Bradyrhizobium cosmicum	1404864	S	576	667	1243	0.00055
Bradyrhizobium arachidis	858423	S	574	562	1136	0.00051
Bradyrhizobium genosp. B	83627	S	535	411	946	0.00042
Bradyrhizobium guangzhouense	1325095	S	483	647	1130	0.00050
Bradyrhizobium amphicarpaeae	1404768	S	410	577	987	0.00044
Bradyrhizobium betae	244734	S	410	591	1001	0.00044
Bradyrhizobium ottawaense	931866	S	109	1447	1556	0.00069
Bosea sp. Tri-49	1867715	S	986	486	1472	0.00065
Bosea sp. F3-2	2599640	S	811	495	1306	0.00058
Bosea sp. AS-1	2015316	S	773	464	1237	0.00055
Bosea sp. RAC05	1842539	S	754	409	1163	0.00052
Bosea sp. ANAM02	2020412	S	655	411	1066	0.00047
Bosea sp. PAMC 26642	1792307	S	645	322	967	0.00043
Bosea vaviloviae	1526658	S	774	394	1168	0.00052
Rhodopseudomonas palustris	1076	S	5712	5018	10730	0.00477
Nitrobacter hamburgensis	912	S	1571	696	2267	0.00101
Nitrobacter winogradskyi	913	S	826	439	1265	0.00056
Tardiphaga robiniae	943830	S	749	313	1062	0.00047
Afipia carboxidovorans	40137	S	947	219	1166	0.00052
Afipia sp. GAS231	1882747	S	522	812	1334	0.00059
Variibacter gotjawalensis	1333996	S	1104	257	1361	0.00060
Mesorhizobium sp. J8	2777475	S	6126	4804	10930	0.00486
Mesorhizobium sp. 8	2584466	S	1562	910	2472	0.00110
Mesorhizobium sp. N3	675281	S	1474	705	2179	0.00097
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	1433	2548	3981	0.00177
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	1123	1005	2128	0.00095
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	981	829	1810	0.00080
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	964	1032	1996	0.00089
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	888	1045	1933	0.00086
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	868	641	1509	0.00067
Mesorhizobium sp. DCY119	2108445	S	855	461	1316	0.00059
Mesorhizobium sp. Pch-S	2082387	S	824	282	1106	0.00049
Mesorhizobium sp. 131-2-1	2744518	S	714	767	1481	0.00066
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	664	2808	3472	0.00154
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	652	2736	3388	0.00151
Mesorhizobium sp. INR15	2654248	S	591	257	848	0.00038
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	582	588	1170	0.00052
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	501	527	1028	0.00046
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	458	410	868	0.00039
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	454	425	879	0.00039
Mesorhizobium sp. L-2-11	2744521	S	453	393	846	0.00038
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	415	381	796	0.00035
Mesorhizobium sp. NZP2077	2483404	S	352	312	664	0.00030
Mesorhizobium sp. NBSH29	2654249	S	322	76	398	0.00018
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	317	352	669	0.00030
Mesorhizobium sp. 113-3-3	2744516	S	315	387	702	0.00031
Mesorhizobium sp. 113-3-9	2744517	S	264	460	724	0.00032
Mesorhizobium sp. L-8-10	2744523	S	263	1183	1446	0.00064
Mesorhizobium sp. NZP2298	2483403	S	258	390	648	0.00029
Mesorhizobium sp. L-8-3	2744522	S	252	1168	1420	0.00063
Mesorhizobium sp. AA22	1854057	S	213	361	574	0.00026
Mesorhizobium oceanicum	1670800	S	1122	527	1649	0.00073
Mesorhizobium amorphae	71433	S	575	350	925	0.00041
Mesorhizobium loti	381	S	489	5066	5555	0.00247
Mesorhizobium opportunistum	593909	S	463	417	880	0.00039
Mesorhizobium australicum	536018	S	448	398	846	0.00038
Mesorhizobium erdmanii	1777866	S	383	351	734	0.00033
Mesorhizobium ciceri	39645	S	366	2427	2793	0.00124
Mesorhizobium japonicum	2066070	S	312	708	1020	0.00045
Mesorhizobium huakuii	28104	S	297	558	855	0.00038
Aminobacter sp. MSH1	374606	S	693	541	1234	0.00055
Aminobacter sp. SR38	2774562	S	118	589	707	0.00031
Aminobacter sp. MDW-2	2666139	S	103	940	1043	0.00046
Nitratireductor sp. SY7	2599600	S	995	519	1514	0.00067
Nitratireductor sp. OM-1	1756988	S	450	146	596	0.00026
Chelativorans sp. BNC1	266779	S	839	253	1092	0.00049
Roseitalea porphyridii	1852022	S	699	329	1028	0.00046
Hoeflea phototrophica	244596	S	250	78	328	0.00015
Hoeflea sp. IMCC20628	1620421	S	247	66	313	0.00014
Oricola thermophila	2742145	S	495	175	670	0.00030
Phyllobacterium zundukense	1867719	S	305	90	395	0.00018
Phyllobacterium sp. 628	2718938	S	163	32	195	0.00009
Salaquimonas pukyongi	2712698	S	171	31	202	0.00009
Rhizobium sp. BG4	2613770	S	485	212	697	0.00031
Rhizobium sp. NXC24	2048897	S	315	143	458	0.00020
Rhizobium sp. 11515TR	2028343	S	299	157	456	0.00020
Rhizobium sp. NLR16a	2731112	S	287	616	903	0.00040
Rhizobium sp. NXC14	1981173	S	260	468	728	0.00032
Rhizobium sp. ACO-34A	1571470	S	248	116	364	0.00016
Rhizobium sp. WL3	2603277	S	236	106	342	0.00015
Rhizobium sp. NZLR1	2731096	S	233	291	524	0.00023
Rhizobium sp. CIAT894	2020312	S	216	320	536	0.00024
Rhizobium sp. ADMK78	1813451	S	161	52	213	0.00009
Rhizobium sp. Khangiran2	1435607	S	136	322	458	0.00020
Rhizobium leguminosarum	384	S	1883	5015	6898	0.00307
Rhizobium rhizoryzae	451876	S	760	160	920	0.00041
Rhizobium etli	29449	S	674	1712	2386	0.00106
Rhizobium jaguaris	1312183	S	416	130	546	0.00024
Rhizobium bangladeshense	1138189	S	403	291	694	0.00031
Rhizobium pseudoryzae	379684	S	375	153	528	0.00023
Rhizobium favelukesii	348824	S	352	122	474	0.00021
Rhizobium phaseoli	396	S	343	1326	1669	0.00074
Rhizobium lentis	1138194	S	299	254	553	0.00025
Rhizobium pusense	648995	S	251	1580	1831	0.00081
Rhizobium binae	1138190	S	248	249	497	0.00022
Rhizobium gallicum	56730	S	238	535	773	0.00034
Rhizobium tropici	398	S	234	149	383	0.00017
Rhizobium rosettiformans	1368430	S	227	166	393	0.00017
Rhizobium lusitanum	293958	S	209	95	304	0.00014
Rhizobium daejeonense	240521	S	205	126	331	0.00015
Rhizobium flavum	1335061	S	187	282	469	0.00021
Rhizobium acidisoli	1538158	S	127	180	307	0.00014
Rhizobium oryzihabitans	2267833	S	127	144	271	0.00012
Rhizobium indicum	2583231	S	123	237	360	0.00016
Agrobacterium tumefaciens	358	S	953	1756	2709	0.00120
Agrobacterium vitis	373	S	380	104	484	0.00022
Agrobacterium rhizogenes	359	S	181	436	617	0.00027
Agrobacterium larrymoorei	160699	S	159	47	206	0.00009
Agrobacterium rubi	28099	S	149	59	208	0.00009
Neorhizobium galegae	399	S	1091	374	1465	0.00065
Neorhizobium sp. SOG26	2060726	S	387	145	532	0.00024
Neorhizobium sp. NCHU2750	1825976	S	350	152	502	0.00022
Sinorhizobium meliloti	382	S	5061	2636	7697	0.00342
Sinorhizobium fredii	380	S	2034	4774	6808	0.00302
Sinorhizobium sp. RAC02	1842534	S	466	225	691	0.00031
Sinorhizobium sp. BG8	2613773	S	409	125	534	0.00024
Sinorhizobium medicae	110321	S	559	196	755	0.00034
Sinorhizobium americanum	194963	S	537	440	977	0.00043
Ensifer adhaerens	106592	S	907	898	1805	0.00080
Ensifer mexicanus	375549	S	707	244	951	0.00042
Ensifer alkalisoli	1752398	S	488	260	748	0.00033
Ensifer sojae	716925	S	451	337	788	0.00035
Ensifer sp. PDNC004	2811423	S	356	270	626	0.00028
Shinella sp. HZN7	879274	S	769	654	1423	0.00063
Shinella sp. PSBB067	2715959	S	621	606	1227	0.00055
Kaistia sp. 32K	2795690	S	1050	469	1519	0.00068
Georhizobium profundi	2341112	S	470	180	650	0.00029
Ciceribacter thiooxidans	1969821	S	419	162	581	0.00026
Devosia sp. A16	1736675	S	2901	957	3858	0.00171
Devosia sp. G19	2801335	S	883	472	1355	0.00060
Devosia sp. S02	2657486	S	700	352	1052	0.00047
Devosia sp. LEGU1	2774137	S	584	219	803	0.00036
Devosia sp. 1566	2499144	S	545	163	708	0.00031
Devosia sp. I507	2083786	S	527	204	731	0.00032
Devosia sp. D6-9	2664417	S	341	968	1309	0.00058
Devosia sp. MC521	2759954	S	205	45	250	0.00011
Devosia ginsengisoli	400770	S	1055	479	1534	0.00068
Rhodoplanes sp. Z2-YC6860	674703	S	6340	1550	7890	0.00351
Hyphomicrobium denitrificans	53399	S	1037	218	1255	0.00056
Hyphomicrobium nitrativorans	1427356	S	650	127	777	0.00035
Hyphomicrobium sp. MC1	717785	S	545	102	647	0.00029
Blastochloris tepida	2233851	S	917	569	1486	0.00066
Blastochloris viridis	1079	S	780	472	1252	0.00056
Youhaiella tibetensis	1447062	S	1034	387	1421	0.00063
Methyloceanibacter caenitepidi	1384459	S	378	141	519	0.00023
Methyloceanibacter sp. wino2	2170729	S	348	141	489	0.00022
Aquabacter sp. L1I39	2820278	S	677	259	936	0.00042
Methyloligella sp. GL2	2742204	S	543	146	689	0.00031
Rhodomicrobium vannielii	1069	S	430	77	507	0.00023
Pelagibacterium halotolerans	531813	S	405	91	496	0.00022
Paradevosia shaoguanensis	1335043	S	363	1069	1432	0.00064
Caenibius tardaugens	169176	S	263	217	480	0.00021
Candidatus Filomicrobium marinum	1608628	S	178	11	189	0.00008
Methylobacterium sp. 4-46	426117	S	1105	552	1657	0.00074
Methylobacterium sp. 17Sr1-43	2202828	S	656	357	1013	0.00045
Methylobacterium sp. WL1	2603276	S	468	304	772	0.00034
Methylobacterium sp. 17Sr1-1	2202826	S	463	677	1140	0.00051
Methylobacterium sp. AMS5	925818	S	209	279	488	0.00022
Methylobacterium sp. DM1	2067957	S	158	607	765	0.00034
Methylobacterium nodulans	114616	S	930	329	1259	0.00056
Methylobacterium aquaticum	270351	S	899	1126	2025	0.00090
Methylobacterium durans	2202825	S	787	296	1083	0.00048
Methylobacterium currus	2051553	S	520	668	1188	0.00053
Methylobacterium terrae	2202827	S	520	730	1250	0.00056
Methylobacterium mesophilicum	39956	S	484	302	786	0.00035
Methylobacterium brachiatum	269660	S	467	422	889	0.00040
Methylobacterium indicum	1775910	S	388	586	974	0.00043
Methylobacterium radiotolerans	31998	S	114	742	856	0.00038
Microvirga sp. VF16	2807101	S	1534	502	2036	0.00090
Microvirga sp. 17 mud 1-3	2082949	S	920	448	1368	0.00061
Microvirga ossetica	1882682	S	1472	525	1997	0.00089
Microvirga thermotolerans	2651334	S	1081	657	1738	0.00077
Methylorubrum populi	223967	S	890	876	1766	0.00078
Methylorubrum extorquens	408	S	589	2185	2774	0.00123
Pseudolabrys sp. FHR47	2562284	S	4933	2141	7074	0.00314
Pseudolabrys taiwanensis	331696	S	4927	1884	6811	0.00303
Starkeya sp. ORNL1	2709380	S	1096	458	1554	0.00069
Starkeya novella	921	S	914	28429	29343	0.01304
Ancylobacter sp. TS-1	1850374	S	725	448	1173	0.00052
Ancylobacter pratisalsi	1745854	S	610	237	847	0.00038
Xanthobacter sp. YN2	2528964	S	948	371	1319	0.00059
Labrys sp. KNU-23	2789216	S	806	236	1042	0.00046
Azorhizobium caulinodans	7	S	753	314	1067	0.00047
Aureimonas sp. AU20	1349819	S	658	244	902	0.00040
Aureimonas sp. LMG 31693	2758041	S	521	251	772	0.00034
Aureimonas sp. OT7	2816454	S	444	301	745	0.00033
Aureimonas populi	1701758	S	533	266	799	0.00036
Martelella sp. AD-3	686597	S	198	629	827	0.00037
Martelella mediterranea	293089	S	341	235	576	0.00026
Martelella endophytica	1486262	S	330	155	485	0.00022
Martelella lutilitoris	2583532	S	198	274	472	0.00021
Methylocystis parvus	134	S	547	152	699	0.00031
Methylocystis rosea	173366	S	512	246	758	0.00034
Methylocystis bryophila	655015	S	460	103	563	0.00025
Methylocystis heyeri	391905	S	450	108	558	0.00025
Methylocystis sp. SC2	187303	S	285	216	501	0.00022
Methylosinus trichosporium	426	S	614	240	854	0.00038
Methylosinus sp. C49	2699395	S	518	196	714	0.00032
Pseudorhodoplanes sinuspersici	1235591	S	1683	383	2066	0.00092
Nordella sp. HKS 07	2712222	S	1410	283	1693	0.00075
Hartmannibacter diazotrophicus	1482074	S	771	294	1065	0.00047
Stappia indica	538381	S	818	426	1244	0.00055
Stappia sp. ES.058	1881061	S	463	148	611	0.00027
Labrenzia sp. VG12	2021862	S	247	182	429	0.00019
Labrenzia sp. PHM005	2590016	S	123	59	182	0.00008
Labrenzia sp. THAF82	2587861	S	103	37	140	0.00006
Labrenzia alexandrii	388408	S	142	178	320	0.00014
Pannonibacter phragmitetus	121719	S	749	699	1448	0.00064
Chelatococcus sp. CO-6	1702325	S	895	944	1839	0.00082
Chelatococcus daeguensis	444444	S	456	520	976	0.00043
Methylocella silvestris	199596	S	465	129	594	0.00026
Methylocella tundrae	227605	S	439	101	540	0.00024
Methylovirgula ligni	569860	S	462	140	602	0.00027
Beijerinckia indica	533	S	235	33	268	0.00012
Brucella intermedia	94625	S	529	758	1287	0.00057
Parvibaculum lavamentivorans	256618	S	610	238	848	0.00038
Pyruvatibacter mobilis	1712261	S	382	106	488	0.00022
Candidatus Phaeomarinobacter ectocarpi	1458461	S	162	19	181	0.00008
Breoghania sp. L-A4	2304600	S	615	220	835	0.00037
Cohaesibacter sp. ES.047	1798205	S	158	17	175	0.00008
Lichenihabitans psoromatis	2528642	S	404	84	488	0.00022
Sphingomonas sp. sand1-3	2764186	S	4609	2030	6639	0.00295
Sphingomonas sp. HDW15C	2714944	S	4246	1950	6196	0.00275
Sphingomonas sp. HDW15B	2714943	S	2964	880	3844	0.00171
Sphingomonas sp. HDW15A	2714942	S	2480	694	3174	0.00141
Sphingomonas sp. Cra20	1327635	S	1535	765	2300	0.00102
Sphingomonas sp. LMO-1	2681549	S	1532	727	2259	0.00100
Sphingomonas sp. CL5.1	2653203	S	1520	1035	2555	0.00114
Sphingomonas sp. C33	2698679	S	1358	750	2108	0.00094
Sphingomonas sp. MM-1	745310	S	1354	2539	3893	0.00173
Sphingomonas sp. LM7	1938607	S	1321	868	2189	0.00097
Sphingomonas sp. AP4-R1	2735134	S	1141	411	1552	0.00069
Sphingomonas sp. NBWT7	2596913	S	1139	811	1950	0.00087
Sphingomonas sp. XS-10	2599297	S	1068	508	1576	0.00070
Sphingomonas sp. AAP5	1523415	S	1061	689	1750	0.00078
Sphingomonas sp. C8-2	2492837	S	1017	2685	3702	0.00165
Sphingomonas sp. FARSPH	2219696	S	1012	1201	2213	0.00098
Sphingomonas sp. MK52	2711156	S	926	385	1311	0.00058
Sphingomonas sp. DH-S5	2759526	S	736	291	1027	0.00046
Sphingomonas sp. HMP9	1517554	S	712	716	1428	0.00063
Sphingomonas sp. KC8	1030157	S	709	413	1122	0.00050
Sphingomonas sp. PAMC26645	2565555	S	682	583	1265	0.00056
Sphingomonas sp. HMP6	1517551	S	667	360	1027	0.00046
Sphingomonas sp. LK11	1390395	S	590	553	1143	0.00051
Sphingomonas sp. NIC1	1961362	S	337	1689	2026	0.00090
Sphingomonas sp. YZ-8	2319844	S	315	37	352	0.00016
Sphingomonas sp. ERG5	1381597	S	129	248	377	0.00017
Sphingomonas sp. IC081	304378	S	128	973	1101	0.00049
Sphingomonas sediminicola	386874	S	8590	2626	11216	0.00498
Sphingomonas daechungensis	1176646	S	6340	1919	8259	0.00367
Sphingomonas lutea	1045317	S	5747	2344	8091	0.00360
Sphingomonas ginsengisoli An et al. 2013	363835	S	4116	1789	5905	0.00262
Sphingomonas rhizophila	2071607	S	3102	1524	4626	0.00206
Sphingomonas xanthus	2594473	S	2694	1091	3785	0.00168
Sphingomonas koreensis	93064	S	1666	2082	3748	0.00167
Sphingomonas alpina	653931	S	1599	527	2126	0.00094
Sphingomonas wittichii	160791	S	1429	4178	5607	0.00249
Sphingomonas sanxanigenens	397260	S	1380	1189	2569	0.00114
Sphingomonas hengshuiensis	1609977	S	1218	543	1761	0.00078
Sphingomonas taxi	1549858	S	1047	881	1928	0.00086
Sphingomonas panacis	1560345	S	1024	430	1454	0.00065
Sphingomonas panacisoli	1813879	S	989	459	1448	0.00064
Sphingomonas insulae	424800	S	773	554	1327	0.00059
Sphingomonas paucimobilis	13689	S	710	784	1494	0.00066
Sphingomonas melonis	152682	S	424	2088	2512	0.00112
Sphingomonas lacunae	2698828	S	370	91	461	0.00021
Sphingopyxis sp. PAMC25046	2565556	S	1726	1574	3300	0.00147
Sphingopyxis sp. QXT-31	1357916	S	1030	758	1788	0.00079
Sphingopyxis sp. 113P3	292913	S	879	608	1487	0.00066
Sphingopyxis sp. OPL5	2486273	S	877	499	1376	0.00061
Sphingopyxis sp. FD7	1914525	S	829	833	1662	0.00074
Sphingopyxis sp. EG6	1874061	S	759	719	1478	0.00066
Sphingopyxis macrogoltabida	33050	S	1710	1435	3145	0.00140
Sphingopyxis fribergensis	1515612	S	1041	796	1837	0.00082
Sphingopyxis lindanitolerans	2054227	S	934	718	1652	0.00073
Sphingopyxis terrae	33052	S	783	654	1437	0.00064
Sphingopyxis alaskensis	117207	S	707	562	1269	0.00056
Sphingopyxis granuli	267128	S	384	2758	3142	0.00140
Sphingobium sp. EP60837	1855519	S	987	480	1467	0.00065
Sphingobium sp. Cam5-1	2789327	S	825	572	1397	0.00062
Sphingobium sp. SYK-6	627192	S	806	473	1279	0.00057
Sphingobium sp. CAP-1	2676077	S	584	786	1370	0.00061
Sphingobium sp. TKS	1315974	S	554	835	1389	0.00062
Sphingobium sp. YG1	2082188	S	529	392	921	0.00041
Sphingobium sp. SCG-1	2072936	S	472	95	567	0.00025
Sphingobium sp. MI1205	407020	S	454	905	1359	0.00060
Sphingobium sp. RAC03	1843368	S	386	187	573	0.00025
Sphingobium sp. KCTC 72723	2733867	S	323	121	444	0.00020
Sphingobium sp. RSMS	520734	S	107	1019	1126	0.00050
Sphingobium yanoikuyae	13690	S	792	2326	3118	0.00139
Sphingobium cloacae	120107	S	549	1194	1743	0.00077
Sphingobium amiense	135719	S	517	1074	1591	0.00071
Sphingobium herbicidovorans	76947	S	502	489	991	0.00044
Sphingobium chlorophenolicum	46429	S	486	448	934	0.00042
Sphingobium japonicum	332056	S	469	618	1087	0.00048
Sphingobium baderi	1332080	S	411	598	1009	0.00045
Sphingobium hydrophobicum	1673076	S	338	512	850	0.00038
Sphingobium barthaii	1054037	S	172	966	1138	0.00051
Novosphingobium sp. Gsoil 351	2675225	S	1254	383	1637	0.00073
Novosphingobium sp. ABRDHK2	2571749	S	739	559	1298	0.00058
Novosphingobium sp. P6W	1609758	S	600	157	757	0.00034
Novosphingobium sp. THN1	1016987	S	479	294	773	0.00034
Novosphingobium sp. ES2-1	2780074	S	473	337	810	0.00036
Novosphingobium sp. PP1Y	702113	S	250	184	434	0.00019
Novosphingobium sp. KA1	164608	S	142	911	1053	0.00047
Novosphingobium resinovorum	158500	S	779	554	1333	0.00059
Novosphingobium aromaticivorans	48935	S	777	5384	6161	0.00274
Novosphingobium ginsenosidimutans	1176536	S	511	191	702	0.00031
Novosphingobium pentaromativorans	205844	S	277	452	729	0.00032
Allosphingosinicella indica	941907	S	2286	1049	3335	0.00148
Sphingosinithalassobacter sp. CS137	2762748	S	1216	675	1891	0.00084
Sphingosinithalassobacter sp. zrk23	2711215	S	756	477	1233	0.00055
Parasphingopyxis algicola	2026624	S	891	244	1135	0.00050
Parasphingopyxis sp. CP4	2724527	S	263	40	303	0.00013
Sphingorhabdus sp. YGSMI21	2077182	S	298	83	381	0.00017
Sphingorhabdus sp. SMR4y	2584094	S	279	81	360	0.00016
Sphingorhabdus sp. M41	1806885	S	164	42	206	0.00009
Sphingorhabdus lacus	392610	S	176	24	200	0.00009
Rhizorhabdus dicambivorans	1850238	S	1048	1534	2582	0.00115
Blastomonas sp. RAC04	1842535	S	202	431	633	0.00028
Blastomonas fulva	1550728	S	168	497	665	0.00030
Tardibacter chloracetimidivorans	1921510	S	751	871	1622	0.00072
Citromicrobium sp. JL477	1634516	S	566	501	1067	0.00047
Novosphingopyxis sp. PB63	2762729	S	541	448	989	0.00044
Parasphingorhabdus sp. JHSY0214	2806553	S	101	7	108	0.00005
Erythrobacter sp. HL-111	1798193	S	706	548	1254	0.00056
Erythrobacter sp. HKB08	2502843	S	609	428	1037	0.00046
Erythrobacter sp. 6D36	2782568	S	437	254	691	0.00031
Erythrobacter sp. THAF29	2587851	S	320	157	477	0.00021
Erythrobacter sp. KY5	2011159	S	252	78	330	0.00015
Erythrobacter sp. A30-3	2785907	S	234	270	504	0.00022
Erythrobacter litoralis	39960	S	905	937	1842	0.00082
Erythrobacter mangrovi	2739433	S	434	270	704	0.00031
Erythrobacter aureus	2182384	S	375	155	530	0.00024
Erythrobacter neustonensis	1112	S	362	243	605	0.00027
Porphyrobacter sp. CACIAM 03H1	2003315	S	671	551	1222	0.00054
Porphyrobacter sp. YT40	2547601	S	505	688	1193	0.00053
Porphyrobacter sp. LM 6	1896196	S	357	283	640	0.00028
Porphyrobacter sp. HT-58-2	2023229	S	287	191	478	0.00021
Altererythrobacter sp. B11	2060312	S	772	586	1358	0.00060
Altererythrobacter sp. TH136	2067415	S	739	424	1163	0.00052
Altererythrobacter sp. BO-6	2604537	S	422	224	646	0.00029
Altererythrobacter sp. ZODW24	2185142	S	172	32	204	0.00009
Altererythrobacter atlanticus	1267766	S	376	262	638	0.00028
Altererythrobacter epoxidivorans	361183	S	308	197	505	0.00022
Altererythrobacter ishigakiensis	476157	S	146	30	176	0.00008
Tsuneonella dongtanensis	692370	S	942	555	1497	0.00067
Tsuneonella amylolytica	2338327	S	932	721	1653	0.00073
Tsuneonella mangrovi	1982042	S	683	358	1041	0.00046
Tsuneonella flava	2055955	S	284	219	503	0.00022
Qipengyuania sediminis	1532023	S	669	324	993	0.00044
Qipengyuania flava	192812	S	651	771	1422	0.00063
Qipengyuania seohaensis	266951	S	338	199	537	0.00024
Croceicoccus marinus	450378	S	785	747	1532	0.00068
Croceicoccus sp. YJ47	2798724	S	464	362	826	0.00037
Croceicoccus naphthovorans	1348774	S	367	759	1126	0.00050
Pelagerythrobacter marensis	543877	S	525	270	795	0.00035
Aurantiacibacter gangjinensis	502682	S	322	118	440	0.00020
Aurantiacibacter atlanticus	1648404	S	148	105	253	0.00011
Paraurantiacibacter namhicola	645517	S	470	233	703	0.00031
Sphingosinicella sp. BN140058	1892855	S	2368	672	3040	0.00135
Sphingosinicella sp. UDD2	2771430	S	1403	780	2183	0.00097
Sphingosinicella microcystinivorans	335406	S	816	287	1103	0.00049
Sandaracinobacter sp. M6	2759707	S	654	221	875	0.00039
Caulobacter mirabilis	69666	S	2259	1032	3291	0.00146
Caulobacter sp. K31	366602	S	867	642	1509	0.00067
Caulobacter sp. FWC26	69665	S	732	686	1418	0.00063
Caulobacter vibrioides	155892	S	1513	1478	2991	0.00133
Caulobacter flavus	1679497	S	1397	926	2323	0.00103
Caulobacter segnis	88688	S	1090	875	1965	0.00087
Caulobacter rhizosphaerae	2010972	S	1046	886	1932	0.00086
Caulobacter soli	2708539	S	909	815	1724	0.00077
Caulobacter henricii	69395	S	658	336	994	0.00044
Phenylobacterium zucineum	284016	S	10625	5472	16097	0.00715
Phenylobacterium parvum	2201350	S	1584	603	2187	0.00097
Brevundimonas sp. M20	2591463	S	719	324	1043	0.00046
Brevundimonas sp. MF30-B	2561924	S	668	332	1000	0.00044
Brevundimonas sp. LVF2	2774190	S	660	317	977	0.00043
Brevundimonas sp. LM2	1938605	S	542	291	833	0.00037
Brevundimonas sp. GRTSA-9	2800818	S	441	167	608	0.00027
Brevundimonas sp. LVF1	2774189	S	413	312	725	0.00032
Brevundimonas sp. AJA228-03	2752515	S	402	211	613	0.00027
Brevundimonas sp. SGAir0440	2579977	S	158	375	533	0.00024
Brevundimonas sp. CS1	2813778	S	147	388	535	0.00024
Brevundimonas sp. DS20	1532555	S	116	708	824	0.00037
Brevundimonas sp. GW460-12-10-14-LB2	1827469	S	105	416	521	0.00023
Brevundimonas naejangsanensis	588932	S	929	883	1812	0.00081
Brevundimonas subvibrioides	74313	S	467	286	753	0.00033
Brevundimonas mediterranea	74329	S	340	323	663	0.00029
Brevundimonas diminuta	293	S	235	1041	1276	0.00057
Brevundimonas vesicularis	41276	S	111	438	549	0.00024
Terricaulis silvestris	2686094	S	1817	223	2040	0.00091
Asticcacaulis excentricus	78587	S	413	97	510	0.00023
Azospirillum brasilense	192	S	1099	1633	2732	0.00121
Azospirillum sp. TSH100	652764	S	414	383	797	0.00035
Azospirillum sp. TSA2s	709810	S	358	478	836	0.00037
Azospirillum sp. TSH58	664962	S	274	546	820	0.00036
