name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	1667	972	2639	0.00064
Bradyrhizobium sp. CCBAU 51753	1325100	S	1139	775	1914	0.00047
Bradyrhizobium sp. ORS 278	114615	S	1035	672	1707	0.00042
Bradyrhizobium sp. BTAi1	288000	S	1015	516	1531	0.00037
Bradyrhizobium sp. ORS 285	115808	S	913	606	1519	0.00037
Bradyrhizobium sp. 6(2017)	1197460	S	834	601	1435	0.00035
Bradyrhizobium sp. CCBAU 51765	1325102	S	831	825	1656	0.00040
Bradyrhizobium sp. SK17	2057741	S	742	703	1445	0.00035
Bradyrhizobium sp. CCGE-LA001	1223566	S	741	642	1383	0.00034
Bradyrhizobium sp. CCBAU 53421	1325120	S	726	661	1387	0.00034
Bradyrhizobium sp. PSBB068	2715960	S	658	622	1280	0.00031
Bradyrhizobium sp. 1(2017)	1404888	S	598	578	1176	0.00029
Bradyrhizobium sp. CCBAU 53340	1325112	S	588	769	1357	0.00033
Bradyrhizobium sp. CCBAU 53351	1325114	S	585	936	1521	0.00037
Bradyrhizobium sp. CCBAU 53338	1325111	S	578	789	1367	0.00033
Bradyrhizobium sp.	376	S	494	1768	2262	0.00055
Bradyrhizobium sp. WSM471	319017	S	176	771	947	0.00023
Bradyrhizobium sp. LCT2	2493093	S	132	721	853	0.00021
Bradyrhizobium erythrophlei	1437360	S	3233	924	4157	0.00101
Bradyrhizobium diazoefficiens	1355477	S	2707	7678	10385	0.00253
Bradyrhizobium icense	1274631	S	1753	754	2507	0.00061
Bradyrhizobium paxllaeri	190148	S	1686	1063	2749	0.00067
Bradyrhizobium lablabi	722472	S	1071	2192	3263	0.00080
Bradyrhizobium oligotrophicum	44255	S	1008	493	1501	0.00037
Bradyrhizobium genosp. L	83637	S	906	565	1471	0.00036
Bradyrhizobium zhanjiangense	1325107	S	826	622	1448	0.00035
Bradyrhizobium japonicum	375	S	819	2278	3097	0.00076
Bradyrhizobium guangdongense	1325090	S	778	1014	1792	0.00044
Bradyrhizobium canariense	255045	S	774	213	987	0.00024
Bradyrhizobium vignae	1549949	S	748	563	1311	0.00032
Bradyrhizobium symbiodeficiens	1404367	S	667	865	1532	0.00037
Bradyrhizobium arachidis	858423	S	640	602	1242	0.00030
Bradyrhizobium cosmicum	1404864	S	621	689	1310	0.00032
Bradyrhizobium genosp. B	83627	S	590	431	1021	0.00025
Bradyrhizobium guangxiense	1325115	S	574	859	1433	0.00035
Bradyrhizobium guangzhouense	1325095	S	522	679	1201	0.00029
Bradyrhizobium betae	244734	S	441	610	1051	0.00026
Bradyrhizobium amphicarpaeae	1404768	S	368	498	866	0.00021
Bosea sp. Tri-49	1867715	S	1290	607	1897	0.00046
Bosea sp. RAC05	1842539	S	1224	634	1858	0.00045
Bosea sp. F3-2	2599640	S	1167	677	1844	0.00045
Bosea sp. ANAM02	2020412	S	1050	628	1678	0.00041
Bosea sp. AS-1	2015316	S	1032	589	1621	0.00040
Bosea sp. PAMC 26642	1792307	S	878	420	1298	0.00032
Bosea vaviloviae	1526658	S	975	486	1461	0.00036
Rhodopseudomonas palustris	1076	S	6088	5329	11417	0.00278
Tardiphaga robiniae	943830	S	664	255	919	0.00022
Nitrobacter hamburgensis	912	S	740	278	1018	0.00025
Nitrobacter winogradskyi	913	S	580	264	844	0.00021
Afipia carboxidovorans	40137	S	703	196	899	0.00022
Afipia sp. GAS231	1882747	S	616	774	1390	0.00034
Variibacter gotjawalensis	1333996	S	1087	237	1324	0.00032
Rhizobium sp. BG4	2613770	S	482	191	673	0.00016
Rhizobium sp. Khangiran2	1435607	S	374	739	1113	0.00027
Rhizobium sp. ACO-34A	1571470	S	374	160	534	0.00013
Rhizobium sp. WL3	2603277	S	374	149	523	0.00013
Rhizobium sp. 11515TR	2028343	S	372	169	541	0.00013
Rhizobium sp. NXC24	2048897	S	352	140	492	0.00012
Rhizobium sp. NZLR1	2731096	S	238	257	495	0.00012
Rhizobium sp. NLR16a	2731112	S	235	424	659	0.00016
Rhizobium sp. CIAT894	2020312	S	221	281	502	0.00012
Rhizobium sp. ADMK78	1813451	S	220	64	284	0.00007
Rhizobium sp. NXC14	1981173	S	182	276	458	0.00011
Rhizobium sp. 007	2785056	S	118	213	331	0.00008
Rhizobium sp. TCK	136098	S	112	523	635	0.00016
Rhizobium leguminosarum	384	S	2367	5573	7940	0.00194
Rhizobium etli	29449	S	683	1598	2281	0.00056
Rhizobium pseudoryzae	379684	S	547	206	753	0.00018
Rhizobium flavum	1335061	S	458	584	1042	0.00025
Rhizobium favelukesii	348824	S	454	145	599	0.00015
Rhizobium jaguaris	1312183	S	444	127	571	0.00014
Rhizobium phaseoli	396	S	365	1259	1624	0.00040
Rhizobium bangladeshense	1138189	S	357	233	590	0.00014
Rhizobium lusitanum	293958	S	328	129	457	0.00011
Rhizobium gallicum	56730	S	305	606	911	0.00022
Rhizobium lentis	1138194	S	292	224	516	0.00013
Rhizobium rosettiformans	1368430	S	288	185	473	0.00012
Rhizobium tropici	398	S	275	158	433	0.00011
Rhizobium rhizoryzae	451876	S	240	46	286	0.00007
Rhizobium binae	1138190	S	233	211	444	0.00011
Rhizobium daejeonense	240521	S	201	112	313	0.00008
Rhizobium oryzihabitans	2267833	S	189	184	373	0.00009
Rhizobium pusense	648995	S	176	896	1072	0.00026
Rhizobium indicum	2583231	S	158	271	429	0.00010
Rhizobium acidisoli	1538158	S	118	149	267	0.00007
Agrobacterium tumefaciens	358	S	1215	1707	2922	0.00071
Agrobacterium fabrum	1176649	S	122	310	432	0.00011
Agrobacterium vitis	373	S	500	126	626	0.00015
Agrobacterium rhizogenes	359	S	210	389	599	0.00015
Agrobacterium rubi	28099	S	200	68	268	0.00007
Agrobacterium larrymoorei	160699	S	180	46	226	0.00006
Neorhizobium galegae	399	S	1120	365	1485	0.00036
Neorhizobium sp. SOG26	2060726	S	483	166	649	0.00016
Neorhizobium sp. NCHU2750	1825976	S	464	177	641	0.00016
Pseudorhizobium banfieldiae	1125847	S	102	400	502	0.00012
Sinorhizobium meliloti	382	S	6532	3048	9580	0.00234
Sinorhizobium fredii	380	S	2511	5471	7982	0.00195
Sinorhizobium sp. RAC02	1842534	S	539	243	782	0.00019
Sinorhizobium sp. BG8	2613773	S	495	144	639	0.00016
Sinorhizobium sp. CCBAU 05631	794846	S	111	301	412	0.00010
Sinorhizobium americanum	194963	S	684	542	1226	0.00030
Sinorhizobium medicae	110321	S	672	217	889	0.00022
Ensifer adhaerens	106592	S	1483	1350	2833	0.00069
Ensifer mexicanus	375549	S	1066	343	1409	0.00034
Ensifer sp. PDNC004	2811423	S	660	468	1128	0.00028
Ensifer sojae	716925	S	596	407	1003	0.00024
Ensifer alkalisoli	1752398	S	595	294	889	0.00022
Shinella sp. HZN7	879274	S	1030	808	1838	0.00045
Shinella sp. PSBB067	2715959	S	922	829	1751	0.00043
Kaistia sp. 32K	2795690	S	1227	518	1745	0.00043
Ciceribacter thiooxidans	1969821	S	645	233	878	0.00021
Georhizobium profundi	2341112	S	618	222	840	0.00021
Mesorhizobium sp. N3	675281	S	1706	783	2489	0.00061
Mesorhizobium sp. 8	2584466	S	1117	626	1743	0.00043
Mesorhizobium sp. Pch-S	2082387	S	912	302	1214	0.00030
Mesorhizobium sp. DCY119	2108445	S	815	424	1239	0.00030
Mesorhizobium sp. J8	2777475	S	759	579	1338	0.00033
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	675	587	1262	0.00031
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	653	535	1188	0.00029
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	616	439	1055	0.00026
Mesorhizobium sp. L-2-11	2744521	S	607	505	1112	0.00027
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	593	681	1274	0.00031
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	563	587	1150	0.00028
Mesorhizobium sp. INR15	2654248	S	553	231	784	0.00019
Mesorhizobium sp. 131-2-1	2744518	S	543	565	1108	0.00027
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	529	537	1066	0.00026
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	504	494	998	0.00024
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	472	417	889	0.00022
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	424	363	787	0.00019
Mesorhizobium sp. L-8-10	2744523	S	397	1783	2180	0.00053
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	337	301	638	0.00016
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	333	583	916	0.00022
Mesorhizobium sp. NBSH29	2654249	S	316	73	389	0.00010
Mesorhizobium sp. NZP2077	2483404	S	306	258	564	0.00014
Mesorhizobium sp. 113-3-3	2744516	S	299	348	647	0.00016
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	296	312	608	0.00015
Mesorhizobium sp. L-8-3	2744522	S	286	1324	1610	0.00039
Mesorhizobium sp. 113-3-9	2744517	S	245	408	653	0.00016
Mesorhizobium sp. AA22	1854057	S	243	388	631	0.00015
Mesorhizobium sp. NZP2298	2483403	S	203	292	495	0.00012
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	174	725	899	0.00022
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	162	680	842	0.00021
Mesorhizobium oceanicum	1670800	S	1255	566	1821	0.00044
Mesorhizobium amorphae	71433	S	551	318	869	0.00021
Mesorhizobium loti	381	S	532	5200	5732	0.00140
Mesorhizobium australicum	536018	S	466	390	856	0.00021
Mesorhizobium ciceri	39645	S	425	2579	3004	0.00073
Mesorhizobium opportunistum	593909	S	414	351	765	0.00019
Mesorhizobium erdmanii	1777866	S	340	293	633	0.00015
Mesorhizobium huakuii	28104	S	317	493	810	0.00020
Mesorhizobium japonicum	2066070	S	306	633	939	0.00023
Aminobacter sp. MSH1	374606	S	870	696	1566	0.00038
Aminobacter sp. SR38	2774562	S	174	932	1106	0.00027
Aminobacter aminovorans	83263	S	110	665	775	0.00019
