name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51765	1325102	S	8577	8297	16874	0.00408
Bradyrhizobium sp. CCBAU 051011	858422	S	5364	2977	8341	0.00202
Bradyrhizobium sp. CCBAU 51753	1325100	S	1838	1217	3055	0.00074
Bradyrhizobium sp. CCGE-LA001	1223566	S	1617	1373	2990	0.00072
Bradyrhizobium sp. 1(2017)	1404888	S	1291	1228	2519	0.00061
Bradyrhizobium sp. BTAi1	288000	S	1261	622	1883	0.00046
Bradyrhizobium sp. 6(2017)	1197460	S	1228	874	2102	0.00051
Bradyrhizobium sp. ORS 285	115808	S	1215	791	2006	0.00049
Bradyrhizobium sp. ORS 278	114615	S	1210	771	1981	0.00048
Bradyrhizobium sp. SK17	2057741	S	1180	1100	2280	0.00055
Bradyrhizobium sp. CCBAU 53351	1325114	S	1148	1795	2943	0.00071
Bradyrhizobium sp. CCBAU 53421	1325120	S	1089	986	2075	0.00050
Bradyrhizobium sp. PSBB068	2715960	S	999	938	1937	0.00047
Bradyrhizobium sp. CCBAU 53338	1325111	S	969	1291	2260	0.00055
Bradyrhizobium sp. CCBAU 53340	1325112	S	893	1139	2032	0.00049
Bradyrhizobium sp.	376	S	699	2560	3259	0.00079
Bradyrhizobium sp. WSM471	319017	S	289	1340	1629	0.00039
Bradyrhizobium sp. LCT2	2493093	S	136	724	860	0.00021
Bradyrhizobium icense	1274631	S	5722	2296	8018	0.00194
Bradyrhizobium paxllaeri	190148	S	5365	3185	8550	0.00207
Bradyrhizobium erythrophlei	1437360	S	4529	1204	5733	0.00139
Bradyrhizobium diazoefficiens	1355477	S	4224	11628	15852	0.00384
Bradyrhizobium vignae	1549949	S	1778	1282	3060	0.00074
Bradyrhizobium lablabi	722472	S	1620	3195	4815	0.00117
Bradyrhizobium oligotrophicum	44255	S	1363	633	1996	0.00048
Bradyrhizobium guangxiense	1325115	S	1337	1941	3278	0.00079
Bradyrhizobium genosp. L	83637	S	1307	768	2075	0.00050
Bradyrhizobium symbiodeficiens	1404367	S	1297	1645	2942	0.00071
Bradyrhizobium japonicum	375	S	1276	3495	4771	0.00115
Bradyrhizobium zhanjiangense	1325107	S	1259	909	2168	0.00052
Bradyrhizobium canariense	255045	S	1142	294	1436	0.00035
Bradyrhizobium arachidis	858423	S	1099	995	2094	0.00051
Bradyrhizobium guangdongense	1325090	S	1098	1381	2479	0.00060
Bradyrhizobium cosmicum	1404864	S	992	1058	2050	0.00050
Bradyrhizobium genosp. B	83627	S	934	651	1585	0.00038
Bradyrhizobium guangzhouense	1325095	S	902	1136	2038	0.00049
Bradyrhizobium amphicarpaeae	1404768	S	685	894	1579	0.00038
Bradyrhizobium betae	244734	S	580	765	1345	0.00033
Bradyrhizobium ottawaense	931866	S	189	2302	2491	0.00060
Bosea sp. Tri-49	1867715	S	1476	666	2142	0.00052
Bosea sp. F3-2	2599640	S	1278	719	1997	0.00048
Bosea sp. RAC05	1842539	S	1191	592	1783	0.00043
Bosea sp. AS-1	2015316	S	1079	594	1673	0.00041
Bosea sp. ANAM02	2020412	S	1029	599	1628	0.00039
Bosea sp. PAMC 26642	1792307	S	963	443	1406	0.00034
Bosea vaviloviae	1526658	S	1125	536	1661	0.00040
Rhodopseudomonas palustris	1076	S	6694	4857	11551	0.00280
Nitrobacter hamburgensis	912	S	1546	523	2069	0.00050
