name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2753	1618	4371	0.00086
Bradyrhizobium sp. CCBAU 51753	1325100	S	1711	1191	2902	0.00057
Bradyrhizobium sp. BTAi1	288000	S	1508	790	2298	0.00045
Bradyrhizobium sp. ORS 285	115808	S	1474	1007	2481	0.00049
Bradyrhizobium sp. ORS 278	114615	S	1423	952	2375	0.00047
Bradyrhizobium sp. CCBAU 51765	1325102	S	1305	1313	2618	0.00051
Bradyrhizobium sp. CCGE-LA001	1223566	S	1292	1139	2431	0.00048
Bradyrhizobium sp. 6(2017)	1197460	S	1183	873	2056	0.00040
Bradyrhizobium sp. SK17	2057741	S	1137	1101	2238	0.00044
Bradyrhizobium sp. CCBAU 53421	1325120	S	1076	1004	2080	0.00041
Bradyrhizobium sp. 1(2017)	1404888	S	1047	1030	2077	0.00041
Bradyrhizobium sp. PSBB068	2715960	S	1015	987	2002	0.00039
Bradyrhizobium sp. CCBAU 53338	1325111	S	926	1270	2196	0.00043
Bradyrhizobium sp. CCBAU 53340	1325112	S	846	1110	1956	0.00038
Bradyrhizobium sp. CCBAU 53351	1325114	S	744	1196	1940	0.00038
Bradyrhizobium sp.	376	S	601	2200	2801	0.00055
Bradyrhizobium sp. WSM471	319017	S	246	1121	1367	0.00027
Bradyrhizobium sp. LCT2	2493093	S	157	855	1012	0.00020
Bradyrhizobium erythrophlei	1437360	S	4758	1381	6139	0.00121
Bradyrhizobium diazoefficiens	1355477	S	3875	10963	14838	0.00291
Bradyrhizobium icense	1274631	S	3550	1540	5090	0.00100
Bradyrhizobium paxllaeri	190148	S	2941	1862	4803	0.00094
Bradyrhizobium lablabi	722472	S	1748	3557	5305	0.00104
Bradyrhizobium oligotrophicum	44255	S	1518	758	2276	0.00045
Bradyrhizobium genosp. L	83637	S	1398	882	2280	0.00045
Bradyrhizobium canariense	255045	S	1124	314	1438	0.00028
