name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51765	1325102	S	9317	8817	18134	0.00301
Bradyrhizobium sp. CCBAU 53351	1325114	S	8324	12361	20685	0.00343
Bradyrhizobium sp. CCBAU 051011	858422	S	3483	1956	5439	0.00090
Bradyrhizobium sp. CCBAU 51753	1325100	S	3110	2088	5198	0.00086
Bradyrhizobium sp. CCGE-LA001	1223566	S	2874	2402	5276	0.00088
Bradyrhizobium sp. BTAi1	288000	S	2721	1393	4114	0.00068
Bradyrhizobium sp. 1(2017)	1404888	S	2667	2479	5146	0.00085
Bradyrhizobium sp. ORS 278	114615	S	2642	1716	4358	0.00072
Bradyrhizobium sp. ORS 285	115808	S	2610	1729	4339	0.00072
Bradyrhizobium sp. CCBAU 53340	1325112	S	2126	2581	4707	0.00078
Bradyrhizobium sp. SK17	2057741	S	2066	1914	3980	0.00066
Bradyrhizobium sp. CCBAU 53338	1325111	S	2043	2590	4633	0.00077
Bradyrhizobium sp. 6(2017)	1197460	S	2026	1427	3453	0.00057
Bradyrhizobium sp. CCBAU 53421	1325120	S	1876	1660	3536	0.00059
Bradyrhizobium sp. PSBB068	2715960	S	1767	1637	3404	0.00056
Bradyrhizobium sp.	376	S	1519	5104	6623	0.00110
Bradyrhizobium sp. WSM471	319017	S	640	2685	3325	0.00055
Bradyrhizobium sp. SG09	2599805	S	282	3943	4225	0.00070
Bradyrhizobium sp. LCT2	2493093	S	278	1379	1657	0.00027
Bradyrhizobium sp. TM102	2599819	S	258	3717	3975	0.00066
Bradyrhizobium diazoefficiens	1355477	S	10805	28019	38824	0.00644
Bradyrhizobium erythrophlei	1437360	S	8167	2353	10520	0.00174
Bradyrhizobium guangxiense	1325115	S	5393	7467	12860	0.00213
Bradyrhizobium symbiodeficiens	1404367	S	3897	4713	8610	0.00143
Bradyrhizobium icense	1274631	S	3773	1599	5372	0.00089
Bradyrhizobium paxllaeri	190148	S	3639	2207	5846	0.00097
Bradyrhizobium amphicarpaeae	1404768	S	2858	3635	6493	0.00108
Bradyrhizobium vignae	1549949	S	2808	2019	4827	0.00080
Bradyrhizobium guangdongense	1325090	S	2717	3283	6000	0.00100
Bradyrhizobium lablabi	722472	S	2708	5137	7845	0.00130
