name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51765	1325102	S	4857	3978	8835	0.00223
Bradyrhizobium sp. CCGE-LA001	1223566	S	2627	1912	4539	0.00114
Bradyrhizobium sp. 1(2017)	1404888	S	2016	1637	3653	0.00092
Bradyrhizobium sp. CCBAU 53351	1325114	S	1632	2116	3748	0.00095
Bradyrhizobium sp. CCBAU 051011	858422	S	1442	686	2128	0.00054
Bradyrhizobium sp. CCBAU 51753	1325100	S	1141	659	1800	0.00045
Bradyrhizobium sp. BTAi1	288000	S	1021	446	1467	0.00037
Bradyrhizobium sp. CCBAU 53338	1325111	S	1012	1119	2131	0.00054
Bradyrhizobium sp. CCBAU 53340	1325112	S	986	1044	2030	0.00051
Bradyrhizobium sp. ORS 278	114615	S	941	529	1470	0.00037
Bradyrhizobium sp. ORS 285	115808	S	936	536	1472	0.00037
Bradyrhizobium sp. SK17	2057741	S	918	744	1662	0.00042
Bradyrhizobium sp. 6(2017)	1197460	S	873	538	1411	0.00036
Bradyrhizobium sp. CCBAU 53421	1325120	S	725	566	1291	0.00033
Bradyrhizobium sp.	376	S	720	2215	2935	0.00074
Bradyrhizobium sp. PSBB068	2715960	S	709	579	1288	0.00032
Bradyrhizobium sp. WSM471	319017	S	340	1346	1686	0.00043
Bradyrhizobium sp. LCT2	2493093	S	163	708	871	0.00022
Bradyrhizobium sp. TM102	2599819	S	120	1538	1658	0.00042
Bradyrhizobium sp. SG09	2599805	S	113	1405	1518	0.00038
Bradyrhizobium diazoefficiens	1355477	S	5203	15014	20217	0.00510
Bradyrhizobium erythrophlei	1437360	S	3278	775	4053	0.00102
Bradyrhizobium icense	1274631	S	2959	1039	3998	0.00101
Bradyrhizobium vignae	1549949	S	2805	1716	4521	0.00114
Bradyrhizobium guangxiense	1325115	S	1731	2076	3807	0.00096
Bradyrhizobium symbiodeficiens	1404367	S	1692	1755	3447	0.00087
Bradyrhizobium zhanjiangense	1325107	S	1627	993	2620	0.00066
Bradyrhizobium paxllaeri	190148	S	1569	798	2367	0.00060
Bradyrhizobium guangdongense	1325090	S	1568	1633	3201	0.00081
Bradyrhizobium japonicum	375	S	1385	3503	4888	0.00123
Bradyrhizobium arachidis	858423	S	1230	933	2163	0.00055
Bradyrhizobium cosmicum	1404864	S	1204	1080	2284	0.00058
Bradyrhizobium oligotrophicum	44255	S	1153	470	1623	0.00041
Bradyrhizobium lablabi	722472	S	1004	1657	2661	0.00067
Bradyrhizobium amphicarpaeae	1404768	S	1002	1094	2096	0.00053
Bradyrhizobium genosp. B	83627	S	957	569	1526	0.00038
Bradyrhizobium guangzhouense	1325095	S	915	953	1868	0.00047
Bradyrhizobium genosp. L	83637	S	904	463	1367	0.00034
Bradyrhizobium betae	244734	S	847	940	1787	0.00045
Bradyrhizobium canariense	255045	S	810	184	994	0.00025
Bradyrhizobium ottawaense	931866	S	201	2001	2202	0.00056
Nitrobacter winogradskyi	913	S	14284	5652	19936	0.00503
Nitrobacter hamburgensis	912	S	8529	2740	11269	0.00284
Bosea sp. Tri-49	1867715	S	1487	635	2122	0.00054
Bosea sp. F3-2	2599640	S	1159	618	1777	0.00045
Bosea sp. RAC05	1842539	S	1104	519	1623	0.00041
Bosea sp. AS-1	2015316	S	1020	534	1554	0.00039
Bosea sp. ANAM02	2020412	S	983	544	1527	0.00039
Bosea sp. PAMC 26642	1792307	S	840	368	1208	0.00030
Bosea vaviloviae	1526658	S	972	443	1415	0.00036
Rhodopseudomonas palustris	1076	S	6007	3961	9968	0.00251
Tardiphaga robiniae	943830	S	653	214	867	0.00022
Afipia carboxidovorans	40137	S	844	1200	2044	0.00052
Afipia sp. GAS231	1882747	S	539	525	1064	0.00027
Variibacter gotjawalensis	1333996	S	1073	199	1272	0.00032
Sinorhizobium meliloti	382	S	48209	27673	75882	0.01914
Sinorhizobium fredii	380	S	3636	6408	10044	0.00253
Sinorhizobium medicae	110321	S	2094	531	2625	0.00066
Sinorhizobium sp. RAC02	1842534	S	752	254	1006	0.00025
Sinorhizobium sp. BG8	2613773	S	590	137	727	0.00018
Sinorhizobium sp. CCBAU 05631	794846	S	128	289	417	0.00011
Sinorhizobium americanum	194963	S	1054	675	1729	0.00044
Ensifer mexicanus	375549	S	1551	390	1941	0.00049
Ensifer adhaerens	106592	S	1543	1163	2706	0.00068
Ensifer alkalisoli	1752398	S	786	307	1093	0.00028
Ensifer sojae	716925	S	720	369	1089	0.00027
Ensifer sp. PDNC004	2811423	S	518	316	834	0.00021
Rhizobium sp. WL3	2603277	S	617	225	842	0.00021
Rhizobium sp. BG4	2613770	S	560	195	755	0.00019
Rhizobium sp. Khangiran2	1435607	S	476	972	1448	0.00037
Rhizobium sp. ACO-34A	1571470	S	458	175	633	0.00016
Rhizobium sp. NXC24	2048897	S	409	149	558	0.00014
Rhizobium sp. 11515TR	2028343	S	387	165	552	0.00014
Rhizobium sp. ADMK78	1813451	S	331	85	416	0.00010
Rhizobium sp. NZLR1	2731096	S	284	293	577	0.00015
Rhizobium sp. NLR16a	2731112	S	258	457	715	0.00018
Rhizobium sp. CIAT894	2020312	S	252	309	561	0.00014
Rhizobium sp. NXC14	1981173	S	228	339	567	0.00014
Rhizobium sp. 007	2785056	S	150	258	408	0.00010
Rhizobium sp. TCK	136098	S	134	702	836	0.00021
Rhizobium leguminosarum	384	S	2470	5340	7810	0.00197
Rhizobium etli	29449	S	1056	2427	3483	0.00088
Rhizobium pseudoryzae	379684	S	701	228	929	0.00023
Rhizobium rhizoryzae	451876	S	540	92	632	0.00016
Rhizobium jaguaris	1312183	S	498	124	622	0.00016
Rhizobium rosettiformans	1368430	S	495	300	795	0.00020
Rhizobium favelukesii	348824	S	494	128	622	0.00016
Rhizobium flavum	1335061	S	491	642	1133	0.00029
Rhizobium bangladeshense	1138189	S	417	249	666	0.00017
Rhizobium phaseoli	396	S	378	1317	1695	0.00043
Rhizobium gallicum	56730	S	371	697	1068	0.00027
Rhizobium daejeonense	240521	S	353	163	516	0.00013
Rhizobium tropici	398	S	339	171	510	0.00013
Rhizobium lentis	1138194	S	322	227	549	0.00014
Rhizobium lusitanum	293958	S	318	122	440	0.00011
Rhizobium binae	1138190	S	263	220	483	0.00012
Rhizobium pusense	648995	S	214	1205	1419	0.00036
Rhizobium oryzihabitans	2267833	S	199	189	388	0.00010
Rhizobium indicum	2583231	S	176	293	469	0.00012
Rhizobium acidisoli	1538158	S	135	162	297	0.00007
Agrobacterium tumefaciens	358	S	1477	2328	3805	0.00096
Agrobacterium fabrum	1176649	S	155	397	552	0.00014
Agrobacterium sp. MA01	2664893	S	128	371	499	0.00013
Agrobacterium sp. RAC06	1842536	S	105	330	435	0.00011
Agrobacterium vitis	373	S	638	138	776	0.00020
Agrobacterium rhizogenes	359	S	293	547	840	0.00021
Agrobacterium rubi	28099	S	274	91	365	0.00009
Agrobacterium larrymoorei	160699	S	273	63	336	0.00008
Neorhizobium galegae	399	S	2395	649	3044	0.00077
Neorhizobium sp. SOG26	2060726	S	986	334	1320	0.00033
Neorhizobium sp. NCHU2750	1825976	S	609	235	844	0.00021
Pseudorhizobium banfieldiae	1125847	S	131	579	710	0.00018
Shinella sp. HZN7	879274	S	1296	805	2101	0.00053
Shinella sp. PSBB067	2715959	S	952	682	1634	0.00041
Kaistia sp. 32K	2795690	S	1240	441	1681	0.00042
Ciceribacter thiooxidans	1969821	S	741	209	950	0.00024
Georhizobium profundi	2341112	S	637	187	824	0.00021
Microvirga sp. VF16	2807101	S	9550	3064	12614	0.00318
Microvirga sp. 17 mud 1-3	2082949	S	2697	1275	3972	0.00100
Microvirga ossetica	1882682	S	7527	2630	10157	0.00256
Microvirga thermotolerans	2651334	S	3283	1838	5121	0.00129
Methylobacterium sp. 4-46	426117	S	1780	767	2547	0.00064
Methylobacterium sp. 17Sr1-43	2202828	S	949	455	1404	0.00035
Methylobacterium sp. 17Sr1-1	2202826	S	728	957	1685	0.00043
Methylobacterium sp. WL1	2603276	S	715	408	1123	0.00028
Methylobacterium sp. AMS5	925818	S	285	409	694	0.00018
Methylobacterium sp. DM1	2067957	S	250	938	1188	0.00030
Methylobacterium sp. C1	1479019	S	120	1228	1348	0.00034
Methylobacterium nodulans	114616	S	1542	470	2012	0.00051
Methylobacterium aquaticum	270351	S	1401	1535	2936	0.00074
Methylobacterium durans	2202825	S	1176	385	1561	0.00039
Methylobacterium mesophilicum	39956	S	767	421	1188	0.00030
Methylobacterium currus	2051553	S	742	836	1578	0.00040
Methylobacterium brachiatum	269660	S	698	564	1262	0.00032
Methylobacterium terrae	2202827	S	688	841	1529	0.00039
Methylobacterium indicum	1775910	S	619	816	1435	0.00036
Methylobacterium radiotolerans	31998	S	165	952	1117	0.00028
Methylorubrum populi	223967	S	1347	1274	2621	0.00066
Methylorubrum extorquens	408	S	876	3421	4297	0.00108
Mesorhizobium sp. N3	675281	S	1972	802	2774	0.00070
Mesorhizobium sp. 8	2584466	S	1402	704	2106	0.00053
Mesorhizobium sp. DCY119	2108445	S	1149	536	1685	0.00043
Mesorhizobium sp. Pch-S	2082387	S	878	260	1138	0.00029
Mesorhizobium sp. J8	2777475	S	667	487	1154	0.00029
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	666	529	1195	0.00030
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	663	449	1112	0.00028
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	658	668	1326	0.00033
Mesorhizobium sp. L-2-11	2744521	S	635	509	1144	0.00029
Mesorhizobium sp. 131-2-1	2744518	S	629	636	1265	0.00032
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	622	525	1147	0.00029
Mesorhizobium sp. INR15	2654248	S	621	242	863	0.00022
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	593	589	1182	0.00030
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	578	650	1228	0.00031
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	545	517	1062	0.00027
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	517	444	961	0.00024
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	406	337	743	0.00019
Mesorhizobium sp. NBSH29	2654249	S	384	82	466	0.00012
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	383	336	719	0.00018
Mesorhizobium sp. L-8-10	2744523	S	361	1692	2053	0.00052
Mesorhizobium sp. NZP2077	2483404	S	348	286	634	0.00016
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	346	362	708	0.00018
Mesorhizobium sp. L-8-3	2744522	S	334	1612	1946	0.00049
Mesorhizobium sp. 113-3-3	2744516	S	333	385	718	0.00018
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	324	570	894	0.00023
Mesorhizobium sp. AA22	1854057	S	278	445	723	0.00018
Mesorhizobium sp. NZP2298	2483403	S	216	313	529	0.00013
Mesorhizobium sp. 113-3-9	2744517	S	212	358	570	0.00014
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	188	809	997	0.00025
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	174	752	926	0.00023
Mesorhizobium oceanicum	1670800	S	1500	605	2105	0.00053
Mesorhizobium amorphae	71433	S	651	348	999	0.00025
Mesorhizobium loti	381	S	540	5492	6032	0.00152
Mesorhizobium opportunistum	593909	S	467	383	850	0.00021
Mesorhizobium australicum	536018	S	450	364	814	0.00021
