name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	16513	4034	20547	0.00117
Bradyrhizobium sp. 170	2782641	S	13912	3910	17822	0.00101
Bradyrhizobium sp. CCBAU 51753	1325100	S	11822	2461	14283	0.00081
Bradyrhizobium sp. CCBAU 53351	1325114	S	10729	5287	16016	0.00091
Bradyrhizobium sp. CCBAU 051011	858422	S	10485	1976	12461	0.00071
Bradyrhizobium sp. A19	2898149	S	9417	1545	10962	0.00062
Bradyrhizobium sp. BTAi1	288000	S	9393	1628	11021	0.00062
Bradyrhizobium sp. 195	2782662	S	9326	3490	12816	0.00073
Bradyrhizobium sp. ORS 278	114615	S	9010	1998	11008	0.00062
Bradyrhizobium sp. SK17	2057741	S	8944	2787	11731	0.00067
Bradyrhizobium sp. ORS 285	115808	S	8929	1978	10907	0.00062
Bradyrhizobium sp. 186	2782654	S	8896	2570	11466	0.00065
Bradyrhizobium sp. CCBAU 53338	1325111	S	8374	3307	11681	0.00066
Bradyrhizobium sp. CCBAU 53421	1325120	S	7392	2314	9706	0.00055
Bradyrhizobium sp. 1(2017)	1404888	S	7139	2216	9355	0.00053
Bradyrhizobium sp. CCBAU 53340	1325112	S	6954	2608	9562	0.00054
Bradyrhizobium sp. CCGE-LA001	1223566	S	5388	1989	7377	0.00042
Bradyrhizobium sp. 6(2017)	1197460	S	5097	2440	7537	0.00043
Bradyrhizobium sp. S2-11-2	2840472	S	4558	4216	8774	0.00050
Bradyrhizobium sp. 41S5	1404443	S	4307	2904	7211	0.00041
Bradyrhizobium sp. I71	2590772	S	4030	4191	8221	0.00047
Bradyrhizobium sp. CCBAU 51765	1325102	S	3785	4035	7820	0.00044
Bradyrhizobium sp. S2-20-1	2840469	S	3670	3659	7329	0.00042
Bradyrhizobium sp. 191	2782659	S	3525	4129	7654	0.00043
Bradyrhizobium sp. S2-11-4	2840473	S	3516	3868	7384	0.00042
Bradyrhizobium sp. C-145	574727	S	2530	2442	4972	0.00028
Bradyrhizobium sp.	376	S	2462	7967	10429	0.00059
Bradyrhizobium sp. 192	2782660	S	2437	6006	8443	0.00048
Bradyrhizobium sp. 144S4	2823807	S	2014	5167	7181	0.00041
Bradyrhizobium sp. 40	2782674	S	1833	5056	6889	0.00039
Bradyrhizobium sp. 323S2	1404649	S	1770	4598	6368	0.00036
Bradyrhizobium sp. 4	2782678	S	1686	5254	6940	0.00039
Bradyrhizobium erythrophlei	1437360	S	33370	2435	35805	0.00203
