name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	788298	47032	835330	0.08539
Phyllobacteriaceae	69277	F	185928	23028	208956	0.02136
Rhizobiaceae	82115	F	149435	28659	178094	0.01821
Hyphomicrobiaceae	45401	F	104194	6288	110482	0.01129
Xanthobacteraceae	335928	F	97251	8560	105811	0.01082
Methylobacteriaceae	119045	F	88465	9761	98226	0.01004
Boseaceae	2831100	F	49765	5432	55197	0.00564
Devosiaceae	2831106	F	21906	20526	42432	0.00434
Aurantimonadaceae	255475	F	15702	2078	17780	0.00182
Methylocystaceae	31993	F	11826	663	12489	0.00128
Phreatobacteraceae	2843305	F	9840	1065	10905	0.00111
Stappiaceae	2821832	F	9216	1395	10611	0.00108
Beijerinckiaceae	45404	F	6071	286	6357	0.00065
Parvibaculaceae	2813035	F	5550	924	6474	0.00066
Blastochloridaceae	2831090	F	5502	847	6349	0.00065
Chelatococcaceae	2036754	F	5023	735	5758	0.00059
Kaistiaceae	2831111	F	4351	693	5044	0.00052
Brucellaceae	118882	F	4109	1189	5298	0.00054
Amorphaceae	2685818	F	3072	226	3298	0.00034
Lichenihabitantaceae	2723775	F	2075	64	2139	0.00022
Pleomorphomonadaceae	2843308	F	2029	231	2260	0.00023
Breoghaniaceae	2831104	F	1850	161	2011	0.00021
Sphingomonadaceae	41297	F	296981	36683	333664	0.03411
Erythrobacteraceae	335929	F	38838	5310	44148	0.00451
Sphingosinicellaceae	2820280	F	8997	509	9506	0.00097
Azospirillaceae	2829815	F	52210	4192	56402	0.00577
Acetobacteraceae	433	F	47936	4343	52279	0.00534
Rhodospirillaceae	41295	F	24819	88245	113064	0.01156
Stellaceae	2844601	F	4929	252	5181	0.00053
Elioraeaceae	2690195	F	2219	82	2301	0.00024
Thalassospiraceae	2844866	F	1627	80	1707	0.00017
Rhodobacteraceae	31989	F	50997	5539	56536	0.00578
Roseobacteraceae	2854170	F	35617	3162	38779	0.00396
Caulobacteraceae	76892	F	67516	5189	72705	0.00743
Maricaulaceae	2800061	F	2885	214	3099	0.00032
Hyphomonadaceae	69657	F	2436	72	2508	0.00026
Burkholderiaceae	119060	F	305287	91308	396595	0.04054
Comamonadaceae	80864	F	222083	56205	278288	0.02845
Oxalobacteraceae	75682	F	96274	9969	106243	0.01086
Alcaligenaceae	506	F	62943	86488	149431	0.01528
Sutterellaceae	995019	F	1134	74	1208	0.00012
Usitatibacteraceae	2803844	F	14111	883	14994	0.00153
Nitrosomonadaceae	206379	F	10581	310	10891	0.00111
Sterolibacteriaceae	2008793	F	6135	1282	7417	0.00076
Gallionellaceae	90627	F	3618	344	3962	0.00041
Thiobacillaceae	2008790	F	3303	718	4021	0.00041
Sulfuricellaceae	2772226	F	3097	320	3417	0.00035
Methylophilaceae	32011	F	1829	122	1951	0.00020
Zoogloeaceae	2008794	F	19446	6043	25489	0.00261
Rhodocyclaceae	75787	F	14929	3700	18629	0.00190
Azonexaceae	2008795	F	5429	469	5898	0.00060
Chromobacteriaceae	1499392	F	17789	2722	20511	0.00210
Neisseriaceae	481	F	7537	1151	8688	0.00089
Casimicrobiaceae	2705999	F	1187	451	1638	0.00017
Xanthomonadaceae	32033	F	204674	30125	234799	0.02400
Rhodanobacteraceae	1775411	F	113381	12813	126194	0.01290
Pseudomonadaceae	135621	F	238928	68112	307040	0.03139
Marinobacteraceae	2887365	F	3614	216	3830	0.00039
Enterobacteriaceae	543	F	24083	74255	98338	0.01005
Erwiniaceae	1903409	F	21889	2698	24587	0.00251
Yersiniaceae	1903411	F	9654	1728	11382	0.00116
Pectobacteriaceae	1903410	F	4404	430	4834	0.00049
Hafniaceae	1903412	F	1357	2495	3852	0.00039
Morganellaceae	1903414	F	1217	516	1733	0.00018
Ectothiorhodospiraceae	72276	F	12897	952	13849	0.00142
Chromatiaceae	1046	F	9527	541	10068	0.00103
Wenzhouxiangellaceae	1676141	F	1574	1373	2947	0.00030
Halomonadaceae	28256	F	22866	2033	24899	0.00255
Alcanivoracaceae	224372	F	2305	827	3132	0.00032
Oceanospirillaceae	135620	F	1616	130	1746	0.00018
Aeromonadaceae	84642	F	10748	6736	17484	0.00179
Methylococcaceae	403	F	9871	312	10183	0.00104
Sinobacteraceae	568386	F	4739	430	5169	0.00053
Steroidobacteraceae	2689614	F	2317	418	2735	0.00028
Shewanellaceae	267890	F	3155	404	3559	0.00036
Alteromonadaceae	72275	F	1526	181	1707	0.00017
Pseudoalteromonadaceae	267888	F	1012	113	1125	0.00012
Microbulbiferaceae	1706373	F	2896	132	3028	0.00031
Halieaceae	1706372	F	1365	104	1469	0.00015
Cellvibrionaceae	1706371	F	1202	32	1234	0.00013
Acidiferrobacteraceae	1692041	F	5240	181	5421	0.00055
Vibrionaceae	641	F	3849	420	4269	0.00044
Legionellaceae	444	F	3111	180	3291	0.00034
Moraxellaceae	468	F	2359	526	2885	0.00030
Immundisolibacteraceae	1934946	F	1814	1850	3664	0.00037
Pasteurellaceae	712	F	1017	324	1341	0.00014
Myxococcaceae	31	F	30986	30508	61494	0.00629
Anaeromyxobacteraceae	1524215	F	27984	1455	29439	0.00301
Archangiaceae	39	F	25725	773	26498	0.00271
Vulgatibacteraceae	1524213	F	3209	173	3382	0.00035
Polyangiaceae	49	F	59418	3388	62806	0.00642
Sandaracinaceae	1055686	F	15867	656	16523	0.00169
Labilitrichaceae	1524216	F	11681	422	12103	0.00124
Kofleriaceae	224464	F	7342	262	7604	0.00078
Geobacteraceae	213422	F	12898	949	13847	0.00142
Desulfuromonadaceae	213421	F	3949	458	4407	0.00045
Desulfovibrionaceae	194924	F	12186	821	13007	0.00133
Desulfobacteraceae	213119	F	2858	191	3049	0.00031
Desulfobulbaceae	213121	F	1285	131	1416	0.00014
Bradymonadaceae	1779135	F	3433	381	3814	0.00039
Syntrophobacteraceae	213465	F	1018	160	1178	0.00012
Bdellovibrionaceae	213483	F	1751	18	1769	0.00018
Acidithiobacillaceae	225058	F	1203	83	1286	0.00013
Streptomycetaceae	2062	F	1062130	181476	1243606	0.12713
Microbacteriaceae	85023	F	277982	33117	311099	0.03180
Micrococcaceae	1268	F	180101	34317	214418	0.02192
Intrasporangiaceae	85021	F	44196	8884	53080	0.00543
Cellulomonadaceae	85016	F	41149	10821	51970	0.00531
Promicromonosporaceae	85017	F	20899	6507	27406	0.00280
Ornithinimicrobiaceae	2805590	F	16615	2733	19348	0.00198
Dermabacteraceae	85020	F	11564	1722	13286	0.00136
Brevibacteriaceae	85019	F	11037	1748	12785	0.00131
Dermacoccaceae	145357	F	8824	1616	10440	0.00107
Bogoriellaceae	145358	F	8240	1964	10204	0.00104
Ruaniaceae	1331736	F	6773	6732	13505	0.00138
Beutenbergiaceae	125316	F	4713	1215	5928	0.00061
Sanguibacteraceae	145360	F	3350	828	4178	0.00043
Dermatophilaceae	85018	F	1527	117	1644	0.00017
Kytococcaceae	2805426	F	1426	417	1843	0.00019
Nocardioidaceae	85015	F	323147	52543	375690	0.03840
Propionibacteriaceae	31957	F	43124	6252	49376	0.00505
Kribbellaceae	2726069	F	29391	3542	32933	0.00337
Actinopolymorphaceae	2805400	F	5804	528	6332	0.00065
Mycobacteriaceae	1762	F	198992	20551	219543	0.02244
Nocardiaceae	85025	F	107229	17436	124665	0.01274
Corynebacteriaceae	1653	F	29426	6866	36292	0.00371
Gordoniaceae	85026	F	26132	4740	30872	0.00316
Tsukamurellaceae	85028	F	8173	1737	9910	0.00101
Dietziaceae	85029	F	4709	4094	8803	0.00090
Pseudonocardiaceae	2070	F	301204	36346	337550	0.03451
Thermomonosporaceae	2012	F	221050	31853	252903	0.02585
Streptosporangiaceae	2004	F	54813	6758	61571	0.00629
Nocardiopsaceae	83676	F	17888	2265	20153	0.00206
Micromonosporaceae	28056	F	278547	30373	308920	0.03158
Geodermatophilaceae	85030	F	64688	12885	77573	0.00793
Nakamurellaceae	85031	F	59166	8126	67292	0.00688
Frankiaceae	74712	F	18858	1482	20340	0.00208
Actinomycetaceae	2049	F	18375	2146	20521	0.00210
Jiangellaceae	1217100	F	12027	1668	13695	0.00140
Bifidobacteriaceae	31953	F	7335	1543	8878	0.00091
Catenulisporaceae	414877	F	5008	575	5583	0.00057
Jatrophihabitantaceae	2805416	F	4190	288	4478	0.00046
Glycomycetaceae	85034	F	2714	174	2888	0.00030
Kineosporiaceae	83778	F	2570	561	3131	0.00032
Sporichthyaceae	85033	F	1493	564	2057	0.00021
Actinopolysporaceae	622451	F	1195	96	1291	0.00013
Conexibacteraceae	320583	F	81960	9879	91839	0.00939
Miltoncostaeaceae	2843199	F	16750	1751	18501	0.00189
Baekduiaceae	2600303	F	34039	4586	38625	0.00395
Rubrobacteraceae	84997	F	11536	404	11940	0.00122
Iamiaceae	633392	F	19102	1974	21076	0.00215
Ilumatobacteraceae	2448023	F	2221	117	2338	0.00024
Eggerthellaceae	1643826	F	6192	833	7025	0.00072
Atopobiaceae	1643824	F	3100	570	3670	0.00038
Coriobacteriaceae	84107	F	1383	290	1673	0.00017
Egibacteraceae	1747769	F	2617	123	2740	0.00028
Egicoccaceae	1755824	F	2311	284	2595	0.00027
Euzebyaceae	908622	F	2187	143	2330	0.00024
Paenibacillaceae	186822	F	27322	1935	29257	0.00299
Bacillaceae	186817	F	23570	18044	41614	0.00425
Alicyclobacillaceae	186823	F	2777	356	3133	0.00032
Planococcaceae	186818	F	1288	334	1622	0.00017
Lactobacillaceae	33958	F	2157	700	2857	0.00029
Oscillospiraceae	216572	F	4375	1966	6341	0.00065
