name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	657455	56678	714133	0.07441
Afipia	1033	G	30476	4323	34799	0.00363
Rhodopseudomonas	1073	G	29509	5327	34836	0.00363
Nitrobacter	911	G	22360	1957	24317	0.00253
Tardiphaga	1395974	G	21730	1830	23560	0.00246
Variibacter	1649510	G	4460	226	4686	0.00049
Mesorhizobium	68287	G	162823	21791	184614	0.01924
Aminobacter	31988	G	5162	2698	7860	0.00082
Aquibium	2911176	G	4861	738	5599	0.00058
Nitratireductor	245876	G	3382	312	3694	0.00038
Phyllobacterium	28100	G	2556	161	2717	0.00028
Roseitalea	1915401	G	1511	162	1673	0.00017
Hoeflea	274591	G	1445	87	1532	0.00016
Oricola	1594166	G	1086	95	1181	0.00012
Rhizobium	379	G	77266	22851	100117	0.01043
Agrobacterium	357	G	19020	4663	23683	0.00247
Neorhizobium	1525371	G	5658	872	6530	0.00068
Pseudorhizobium	1903858	G	1687	214	1901	0.00020
Sinorhizobium	28105	G	11198	3255	14453	0.00151
Ensifer	106591	G	10507	1462	11969	0.00125
Shinella	323620	G	11413	5770	17183	0.00179
Ciceribacter	1648508	G	1118	150	1268	0.00013
Georhizobium	2661800	G	1019	143	1162	0.00012
Rhodoplanes	29407	G	82992	5108	88100	0.00918
Hyphomicrobium	81	G	11929	581	12510	0.00130
Methyloceanibacter	1484898	G	2360	104	2464	0.00026
Aquabacter	45402	G	1850	194	2044	0.00021
Methyloligella	1485594	G	1682	130	1812	0.00019
Rhodomicrobium	1068	G	1281	58	1339	0.00014
Caenibius	2827482	G	1266	466	1732	0.00018
Labrys	204476	G	48593	3363	51956	0.00541
Pseudolabrys	556257	G	24425	2369	26794	0.00279
Starkeya	152053	G	7125	1344	8469	0.00088
Xanthobacter	279	G	6657	1153	7810	0.00081
Ancylobacter	99	G	6628	1725	8353	0.00087
Azorhizobium	6	G	2258	337	2595	0.00027
Methylobacterium	407	G	58985	7632	66617	0.00694
Microvirga	186650	G	14919	1210	16129	0.00168
Methylorubrum	2282523	G	11880	3930	15810	0.00165
Bosea	85413	G	49765	5532	55297	0.00576
Devosia	46913	G	17081	1010	18091	0.00189
Youhaiella	1827478	G	1644	314	1958	0.00020
Paradevosia	1573407	G	1612	480	2092	0.00022
Nordella	169055	G	11259	413	11672	0.00122
Pseudorhodoplanes	1734920	G	5704	268	5972	0.00062
Terrihabitans	2874214	G	1513	112	1625	0.00017
Aureimonas	414371	G	8577	1189	9766	0.00102
Martelella	293088	G	4809	609	5418	0.00056
Aurantimonas	182269	G	2192	439	2631	0.00027
Methylocystis	133	G	7775	481	8256	0.00086
Methylosinus	425	G	3844	406	4250	0.00044
Phreatobacter	1632780	G	9840	1087	10927	0.00114
Stappia	152161	G	3520	455	3975	0.00041
Roseibium	150830	G	1850	179	2029	0.00021
Pannonibacter	227873	G	1800	844	2644	0.00028
Labrenzia	478070	G	1505	100	1605	0.00017
Methylocella	120652	G	2878	211	3089	0.00032
Methylovirgula	1156568	G	2340	145	2485	0.00026
Kaustia	2838250	G	2681	177	2858	0.00030
Parvibaculum	256616	G	1410	695	2105	0.00022
Pyruvatibacter	1742974	G	1002	101	1103	0.00011
Blastochloris	59282	G	5502	866	6368	0.00066
Chelatococcus	28209	G	5023	749	5772	0.00060
Kaistia	166953	G	4351	707	5058	0.00053
Brucella	234	G	3537	1147	4684	0.00049
Acuticoccus	1904377	G	3072	233	3305	0.00034
Lichenihabitans	2723776	G	2075	66	2141	0.00022
Hartmannibacter	1572860	G	2029	235	2264	0.00024
Breoghania	1406135	G	1850	164	2014	0.00021
Sphingomonas	13687	G	129223	14295	143518	0.01495
Sphingopyxis	165697	G	50979	8364	59343	0.00618
Sphingobium	165695	G	40222	18628	58850	0.00613
Novosphingobium	165696	G	27631	7448	35079	0.00366
Rhizorhabdus	1649486	G	15398	5524	20922	0.00218
Sphingosinithalassobacter	2676233	G	2970	544	3514	0.00037
Allosphingosinicella	2823232	G	2126	195	2321	0.00024
Sphingorhabdus	1434046	G	1765	90	1855	0.00019
Parasphingopyxis	1234545	G	1729	65	1794	0.00019
Blastomonas	150203	G	1697	256	1953	0.00020
Tardibacter	2685927	G	1275	676	1951	0.00020
Hankyongella	1763827	G	1092	153	1245	0.00013
Erythrobacter	1041	G	10307	2218	12525	0.00131
Porphyrobacter	1111	G	3646	831	4477	0.00047
Qipengyuania	1855416	G	6436	1442	7878	0.00082
Tsuneonella	2800686	G	4385	732	5117	0.00053
Altererythrobacter	361177	G	4367	881	5248	0.00055
Croceicoccus	1295327	G	4117	2116	6233	0.00065
Sphingosinicella	335405	G	5105	421	5526	0.00058
Polymorphobacter	1508451	G	2753	84	2837	0.00030
Sandaracinobacter	56358	G	1111	60	1171	0.00012
Azospirillum	191	G	29684	3006	32690	0.00341
Skermanella	204447	G	16309	1855	18164	0.00189
Nitrospirillum	1543705	G	2496	223	2719	0.00028
Indioceanicola	2478349	G	1703	182	1885	0.00020
Niveispirillum	1543704	G	1038	87	1125	0.00012
Roseomonas	125216	G	20388	2354	22742	0.00237
Rhodovastum	504465	G	4311	332	4643	0.00048
Komagataeibacter	1434011	G	3115	1237	4352	0.00045
Acidiphilium	522	G	2569	1057	3626	0.00038
Roseococcus	35812	G	2514	182	2696	0.00028
Sediminicoccus	1706033	G	2169	87	2256	0.00024
Lichenicola	2804525	G	1819	68	1887	0.00020
Acidibrevibacterium	2603324	G	1806	120	1926	0.00020
Acetobacter	434	G	1703	473	2176	0.00023
Gluconobacter	441	G	1253	276	1529	0.00016
Gluconacetobacter	89583	G	1156	198	1354	0.00014
Hypericibacter	2705399	G	9179	425	9604	0.00100
Magnetospirillum	13134	G	5559	90510	96069	0.01001
Rhodospirillum	1081	G	3184	286	3470	0.00036
Tistrella	171436	G	2336	745	3081	0.00032
Ferrovibrio	1231242	G	2030	98	2128	0.00022
Defluviicoccus	111830	G	1358	94	1452	0.00015
Stella	93	G	4929	261	5190	0.00054
Elioraea	457933	G	2219	87	2306	0.00024
Thalassospira	168934	G	1080	72	1152	0.00012
Paracoccus	265	G	16932	2536	19468	0.00203
Cereibacter	1653176	G	4201	1373	5574	0.00058
Rhodobacter	1060	G	4191	1151	5342	0.00056
Rhodovulum	34008	G	2706	491	3197	0.00033
Polymorphum	991903	G	1889	373	2262	0.00024
Paroceanicella	2683599	G	1718	453	2171	0.00023
Thioclava	285107	G	1277	155	1432	0.00015
Pikeienuella	2831955	G	1210	97	1307	0.00014
Pontivivens	1844015	G	1111	75	1186	0.00012
Pelagovum	2795377	G	1085	125	1210	0.00013
Sulfitobacter	60136	G	4394	862	5256	0.00055
Roseovarius	74030	G	4249	662	4911	0.00051
Salipiger	263377	G	3231	1033	4264	0.00044
Roseivivax	93682	G	2534	409	2943	0.00031
Celeribacter	875170	G	1914	755	2669	0.00028
Phaeobacter	302485	G	1723	325	2048	0.00021
Ruegeria	97050	G	1562	225	1787	0.00019
Leisingera	191028	G	1518	206	1724	0.00018
Pseudosulfitobacter	2854186	G	1241	361	1602	0.00017
Yangia	2919626	G	1129	181	1310	0.00014
Sagittula	58842	G	1081	439	1520	0.00016
Caulobacter	75	G	30911	3715	34626	0.00361
Brevundimonas	41275	G	21331	2485	23816	0.00248
Phenylobacterium	20	G	9952	1321	11273	0.00117
Asticcacaulis	76890	G	1895	117	2012	0.00021
Terricaulis	2768684	G	1157	30	1187	0.00012
Marinicauda	1649466	G	1438	198	1636	0.00017
Hyphomonas	85	G	1713	62	1775	0.00018
Burkholderia	32008	G	93163	69672	162835	0.01697
Cupriavidus	106589	G	90446	25876	116322	0.01212
Paraburkholderia	1822464	G	44552	3685	48237	0.00503
Caballeronia	1827195	G	20600	2543	23143	0.00241
Pandoraea	93217	G	20247	4030	24277	0.00253
Ralstonia	48736	G	14928	6183	21111	0.00220
Polynucleobacter	44013	G	1434	30	1464	0.00015
Variovorax	34072	G	75655	23642	99297	0.01035
Acidovorax	12916	G	20419	8686	29105	0.00303
Hydrogenophaga	47420	G	19671	7166	26837	0.00280
Rhodoferax	28065	G	16178	4273	20451	0.00213
Comamonas	283	G	11916	4534	16450	0.00171
Ramlibacter	174951	G	11585	3787	15372	0.00160
Polaromonas	52972	G	9787	726	10513	0.00110
Schlegelella	215579	G	6612	1622	8234	0.00086
Diaphorobacter	238749	G	6227	5550	11777	0.00123
Delftia	80865	G	5678	5066	10744	0.00112
Kinneretia	683756	G	5152	2286	7438	0.00078
Ottowia	219181	G	3280	481	3761	0.00039
Alicycliphilus	201096	G	2886	4246	7132	0.00074
Melaminivora	1649468	G	2392	1791	4183	0.00044
Serpentinimonas	2490452	G	1677	320	1997	0.00021
Verminephrobacter	364316	G	1414	147	1561	0.00016
Hylemonella	232523	G	1279	154	1433	0.00015
Pulveribacter	2678886	G	1114	496	1610	0.00017
Massilia	149698	G	57763	8382	66145	0.00689
Duganella	75654	G	4516	1194	5710	0.00060
Herbaspirillum	963	G	13307	1767	15074	0.00157
Janthinobacterium	29580	G	8890	2436	11326	0.00118
Collimonas	202907	G	4075	361	4436	0.00046
Noviherbaspirillum	1344552	G	2312	306	2618	0.00027
Achromobacter	222	G	25893	9198	35091	0.00366
Bordetella	517	G	21933	6981	28914	0.00301
Pigmentiphaga	152267	G	5493	533	6026	0.00063
Orrella	1921582	G	1689	425	2114	0.00022
Castellaniella	359336	G	1394	731	2125	0.00022
Alcaligenes	507	G	1229	255	1484	0.00015
Rhizobacter	212743	G	9881	1867	11748	0.00122
Aquincola	391952	G	8329	2421	10750	0.00112
Methylibium	316612	G	6978	1876	8854	0.00092
Sphaerotilus	34102	G	5639	2320	7959	0.00083
Rubrivivax	28067	G	4824	1307	6131	0.00064
Mitsuaria	65047	G	3652	628	4280	0.00045
Leptothrix	88	G	3363	935	4298	0.00045
Thiomonas	32012	G	3318	168	3486	0.00036
Xylophilus	54066	G	2544	605	3149	0.00033
Ideonella	36862	G	2105	1043	3148	0.00033
Roseateles	93681	G	1679	277	1956	0.00020
Aquabacterium	92793	G	1516	338	1854	0.00019
Tepidimonas	114248	G	1415	416	1831	0.00019
Paucibacter	318147	G	1110	160	1270	0.00013
Inhella	644355	G	1052	141	1193	0.00012
Sutterella	40544	G	1069	79	1148	0.00012
Usitatibacter	2803845	G	14111	948	15059	0.00157
Nitrosospira	35798	G	8854	277	9131	0.00095
Nitrosomonas	914	G	1653	136	1789	0.00019
Denitratisoma	311181	G	1997	798	2795	0.00029
Sulfuritalea	1054211	G	1600	213	1813	0.00019
Methyloversatilis	378210	G	1387	158	1545	0.00016
Sterolibacterium	157591	G	1082	244	1326	0.00014
Sideroxydans	314343	G	1500	236	1736	0.00018
Thiobacillus	919	G	2099	352	2451	0.00026
Sulfuritortus	1938335	G	1188	426	1614	0.00017
Sulfuriferula	1778653	G	1351	193	1544	0.00016
Sulfurimicrobium	2772198	G	1092	156	1248	0.00013
Thauera	33057	G	8744	4515	13259	0.00138
Azoarcus	12960	G	7680	2057	9737	0.00101
Nitrogeniibacter	2891294	G	2443	322	2765	0.00029
Aromatoleum	551759	G	7215	1802	9017	0.00094
Azospira	146937	G	4838	1833	6671	0.00070
Niveibacterium	1769726	G	1355	165	1520	0.00016
Dechloromonas	73029	G	2389	407	2796	0.00029
Ferribacterium	88875	G	1874	324	2198	0.00023
Chromobacterium	535	G	7174	1453	8627	0.00090
Jeongeupia	885864	G	2133	333	2466	0.00026
Paludibacterium	400060	G	1760	263	2023	0.00021
Pseudogulbenkiania	568394	G	1222	361	1583	0.00016
Vogesella	57739	G	1206	265	1471	0.00015
Aquitalea	407217	G	1053	188	1241	0.00013
Neisseria	482	G	2718	829	3547	0.00037
Crenobacter	1654931	G	1450	409	1859	0.00019
Casimicrobium	2706000	G	1187	420	1607	0.00017
Lysobacter	68	G	77772	10598	88370	0.00921
Stenotrophomonas	40323	G	37471	11731	49202	0.00513
Xanthomonas	338	G	31450	14975	46425	0.00484
Luteimonas	83614	G	15799	2580	18379	0.00192
Thermomonas	141948	G	11367	2636	14003	0.00146
Pseudoxanthomonas	83618	G	11167	3992	15159	0.00158
Arenimonas	490567	G	2811	449	3260	0.00034
Pseudolysobacter	2709666	G	1766	37	1803	0.00019
Rhodanobacter	75309	G	54679	9428	64107	0.00668
Dyella	231454	G	21461	3228	24689	0.00257
Luteibacter	242605	G	13242	1029	14271	0.00149
Frateuria	70411	G	10213	1789	12002	0.00125
Dokdonella	323413	G	5025	640	5665	0.00059
Aerosticca	2707020	G	2710	2526	5236	0.00055
Pseudomonas	286	G	232601	68148	300749	0.03134
Azotobacter	352	G	2907	5683	8590	0.00090
Halopseudomonas	2901189	G	1662	216	1878	0.00020
Marinobacter	2742	G	3614	239	3853	0.00040
Klebsiella	570	G	4003	27114	31117	0.00324
Raoultella	160674	G	1158	671	1829	0.00019
Enterobacter	547	G	4692	13629	18321	0.00191
Citrobacter	544	G	2326	3166	5492	0.00057
Cronobacter	413496	G	1272	290	1562	0.00016
Kosakonia	1330547	G	1170	176	1346	0.00014
Leclercia	83654	G	1081	615	1696	0.00018
Pantoea	53335	G	18586	2784	21370	0.00223
Erwinia	551	G	1785	268	2053	0.00021
Serratia	613	G	6869	1542	8411	0.00088
Dickeya	204037	G	1960	287	2247	0.00023
Pectobacterium	122277	G	1146	211	1357	0.00014
Edwardsiella	635	G	1152	2826	3978	0.00041
Thioalkalivibrio	106633	G	4411	722	5133	0.00053
Spiribacter	1335745	G	2805	209	3014	0.00031
Acidihalobacter	1765964	G	1991	150	2141	0.00022
Thiodictyon	53392	G	1594	85	1679	0.00017
Allochromatium	85072	G	1563	377	1940	0.00020
Marichromatium	85076	G	1318	252	1570	0.00016
Thioflavicoccus	156885	G	1305	114	1419	0.00015
Thiocapsa	1056	G	1051	57	1108	0.00012
Wenzhouxiangella	1676142	G	1574	73	1647	0.00017
Thiohalobacter	1273155	G	1172	153	1325	0.00014
Halomonas	2745	G	17326	2111	19437	0.00203
Cobetia	204286	G	1097	670	1767	0.00018
Alcanivorax	59753	G	2199	903	3102	0.00032
Aeromonas	642	G	9477	7479	16956	0.00177
Methylococcus	413	G	3182	350	3532	0.00037
Methylomonas	416	G	2245	133	2378	0.00025
Solimonas	413435	G	3160	270	3430	0.00036
