name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	7684223	341747	8025970	0.47399
Thermoleophilia	1497346	C	181340	18805	200145	0.01182
Rubrobacteria	84995	C	85866	8673	94539	0.00558
Acidimicrobiia	84992	C	53120	4493	57613	0.00340
Coriobacteriia	84998	C	23419	2749	26168	0.00155
Nitriliruptoria	908620	C	16266	1085	17351	0.00102
Bacilli	91061	C	125390	37226	162616	0.00960
Clostridia	186801	C	36899	5813	42712	0.00252
Negativicutes	909932	C	5787	467	6254	0.00037
Limnochordia	1676648	C	2518	70	2588	0.00015
Deinococci	188787	C	45843	33509	79352	0.00469
Gloeobacteria	307596	C	4428	5408	9836	0.00058
Thermomicrobia	189775	C	7507	207	7714	0.00046
Chloroflexia	32061	C	6331	167	6498	0.00038
Ardenticatenia	1382928	C	3697	52	3749	0.00022
Tepidiformia	2682225	C	3487	104	3591	0.00021
Caldilineae	475962	C	1844	84	1928	0.00011
Anaerolineae	292625	C	1366	18	1384	0.00008
Ktedonobacteria	388447	C	1260	27	1287	0.00008
Dehalococcoidia	301297	C	1044	830	1874	0.00011
Fimbriimonadia	1663419	C	2521	10	2531	0.00015
Alphaproteobacteria	28211	C	3439067	204547	3643614	0.21518
Betaproteobacteria	28216	C	1572645	240084	1812729	0.10706
Gammaproteobacteria	1236	C	1196693	264275	1460968	0.08628
Deltaproteobacteria	28221	C	462431	30708	493139	0.02912
Epsilonproteobacteria	29547	C	4720	175	4895	0.00029
Acidithiobacillia	1807140	C	2434	197	2631	0.00016
Oligoflexia	1553900	C	2235	22	2257	0.00013
Gemmatimonadetes	219685	C	151146	6885	158031	0.00933
Cytophagia	768503	C	41988	757	42745	0.00252
Chitinophagia	1853228	C	24752	237	24989	0.00148
Flavobacteriia	117743	C	20618	1201	21819	0.00129
Sphingobacteriia	117747	C	19587	1016	20603	0.00122
Bacteroidia	200643	C	15428	14467	29895	0.00177
Chlorobia	191410	C	4453	505	4958	0.00029
Planctomycetia	203683	C	177837	2243	180080	0.01064
Phycisphaerae	666505	C	15796	524	16320	0.00096
Opitutae	414999	C	52907	1772	54679	0.00323
Verrucomicrobiae	203494	C	17335	2088	19423	0.00115
Kiritimatiellae	1921781	C	1034	929	1963	0.00012
Acidobacteriia	204432	C	45167	575	45742	0.00270
Vicinamibacteria	1813735	C	41381	2005	43386	0.00256
Blastocatellia	1562566	C	3860	117	3977	0.00023
Holophagae	533205	C	2432	38	2470	0.00015
Nitrospira	203693	C	18055	223	18278	0.00108
Spirochaetia	203692	C	4692	214	4906	0.00029
Synergistia	649775	C	3646	245	3891	0.00023
Sordariomycetes	147550	C	42239	639	42878	0.00253
Eurotiomycetes	147545	C	4317	90	4407	0.00026
Dothideomycetes	147541	C	2411	232	2643	0.00016
Saccharomycetes	4891	C	2374	192	2566	0.00015
Ustilaginomycetes	5257	C	4374	83	4457	0.00026
Agaricomycetes	155619	C	1524	23	1547	0.00009
