name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	6454064	299556	6753620	0.46909
Thermoleophilia	1497346	C	167900	18325	186225	0.01293
Rubrobacteria	84995	C	80741	8713	89454	0.00621
Acidimicrobiia	84992	C	52336	4674	57010	0.00396
Coriobacteriia	84998	C	20367	2641	23008	0.00160
Nitriliruptoria	908620	C	13855	987	14842	0.00103
Bacilli	91061	C	145448	65626	211074	0.01466
Clostridia	186801	C	33752	4865	38617	0.00268
Negativicutes	909932	C	5204	451	5655	0.00039
Limnochordia	1676648	C	2386	74	2460	0.00017
Deinococci	188787	C	41167	30616	71783	0.00499
Gloeobacteria	307596	C	4070	4666	8736	0.00061
Thermomicrobia	189775	C	7301	225	7526	0.00052
Chloroflexia	32061	C	5408	158	5566	0.00039
Tepidiformia	2682225	C	3912	129	4041	0.00028
Ardenticatenia	1382928	C	3415	53	3468	0.00024
Ktedonobacteria	388447	C	2045	49	2094	0.00015
Caldilineae	475962	C	1599	81	1680	0.00012
Anaerolineae	292625	C	1374	21	1395	0.00010
Dehalococcoidia	301297	C	1018	812	1830	0.00013
Fimbriimonadia	1663419	C	2364	10	2374	0.00016
Alphaproteobacteria	28211	C	2954140	189092	3143232	0.21832
Betaproteobacteria	28216	C	1197934	188384	1386318	0.09629
Gammaproteobacteria	1236	C	912381	236240	1148621	0.07978
Deltaproteobacteria	28221	C	462032	16989	479021	0.03327
Epsilonproteobacteria	29547	C	3775	173	3948	0.00027
Acidithiobacillia	1807140	C	2050	167	2217	0.00015
Oligoflexia	1553900	C	1198	14	1212	0.00008
Planctomycetia	203683	C	259902	4078	263980	0.01834
Phycisphaerae	666505	C	15207	571	15778	0.00110
Opitutae	414999	C	20285	812	21097	0.00147
Verrucomicrobiae	203494	C	12821	1974	14795	0.00103
Cytophagia	768503	C	35741	668	36409	0.00253
Chitinophagia	1853228	C	35661	309	35970	0.00250
Bacteroidia	200643	C	12909	2163	15072	0.00105
Flavobacteriia	117743	C	11801	743	12544	0.00087
Sphingobacteriia	117747	C	11684	11021	22705	0.00158
Chlorobia	191410	C	4037	426	4463	0.00031
Gemmatimonadetes	219685	C	90448	4446	94894	0.00659
Acidobacteriia	204432	C	59547	778	60325	0.00419
Vicinamibacteria	1813735	C	42191	2119	44310	0.00308
Blastocatellia	1562566	C	3584	142	3726	0.00026
Holophagae	533205	C	2125	35	2160	0.00015
Nitrospira	203693	C	8931	112	9043	0.00063
Spirochaetia	203692	C	4289	195	4484	0.00031
Synergistia	649775	C	3452	889	4341	0.00030
Sordariomycetes	147550	C	48767	729	49496	0.00344
Eurotiomycetes	147545	C	13995	296	14291	0.00099
Dothideomycetes	147541	C	2242	247	2489	0.00017
Saccharomycetes	4891	C	2239	206	2445	0.00017
Ustilaginomycetes	5257	C	3863	80	3943	0.00027
Agaricomycetes	155619	C	1324	20	1344	0.00009
