name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	1947455	332661	2280116	0.15844
Micrococcales	85006	O	1049592	133583	1183175	0.08222
Propionibacteriales	85009	O	734444	109191	843635	0.05862
Corynebacteriales	85007	O	729299	70307	799606	0.05556
Pseudonocardiales	85010	O	514515	63517	578032	0.04017
Micromonosporales	85008	O	437001	46891	483892	0.03363
Streptosporangiales	85012	O	254066	32789	286855	0.01993
Geodermatophilales	1643682	O	103962	20974	124936	0.00868
Frankiales	85013	O	34876	2791	37667	0.00262
Actinomycetales	2037	O	34487	4069	38556	0.00268
Jiangellales	1217098	O	19403	2718	22121	0.00154
Nakamurellales	1643684	O	16000	1788	17788	0.00124
Bifidobacteriales	85004	O	13771	2686	16457	0.00114
Catenulisporales	414714	O	11865	1383	13248	0.00092
Jatrophihabitantales	2805415	O	7628	534	8162	0.00057
Glycomycetales	85014	O	4922	318	5240	0.00036
Kineosporiales	622452	O	4799	1062	5861	0.00041
Sporichthyales	2495578	O	2828	1082	3910	0.00027
Actinopolysporales	622450	O	2251	184	2435	0.00017
Acidothermales	1643683	O	1566	65	1631	0.00011
Solirubrobacterales	588673	O	136449	16682	153131	0.01064
Miltoncostaeales	2843198	O	29890	3206	33096	0.00230
Rubrobacterales	84996	O	80741	8714	89455	0.00622
Acidimicrobiales	84993	O	52336	4674	57010	0.00396
Eggerthellales	1643822	O	11561	1539	13100	0.00091
Coriobacteriales	84999	O	8498	1410	9908	0.00069
Egibacterales	1747768	O	4951	235	5186	0.00036
Egicoccales	1755823	O	4446	552	4998	0.00035
Euzebyales	908621	O	4368	288	4656	0.00032
Bacillales	1385	O	138505	63722	202227	0.01405
Lactobacillales	186826	O	6323	2569	8892	0.00062
Eubacteriales	186802	O	29238	4735	33973	0.00236
Thermoanaerobacterales	68295	O	3556	413	3969	0.00028
Selenomonadales	909929	O	3648	180	3828	0.00027
Veillonellales	1843489	O	1004	235	1239	0.00009
Limnochordales	1676649	O	2386	74	2460	0.00017
Deinococcales	118964	O	28249	1287	29536	0.00205
Thermales	68933	O	10554	511	11065	0.00077
Trueperales	2762275	O	2032	83	2115	0.00015
Synechococcales	1890424	O	17587	1356	18943	0.00132
Nostocales	1161	O	5732	338	6070	0.00042
Pseudanabaenales	2881377	O	4113	195	4308	0.00030
Gloeobacterales	307595	O	4070	72	4142	0.00029
Oscillatoriales	1150	O	2515	207	2722	0.00019
Sphaerobacterales	85001	O	5768	275	6043	0.00042
Thermomicrobiales	189776	O	1466	23	1489	0.00010
Chloroflexales	32064	O	5408	164	5572	0.00039
Tepidiformales	2682226	O	3912	130	4042	0.00028
Ardenticatenales	1382929	O	3415	54	3469	0.00024
Ktedonobacterales	388448	O	2045	51	2096	0.00015
Caldilineales	475963	O	1599	85	1684	0.00012
Anaerolineales	292629	O	1374	799	2173	0.00015
Fimbriimonadales	1663425	O	2364	10	2374	0.00017
Hyphomicrobiales	356	O	1889705	83111	1972816	0.13709
Sphingomonadales	204457	O	475333	45804	521137	0.03621
Rhodospirillales	204441	O	213184	157190	370374	0.02574
Rhodobacterales	204455	O	152155	9344	161499	0.01122
Caulobacterales	204458	O	95554	7768	103322	0.00718
Maricaulales	2800059	O	4780	410	5190	0.00036
Hyphomonadales	2800060	O	4239	138	4377	0.00030
Parvularculales	255473	O	1562	89	1651	0.00011
Burkholderiales	80840	O	1002497	187671	1190168	0.08270
Rhodocyclales	206389	O	64706	16332	81038	0.00563
Nitrosomonadales	32003	O	58684	5859	64543	0.00449
Neisseriales	206351	O	41489	9058	50547	0.00351
Xanthomonadales	135614	O	326456	45227	371683	0.02583
Pseudomonadales	72274	O	270320	77462	347782	0.02417
Enterobacterales	91347	O	86564	123036	209600	0.01456
Chromatiales	135613	O	48539	3074	51613	0.00359
Oceanospirillales	135619	O	46017	5250	51267	0.00356
Aeromonadales	135624	O	18241	11448	29689	0.00206
Methylococcales	135618	O	16159	603	16762	0.00116
Alteromonadales	135622	O	10276	2316	12592	0.00088
Cellvibrionales	1706369	O	9795	415	10210	0.00071
Nevskiales	1775403	O	9208	1302	10510	0.00073
Acidiferrobacterales	1692040	O	8850	354	9204	0.00064
Vibrionales	135623	O	5958	1656	7614	0.00053
Moraxellales	2887326	O	3056	837	3893	0.00027
Immundisolibacterales	1934945	O	2626	2976	5602	0.00039
Thiotrichales	72273	O	2200	101	2301	0.00016
Legionellales	118969	O	1828	70	1898	0.00013
Salinisphaerales	742030	O	1677	58	1735	0.00012
