name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. BH-MK-02	2880933	S	33793	6899	40692	0.00213
Streptomyces sp. A2-16	2781734	S	33500	10618	44118	0.00231
Streptomyces sp. CdTB01	1725411	S	27569	7806	35375	0.00185
Streptomyces sp. P3	2135430	S	18875	4751	23626	0.00124
Streptomyces sp. SN-593	659352	S	17128	3550	20678	0.00108
Streptomyces sp. ZYC-3	2797636	S	14827	2973	17800	0.00093
Streptomyces sp. 3214.6	1882757	S	14792	4359	19151	0.00100
Streptomyces sp. CB01881	2078691	S	14263	2384	16647	0.00087
Streptomyces sp. GQFP	2907545	S	13646	2313	15959	0.00084
Streptomyces sp. Z423-1	2730915	S	12194	3549	15743	0.00082
Streptomyces sp. So13.3	2136173	S	11995	2016	14011	0.00073
Streptomyces sp. ST1015	1848900	S	11969	2423	14392	0.00075
Streptomyces sp. WAC 01438	2203204	S	11732	3888	15620	0.00082
Streptomyces sp. SAT1	1849967	S	11226	3986	15212	0.00080
Streptomyces sp. SCSIO 64649	2878388	S	11161	1755	12916	0.00068
Streptomyces sp. LRE541	2931983	S	10851	2491	13342	0.00070
Streptomyces sp. BJ20	2930049	S	10657	4230	14887	0.00078
Streptomyces sp. RPA4-2	2721244	S	10104	3031	13135	0.00069
Streptomyces sp. NEAU-sy36	2751189	S	9744	3592	13336	0.00070
Streptomyces sp. DSM 40868	2721173	S	9698	3546	13244	0.00069
Streptomyces sp. CMB-StM0423	2059884	S	9620	6125	15745	0.00082
Streptomyces sp. Go 40/10	2825844	S	9402	4325	13727	0.00072
Streptomyces sp. NHF165	2175864	S	9176	1432	10608	0.00056
Streptomyces sp. NA02950	2742137	S	8963	1676	10639	0.00056
Streptomyces sp. AMCC400023	2056258	S	8893	4026	12919	0.00068
Streptomyces sp. HM190	2695266	S	8891	2779	11670	0.00061
Streptomyces sp. MG62	2838015	S	8804	3361	12165	0.00064
Streptomyces sp. JB150	2714844	S	8637	2910	11547	0.00060
Streptomyces sp. MA3_2.13	2867410	S	8500	957	9457	0.00050
Streptomyces sp. MG28	2865673	S	8236	3206	11442	0.00060
Streptomyces sp. Go-475	2072505	S	8084	3828	11912	0.00062
Streptomyces sp. S1D4-11	2721246	S	8063	7153	15216	0.00080
Streptomyces sp. 3025	2923272	S	8019	1299	9318	0.00049
Streptomyces sp. S4.7	2705439	S	7801	2556	10357	0.00054
Streptomyces sp. SCUT-3	2684469	S	7776	2659	10435	0.00055
Streptomyces sp. YIM 121038	2136401	S	7772	2259	10031	0.00053
Streptomyces sp. MBT27	1488356	S	7731	2108	9839	0.00052
Streptomyces sp. GMY02	1333528	S	7288	1188	8476	0.00044
Streptomyces sp. 891-h	2720714	S	7288	1220	8508	0.00045
Streptomyces sp. RTd22	1841249	S	7263	3996	11259	0.00059
Streptomyces sp. W1SF4	2305220	S	7177	2450	9627	0.00050
Streptomyces sp. NA04227	2742136	S	7167	1500	8667	0.00045
Streptomyces sp. GS7	2692234	S	7090	1845	8935	0.00047
Streptomyces sp. SYP-A7193	2662065	S	6798	4658	11456	0.00060
Streptomyces sp. CB09001	2083284	S	6655	4719	11374	0.00060
Streptomyces sp. jing01	2726118	S	6599	3745	10344	0.00054
Streptomyces sp. MST-110588	2833628	S	6546	1462	8008	0.00042
Streptomyces sp. HP-A2021	2927875	S	6476	3721	10197	0.00053
Streptomyces sp. C8S0	2585716	S	6408	1672	8080	0.00042
Streptomyces sp. HSG2	2797167	S	6397	1254	7651	0.00040
Streptomyces sp. BHT-5-2	2866715	S	6020	1854	7874	0.00041
Streptomyces sp. QHH-9511	2684468	S	5974	1554	7528	0.00039
Streptomyces sp. Rer75	2750011	S	5960	3631	9591	0.00050
Streptomyces sp. 135	2838850	S	5839	1933	7772	0.00041
Streptomyces sp. SirexAA-E	862751	S	5718	1710	7428	0.00039
Streptomyces sp. SM18	1736046	S	5667	1567	7234	0.00038
Streptomyces sp. WAC 01529	2203205	S	5302	1883	7185	0.00038
Streptomyces sp. fd1-xmd	1812480	S	5164	2491	7655	0.00040
Streptomyces sp. WAC 06738	2203210	S	4972	7293	12265	0.00064
Streptomyces sp. Tu 2975	2676871	S	4926	1499	6425	0.00034
Streptomyces sp. SUK 48	2582831	S	4796	3236	8032	0.00042
Streptomyces sp. INR7	2607753	S	4597	2695	7292	0.00038
Streptomyces sp. CNQ-509	444103	S	4436	6351	10787	0.00057
Streptomyces sp. TN58	234612	S	4428	2268	6696	0.00035
Streptomyces sp. CCM_MD2014	1561022	S	4407	4974	9381	0.00049
Streptomyces sp. ADI95-16	1522758	S	4118	5005	9123	0.00048
Streptomyces sp. HF10	2692233	S	4108	3138	7246	0.00038
Streptomyces sp. WY228	2855836	S	4073	2242	6315	0.00033
Streptomyces sp. MOE7	1961713	S	3758	4609	8367	0.00044
Streptomyces sp. Mg1	465541	S	3543	4578	8121	0.00043
Streptomyces sp. 2323.1	1938841	S	3373	2074	5447	0.00029
Streptomyces sp. AgN23	1188315	S	3254	3038	6292	0.00033
Streptomyces sp. YPW6	2840373	S	3153	1671	4824	0.00025
Streptomyces sp. RLB1-33	2721243	S	3078	10478	13556	0.00071
Streptomyces sp. 769	1262452	S	2954	2364	5318	0.00028
Streptomyces sp. RPA4-5	2721245	S	2921	1934	4855	0.00025
Streptomyces sp. EAS-AB2608	2779671	S	2862	6613	9475	0.00050
Streptomyces sp. M2	646637	S	2823	25789	28612	0.00150
Streptomyces sp. PBH53	1577075	S	2522	5657	8179	0.00043
Streptomyces sp. NA02536	2742133	S	2512	6922	9434	0.00049
Streptomyces sp. CRSS-Y-16	2906474	S	2495	24111	26606	0.00139
Streptomyces sp. NEAU-S7GS2	2202000	S	2150	2003	4153	0.00022
Streptomyces sp. S063	2005885	S	2120	1544	3664	0.00019
Streptomyces sp. 3211	1964449	S	2110	3946	6056	0.00032
Streptomyces sp. S8	1837283	S	2089	1912	4001	0.00021
Streptomyces sp. XC 2026	2782004	S	2035	1799	3834	0.00020
Streptomyces sp. ID38640	1265399	S	1998	1686	3684	0.00019
Streptomyces sp. PAMC 26508	1265601	S	1954	11911	13865	0.00073
Streptomyces sp. Sge12	1972846	S	1798	4141	5939	0.00031
Streptomyces sp. 11-1-2	1851167	S	1772	3581	5353	0.00028
Streptomyces sp. WA6-1-16	2879427	S	1748	1954	3702	0.00019
Streptomyces sp. S501	2420135	S	1707	11273	12980	0.00068
Streptomyces sp. HNA39	2850561	S	1524	1899	3423	0.00018
Streptomyces sp. Tue 6075	1661694	S	1445	1812	3257	0.00017
Streptomyces sp. CC0208	2306165	S	1417	41911	43328	0.00227
Streptomyces sp. A144	2871487	S	1416	10368	11784	0.00062
Streptomyces sp. CFMR 7	1649184	S	1385	2584	3969	0.00021
Streptomyces sp. 2114.2	1881022	S	1293	8630	9923	0.00052
Streptomyces sp. CB00271	2750025	S	1266	1826	3092	0.00016
Streptomyces sp. endophyte_N2	2153485	S	1246	3844	5090	0.00027
Streptomyces sp. M56	1495638	S	1228	3540	4768	0.00025
Streptomyces sp. CB04723	2748873	S	1109	2035	3144	0.00016
Streptomyces sp. WAC00303	2933779	S	1101	1676	2777	0.00015
Streptomyces sp. GF20	2692235	S	1030	6359	7389	0.00039
Streptomyces rapamycinicus	1226757	S	20891	4518	25409	0.00133
Streptomyces hygroscopicus	1912	S	15407	21033	36440	0.00191
Streptomyces violaceusniger	68280	S	4112	2604	6716	0.00035
Streptomyces yatensis	155177	S	3529	2469	5998	0.00031
Streptomyces venezuelae	54571	S	37992	12567	50559	0.00265
Streptomyces cadmiisoli	2184053	S	10440	2231	12671	0.00066
Streptomyces aurantiacus	47760	S	9308	1938	11246	0.00059
Streptomyces qaidamensis	1783515	S	6132	2355	8487	0.00044
Streptomyces alboniger	132473	S	4506	1507	6013	0.00031
Streptomyces koyangensis	188770	S	3093	2933	6026	0.00032
Streptomyces griseorubiginosus	67304	S	27003	7799	34802	0.00182
Streptomyces bathyalis	2710756	S	24770	3249	28019	0.00147
Streptomyces nodosus	40318	S	22931	4852	27783	0.00146
Streptomyces aquilus	2548456	S	22271	5736	28007	0.00147
Streptomyces chartreusis	1969	S	20931	7913	28844	0.00151
Streptomyces lydicus	47763	S	20131	13021	33152	0.00174
Streptomyces avermitilis	33903	S	16872	4151	21023	0.00110
Streptomyces armeniacus	83291	S	16678	1893	18571	0.00097
Streptomyces niveus	193462	S	15767	6065	21832	0.00114
Streptomyces griseus	1911	S	5934	4676	10610	0.00056
Streptomyces anulatus	1892	S	4582	4670	9252	0.00048
Streptomyces microflavus	1919	S	2191	9668	11859	0.00062
Streptomyces globisporus	1908	S	1824	13560	15384	0.00081
Streptomyces asoensis	249586	S	15299	3942	19241	0.00101
Streptomyces calvus	67282	S	14727	4978	19705	0.00103
Streptomyces albus	1888	S	14720	6762	21482	0.00113
Streptomyces dengpaensis	2049881	S	14642	3470	18112	0.00095
Streptomyces lincolnensis	1915	S	14637	3681	18318	0.00096
Streptomyces griseochromogenes	68214	S	14399	3468	17867	0.00094
Streptomyces collinus	42684	S	13953	7504	21457	0.00112
Streptomyces seoulensis	73044	S	13411	4286	17697	0.00093
Streptomyces formicae	1616117	S	12840	3575	16415	0.00086
Streptomyces griseoviridis	45398	S	12499	3397	15896	0.00083
Streptomyces durmitorensis	319947	S	12483	2281	14764	0.00077
Streptomyces bingchenggensis	379067	S	12341	1920	14261	0.00075
Streptomyces cyaneochromogenes	2496836	S	11831	3048	14879	0.00078
Streptomyces davaonensis	348043	S	11633	2813	14446	0.00076
Streptomyces capitiformicae	2014920	S	11529	1626	13155	0.00069
Streptomyces ferrugineus	1413221	S	11169	3136	14305	0.00075
Streptomyces buecherae	2763006	S	10711	2176	12887	0.00068
Streptomyces tsukubensis	83656	S	10602	2086	12688	0.00066
Streptomyces actuosus	1885	S	10555	3806	14361	0.00075
Streptomyces broussonetiae	2686304	S	10197	2669	12866	0.00067
Streptomyces roseirectus	2768066	S	10156	2090	12246	0.00064
Streptomyces spectabilis	68270	S	10146	2908	13054	0.00068
Streptomyces fodineus	1904616	S	10118	3154	13272	0.00070
Streptomyces incarnatus	665007	S	10082	2673	12755	0.00067
Streptomyces phaeolivaceus	2653200	S	10071	2497	12568	0.00066
Streptomyces cattleya	29303	S	9643	2216	11859	0.00062
Streptomyces antibioticus	1890	S	9585	2915	12500	0.00065
