name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	2864775	561403	3426178	0.14074
Kitasatospora	2063	G	46340	13473	59813	0.00246
Yinghuangia	2805681	G	39177	5214	44391	0.00182
Streptacidiphilus	228398	G	29571	7088	36659	0.00151
Microbacterium	33882	G	227240	32202	259442	0.01066
Agromyces	33877	G	78062	14931	92993	0.00382
Curtobacterium	2034	G	48336	8289	56625	0.00233
Rathayibacter	33886	G	42062	7802	49864	0.00205
Leifsonia	110932	G	33375	19718	53093	0.00218
Clavibacter	1573	G	32313	18007	50320	0.00207
Leucobacter	55968	G	31207	4858	36065	0.00148
Agrococcus	46352	G	29865	6515	36380	0.00149
Protaetiibacter	2680004	G	15167	3508	18675	0.00077
Salinibacterium	235888	G	11829	1517	13346	0.00055
Cryobacterium	69578	G	10704	1235	11939	0.00049
Frondihabitans	447237	G	9284	1157	10441	0.00043
Plantibacter	190323	G	8210	840	9050	0.00037
Microterricola	518733	G	7991	1557	9548	0.00039
Microcella	337004	G	7363	2085	9448	0.00039
Cnuibacter	1759331	G	5873	999	6872	0.00028
Herbiconiux	881616	G	5660	893	6553	0.00027
Frigoribacterium	96492	G	5468	1265	6733	0.00028
Gryllotalpicola	1195526	G	5175	797	5972	0.00025
Mycetocola	76634	G	4896	504	5400	0.00022
Subtercola	120212	G	4770	318	5088	0.00021
Humibacter	427753	G	4349	765	5114	0.00021
Amnibacterium	1029631	G	4182	796	4978	0.00020
Chryseoglobus	1331730	G	4048	645	4693	0.00019
Gulosibacter	256818	G	3366	771	4137	0.00017
Marisediminicola	1230698	G	3137	309	3446	0.00014
Diaminobutyricimonas	1433997	G	2714	403	3117	0.00013
Agreia	110934	G	2478	238	2716	0.00011
Glaciihabitans	1649454	G	2462	155	2617	0.00011
Arthrobacter	1663	G	184567	40098	224665	0.00923
Pseudarthrobacter	1742993	G	29469	8725	38194	0.00157
Kocuria	57493	G	28510	7117	35627	0.00146
Micrococcus	1269	G	13740	7407	21147	0.00087
Sinomonas	596707	G	12431	2616	15047	0.00062
Glutamicibacter	1742989	G	8047	2429	10476	0.00043
Paenarthrobacter	1742992	G	6665	3262	9927	0.00041
Rothia	32207	G	5899	2066	7965	0.00033
Citricoccus	169133	G	4499	974	5473	0.00022
Nesterenkonia	57494	G	1615	86	1701	0.00007
Cellulomonas	1707	G	113635	34380	148015	0.00608
Actinotalea	458839	G	7250	2257	9507	0.00039
Oerskovia	162491	G	6139	1700	7839	0.00032
Pseudactinotalea	1926259	G	4958	620	5578	0.00023
Paraoerskovia	665568	G	3992	901	4893	0.00020
Janibacter	53457	G	25200	6517	31717	0.00130
Phycicoccus	367298	G	22307	5687	27994	0.00115
Pedococcus	2805645	G	18413	4972	23385	0.00096
Intrasporangium	53357	G	14737	3388	18125	0.00074
Tetrasphaera	99479	G	13673	3269	16942	0.00070
Arsenicicoccus	267408	G	7511	2508	10019	0.00041
Cellulosimicrobium	157920	G	33823	12073	45896	0.00189
Xylanimonas	186188	G	18579	5212	23791	0.00098
Isoptericola	254250	G	14206	5537	19743	0.00081
Ornithinimicrobium	125287	G	28645	5210	33855	0.00139
Serinicoccus	265976	G	21688	5174	26862	0.00110
Brachybacterium	43668	G	35372	5041	40413	0.00166
Dermabacter	36739	G	2397	1161	3558	0.00015
Brevibacterium	1696	G	36335	6216	42551	0.00175
Georgenia	154116	G	27170	6839	34009	0.00140
Dermacoccus	57495	G	9098	2751	11849	0.00049
Luteipulveratus	745364	G	7412	903	8315	0.00034
Allobranchiibius	2040262	G	5764	1100	6864	0.00028
Yimella	908935	G	3340	584	3924	0.00016
Ruania	626119	G	22621	2333	24954	0.00103
Pengzhenrongella	2888818	G	8481	2041	10522	0.00043
Luteimicrobium	754249	G	7454	1975	9429	0.00039
Beutenbergia	84756	G	9202	1310	10512	0.00043
Miniimonas	947525	G	6341	2828	9169	0.00038
Sanguibacter	60919	G	11087	2887	13974	0.00057
Gephyromycinifex	2885697	G	2392	250	2642	0.00011
Austwickia	1184606	G	1802	125	1927	0.00008
Kytococcus	57499	G	4614	1920	6534	0.00027
Demequina	577469	G	1682	113	1795	0.00007
Mycolicibacterium	1866885	G	274797	44139	318936	0.01310
Mycobacterium	1763	G	262076	74232	336308	0.01382
Mycolicibacter	1073531	G	18785	6885	25670	0.00105
Mycobacteroides	670516	G	15225	3869	19094	0.00078
Mycolicibacillus	2126281	G	3748	905	4653	0.00019
Hoyosella	697025	G	1681	78	1759	0.00007
Rhodococcus	1827	G	168193	35981	204174	0.00839
Nocardia	1817	G	167952	25498	193450	0.00795
Corynebacterium	1716	G	96412	20537	116949	0.00480
Gordonia	2053	G	80156	15131	95287	0.00391
Skermania	59613	G	3994	390	4384	0.00018
Tsukamurella	2060	G	26546	5749	32295	0.00133
Dietzia	37914	G	15395	3273	18668	0.00077
Tomitella	741759	G	9163	1627	10790	0.00044
Segniliparus	286801	G	2202	103	2305	0.00009
Nocardioides	1839	G	832214	158772	990986	0.04071
Aeromicrobium	2040	G	50325	8635	58960	0.00242
Marmoricola	86795	G	14988	5024	20012	0.00082
Pimelobacter	2044	G	12848	4309	17157	0.00070
Friedmanniella	53387	G	12177	2111	14288	0.00059
Mumia	1546255	G	8233	1262	9495	0.00039
Micropruina	116071	G	4337	546	4883	0.00020
Microlunatus	29404	G	37907	3735	41642	0.00171
Tessaracoccus	72763	G	28375	5121	33496	0.00138
Brevilactibacter	2717325	G	11135	3792	14927	0.00061
Acidipropionibacterium	1912215	G	9800	3276	13076	0.00054
Propionibacterium	1743	G	9501	2618	12119	0.00050
Auraticoccus	1278221	G	7346	1147	8493	0.00035
Cutibacterium	1912216	G	4343	816	5159	0.00021
Raineyella	1911549	G	4303	499	4802	0.00020
Arachnia	2801844	G	4223	1240	5463	0.00022
Kribbella	182639	G	108392	13697	122089	0.00502
Actinopolymorpha	117156	G	20914	2007	22921	0.00094
Amycolatopsis	1813	G	410903	68196	479099	0.01968
Pseudonocardia	1847	G	304166	45490	349656	0.01436
Saccharopolyspora	1835	G	55599	9687	65286	0.00268
Saccharothrix	2071	G	51464	12442	63906	0.00263
