name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	3936470	164485	4100955	0.51018
Firmicutes	1239	P	95747	30191	125938	0.01567
Deinococcus-Thermus	1297	P	23575	868	24443	0.00304
Cyanobacteria	1117	P	20894	505	21399	0.00266
Chloroflexi	200795	P	17565	262	17827	0.00222
Armatimonadetes	67819	P	1580	8	1588	0.00020
Proteobacteria	1224	P	3152623	196625	3349248	0.41666
Planctomycetes	203682	P	155665	2136	157801	0.01963
Verrucomicrobia	74201	P	21671	735	22406	0.00279
Bacteroidetes	976	P	52872	1030	53902	0.00671
Chlorobi	1090	P	2232	75	2307	0.00029
Gemmatimonadetes	142182	P	33496	1778	35274	0.00439
Acidobacteria	57723	P	54872	1230	56102	0.00698
Nitrospirae	40117	P	5207	70	5277	0.00066
Spirochaetes	203691	P	2277	114	2391	0.00030
Synergistetes	508458	P	1940	158	2098	0.00026
Ascomycota	4890	P	49944	448	50392	0.00627
Basidiomycota	5204	P	3554	98	3652	0.00045
Oomycota	4762	P	4699	573	5272	0.00066
