name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	983836	205236	1189072	0.15994
Microbacteriaceae	85023	F	206748	24971	231719	0.03117
Micrococcaceae	1268	F	85161	18543	103704	0.01395
Cellulomonadaceae	85016	F	35936	11280	47216	0.00635
Intrasporangiaceae	85021	F	28349	6820	35169	0.00473
Promicromonosporaceae	85017	F	17744	6517	24261	0.00326
Ornithinimicrobiaceae	2805590	F	13498	2645	16143	0.00217
Dermabacteraceae	85020	F	10349	1873	12222	0.00164
Brevibacteriaceae	85019	F	10083	1920	12003	0.00161
Dermacoccaceae	145357	F	7234	1588	8822	0.00119
Bogoriellaceae	145358	F	7060	1992	9052	0.00122
Ruaniaceae	1331736	F	6002	6565	12567	0.00169
Beutenbergiaceae	125316	F	4205	1253	5458	0.00073
Sanguibacteraceae	145360	F	2968	877	3845	0.00052
Dermatophilaceae	85018	F	1253	114	1367	0.00018
Kytococcaceae	2805426	F	1177	408	1585	0.00021
Mycobacteriaceae	1762	F	180125	27146	207271	0.02788
Nocardiaceae	85025	F	97585	17590	115175	0.01549
Corynebacteriaceae	1653	F	26167	5988	32155	0.00433
Gordoniaceae	85026	F	22986	4595	27581	0.00371
Tsukamurellaceae	85028	F	7054	1667	8721	0.00117
Dietziaceae	85029	F	4088	4104	8192	0.00110
Nocardioidaceae	85015	F	263635	49210	312845	0.04208
Kribbellaceae	2726069	F	31346	4292	35638	0.00479
Propionibacteriaceae	31957	F	31287	7109	38396	0.00516
Actinopolymorphaceae	2805400	F	6356	653	7009	0.00094
Pseudonocardiaceae	2070	F	294702	37654	332356	0.04471
Micromonosporaceae	28056	F	220263	28286	248549	0.03343
Thermomonosporaceae	2012	F	115543	19912	135455	0.01822
Streptosporangiaceae	2004	F	48934	7113	56047	0.00754
Nocardiopsaceae	83676	F	17724	2629	20353	0.00274
Geodermatophilaceae	85030	F	44944	10368	55312	0.00744
Jiangellaceae	1217100	F	17213	2845	20058	0.00270
Frankiaceae	74712	F	16982	1578	18560	0.00250
Actinomycetaceae	2049	F	16528	2263	18791	0.00253
Bifidobacteriaceae	31953	F	6570	1516	8086	0.00109
Nakamurellaceae	85031	F	6497	789	7286	0.00098
Catenulisporaceae	414877	F	5534	737	6271	0.00084
Jatrophihabitantaceae	2805416	F	3540	284	3824	0.00051
Glycomycetaceae	85034	F	2507	186	2693	0.00036
Kineosporiaceae	83778	F	2108	533	2641	0.00036
Sporichthyaceae	85033	F	1300	562	1862	0.00025
Actinopolysporaceae	622451	F	1046	98	1144	0.00015
Conexibacteraceae	320583	F	80407	11545	91952	0.01237
Miltoncostaeaceae	2843199	F	17966	2235	20201	0.00272
Baekduiaceae	2600303	F	32022	5207	37229	0.00501
Rubrobacteraceae	84997	F	11378	480	11858	0.00160
Iamiaceae	633392	F	22846	2816	25662	0.00345
Ilumatobacteraceae	2448023	F	2711	168	2879	0.00039
Acidimicrobiaceae	84994	F	1009	79	1088	0.00015
