name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. WAC 01438	2203204	S	5510	3199	8709	0.00110
Streptomyces sp. TLI_053	1855352	S	3179	1374	4553	0.00057
Streptomyces sp. SN-593	659352	S	3164	1184	4348	0.00055
Streptomyces sp. ZYC-3	2797636	S	3134	1331	4465	0.00056
Streptomyces sp. CB01881	2078691	S	3101	1315	4416	0.00056
Streptomyces sp. CRXT-G-22	2768066	S	3084	1131	4215	0.00053
Streptomyces sp. CdTB01	1725411	S	2866	1394	4260	0.00054
Streptomyces sp. SCSIO 3032	1264596	S	2831	1038	3869	0.00049
Streptomyces sp. So13.3	2136173	S	2813	921	3734	0.00047
Streptomyces sp. NHF165	2175864	S	2668	906	3574	0.00045
Streptomyces sp. Z423-1	2730915	S	2577	1317	3894	0.00049
Streptomyces sp. P3	2135430	S	2577	1182	3759	0.00047
Streptomyces sp. HM190	2695266	S	2571	1331	3902	0.00049
Streptomyces sp. CRXT-Y-14	2768069	S	2542	1110	3652	0.00046
Streptomyces sp. 3214.6	1882757	S	2513	1264	3777	0.00048
Streptomyces sp. SCUT-3	2684469	S	2485	1348	3833	0.00048
Streptomyces sp. SYP-A7193	2662065	S	2415	2321	4736	0.00060
Streptomyces sp. NA02950	2742137	S	2394	862	3256	0.00041
Streptomyces sp. M2	646637	S	2370	1182	3552	0.00045
Streptomyces sp. CMB-StM0423	2059884	S	2365	2946	5311	0.00067
Streptomyces sp. Go-475	2072505	S	2297	1697	3994	0.00050
Streptomyces sp. QMT-12	2717324	S	2291	903	3194	0.00040
Streptomyces sp. SAT1	1849967	S	2273	1211	3484	0.00044
Streptomyces sp. Tu 2975	2676871	S	2230	1189	3419	0.00043
Streptomyces sp. CRPJ-33	2768068	S	2215	1048	3263	0.00041
Streptomyces sp. SirexAA-E	862751	S	2157	1183	3340	0.00042
Streptomyces sp. YIM 121038	2136401	S	2039	938	2977	0.00037
