name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. DSM 40868	2721173	S	4251	2370	6621	0.00151
Streptomyces sp. SGAir0924	2109593	S	3351	13992	17343	0.00395
Streptomyces sp. WAC 01438	2203204	S	2823	1577	4400	0.00100
Streptomyces sp. SS52	2563602	S	2757	13556	16313	0.00372
Streptomyces sp. SCSIO 3032	1264596	S	2198	826	3024	0.00069
Streptomyces sp. P3	2135430	S	2106	927	3033	0.00069
Streptomyces sp. HM190	2695266	S	1938	967	2905	0.00066
Streptomyces sp. CdTB01	1725411	S	1919	895	2814	0.00064
Streptomyces sp. ZYC-3	2797636	S	1814	721	2535	0.00058
Streptomyces sp. CRXT-G-22	2768066	S	1793	647	2440	0.00056
Streptomyces sp. SN-593	659352	S	1767	670	2437	0.00056
Streptomyces sp. Z423-1	2730915	S	1667	817	2484	0.00057
Streptomyces sp. TLI_053	1855352	S	1617	707	2324	0.00053
Streptomyces sp. CB01881	2078691	S	1614	680	2294	0.00052
Streptomyces sp. So13.3	2136173	S	1604	526	2130	0.00049
Streptomyces sp. NHF165	2175864	S	1544	533	2077	0.00047
Streptomyces sp. M2	646637	S	1459	702	2161	0.00049
Streptomyces sp. NA02950	2742137	S	1377	488	1865	0.00043
Streptomyces sp. SCUT-3	2684469	S	1352	743	2095	0.00048
Streptomyces sp. CRXT-Y-14	2768069	S	1306	562	1868	0.00043
Streptomyces sp. 3214.6	1882757	S	1298	621	1919	0.00044
Streptomyces sp. QMT-12	2717324	S	1223	476	1699	0.00039
Streptomyces sp. CRPJ-33	2768068	S	1205	567	1772	0.00040
Streptomyces sp. Go-475	2072505	S	1156	813	1969	0.00045
Streptomyces sp. C8S0	2585716	S	1133	500	1633	0.00037
Streptomyces sp. SAT1	1849967	S	1114	577	1691	0.00039
Streptomyces sp. YIM 121038	2136401	S	1066	471	1537	0.00035
Streptomyces sp. NEAU-sy36	2751189	S	1060	622	1682	0.00038
Streptomyces sp. QHH-9511	2684468	S	1041	476	1517	0.00035
