name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	1435	864	2299	0.00057
Bradyrhizobium sp. CCBAU 51753	1325100	S	1270	900	2170	0.00054
Bradyrhizobium sp. BTAi1	288000	S	1188	629	1817	0.00045
Bradyrhizobium sp. ORS 285	115808	S	1122	774	1896	0.00047
Bradyrhizobium sp. ORS 278	114615	S	1113	751	1864	0.00046
Bradyrhizobium sp. CCBAU 53338	1325111	S	1031	1418	2449	0.00061
Bradyrhizobium sp. SK17	2057741	S	937	920	1857	0.00046
Bradyrhizobium sp. CCBAU 51765	1325102	S	936	947	1883	0.00047
Bradyrhizobium sp. CCGE-LA001	1223566	S	917	814	1731	0.00043
Bradyrhizobium sp. 6(2017)	1197460	S	810	604	1414	0.00035
Bradyrhizobium sp. CCBAU 53421	1325120	S	791	743	1534	0.00038
Bradyrhizobium sp. 1(2017)	1404888	S	722	714	1436	0.00036
Bradyrhizobium sp. PSBB068	2715960	S	695	681	1376	0.00034
Bradyrhizobium sp. CCBAU 53351	1325114	S	618	996	1614	0.00040
Bradyrhizobium sp. CCBAU 53340	1325112	S	572	753	1325	0.00033
Bradyrhizobium sp.	376	S	488	1773	2261	0.00056
Bradyrhizobium sp. WSM471	319017	S	207	930	1137	0.00028
Bradyrhizobium sp. LCT2	2493093	S	119	648	767	0.00019
Bradyrhizobium erythrophlei	1437360	S	3777	1135	4912	0.00121
Bradyrhizobium diazoefficiens	1355477	S	2930	8313	11243	0.00278
Bradyrhizobium icense	1274631	S	2049	919	2968	0.00073
Bradyrhizobium paxllaeri	190148	S	1451	945	2396	0.00059
Bradyrhizobium lablabi	722472	S	1289	2762	4051	0.00100
Bradyrhizobium oligotrophicum	44255	S	1145	581	1726	0.00043
Bradyrhizobium canariense	255045	S	1065	308	1373	0.00034
Bradyrhizobium genosp. L	83637	S	1063	689	1752	0.00043
Bradyrhizobium japonicum	375	S	895	2315	3210	0.00079
Bradyrhizobium vignae	1549949	S	820	628	1448	0.00036
Bradyrhizobium zhanjiangense	1325107	S	788	603	1391	0.00034
