name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. DSM 40868	2721173	S	12989	7719	20708	0.00496
Streptomyces sp. SGAir0924	2109593	S	4508	18144	22652	0.00542
Streptomyces sp. SS52	2563602	S	3859	18287	22146	0.00530
Streptomyces sp. CdTB01	1725411	S	3386	1679	5065	0.00121
Streptomyces sp. 3214.6	1882757	S	2506	1275	3781	0.00090
Streptomyces sp. WAC 01438	2203204	S	2398	1424	3822	0.00091
Streptomyces sp. SN-593	659352	S	1985	806	2791	0.00067
Streptomyces sp. TLI_053	1855352	S	1813	846	2659	0.00064
Streptomyces sp. M2	646637	S	1769	907	2676	0.00064
Streptomyces sp. P3	2135430	S	1754	819	2573	0.00062
Streptomyces sp. CRXT-G-22	2768066	S	1727	665	2392	0.00057
Streptomyces sp. CB01881	2078691	S	1658	739	2397	0.00057
Streptomyces sp. So13.3	2136173	S	1646	576	2222	0.00053
Streptomyces sp. ZYC-3	2797636	S	1643	684	2327	0.00056
Streptomyces sp. NA02950	2742137	S	1577	596	2173	0.00052
Streptomyces sp. SCSIO 3032	1264596	S	1508	606	2114	0.00051
Streptomyces sp. NHF165	2175864	S	1476	547	2023	0.00048
Streptomyces sp. Z423-1	2730915	S	1459	762	2221	0.00053
Streptomyces sp. CRXT-Y-14	2768069	S	1408	648	2056	0.00049
Streptomyces sp. SCUT-3	2684469	S	1320	775	2095	0.00050
Streptomyces sp. HM190	2695266	S	1232	654	1886	0.00045
Streptomyces sp. NEAU-sy36	2751189	S	1174	732	1906	0.00046
Streptomyces sp. YIM 121038	2136401	S	1169	554	1723	0.00041
Streptomyces sp. SAT1	1849967	S	1166	644	1810	0.00043
Streptomyces sp. PBH53	1577075	S	1124	774	1898	0.00045
Streptomyces sp. QMT-12	2717324	S	1081	450	1531	0.00037
Streptomyces sp. C8S0	2585716	S	1071	504	1575	0.00038
Streptomyces sp. RPA4-2	2721244	S	1067	571	1638	0.00039
Streptomyces sp. Go-475	2072505	S	1044	785	1829	0.00044
Streptomyces sp. RLB1-33	2721243	S	1042	884	1926	0.00046
Streptomyces sp. CRPJ-33	2768068	S	1025	514	1539	0.00037
Streptomyces sp. NA04227	2742136	S	1019	388	1407	0.00034
Streptomyces sp. GS7	2692234	S	994	473	1467	0.00035
Streptomyces sp. QHH-9511	2684468	S	992	484	1476	0.00035
Streptomyces sp. MBT27	1488356	S	964	424	1388	0.00033
Streptomyces sp. JB150	2714844	S	959	633	1592	0.00038
Streptomyces sp. Rer75	2750011	S	947	898	1845	0.00044
Streptomyces sp. CCM_MD2014	1561022	S	920	1252	2172	0.00052
Streptomyces sp. W1SF4	2305220	S	899	505	1404	0.00034
Streptomyces sp. CMB-StM0423	2059884	S	884	912	1796	0.00043
Streptomyces sp. Z022	1442032	S	882	518	1400	0.00034
Streptomyces sp. 2323.1	1938841	S	866	437	1303	0.00031
Streptomyces sp. jing01	2726118	S	810	718	1528	0.00037
Streptomyces sp. RTd22	1841249	S	799	673	1472	0.00035
Streptomyces sp. SYP-A7193	2662065	S	776	690	1466	0.00035
Streptomyces sp. SM18	1736046	S	770	397	1167	0.00028
Streptomyces sp. SirexAA-E	862751	S	759	417	1176	0.00028
Streptomyces sp. HSG2	2797167	S	756	274	1030	0.00025
Streptomyces sp. WAC 01529	2203205	S	746	426	1172	0.00028
Streptomyces sp. Tu 2975	2676871	S	716	393	1109	0.00027
Streptomyces sp. fd1-xmd	1812480	S	682	519	1201	0.00029
Streptomyces sp. INR7	2607753	S	661	587	1248	0.00030
Streptomyces sp. CB09001	2083284	S	659	691	1350	0.00032
Streptomyces sp. S4.7	2705439	S	577	332	909	0.00022
Streptomyces sp. WAC 06738	2203210	S	553	1004	1557	0.00037
Streptomyces sp. TN58	234612	S	548	435	983	0.00024
Streptomyces sp. RPA4-5	2721245	S	547	469	1016	0.00024
Streptomyces sp. CNQ-509	444103	S	527	934	1461	0.00035
Streptomyces sp. SUK 48	2582831	S	491	477	968	0.00023
Streptomyces sp. Mg1	465541	S	488	685	1173	0.00028
Streptomyces sp. AgN23	1188315	S	461	557	1018	0.00024
Streptomyces sp. HF10	2692233	S	460	491	951	0.00023
Streptomyces sp. 769	1262452	S	457	416	873	0.00021
Streptomyces sp. ADI95-16	1522758	S	413	540	953	0.00023
Streptomyces sp. NA02536	2742133	S	400	1335	1735	0.00042
Streptomyces sp. S8	1837283	S	347	405	752	0.00018
Streptomyces sp. S063	2005885	S	342	329	671	0.00016
Streptomyces sp. NEAU-S7GS2	2202000	S	332	372	704	0.00017
Streptomyces sp. Tue 6075	1661694	S	326	367	693	0.00017
Streptomyces sp. MOE7	1961713	S	298	465	763	0.00018
Streptomyces sp. CB00271	2750025	S	289	359	648	0.00016
Streptomyces sp. 3211	1964449	S	277	447	724	0.00017
Streptomyces sp. NA03103	2742134	S	268	1660	1928	0.00046
Streptomyces sp. ID38640	1265399	S	266	302	568	0.00014
Streptomyces sp. XC 2026	2782004	S	249	327	576	0.00014
Streptomyces sp. Sge12	1972846	S	243	589	832	0.00020
Streptomyces sp. KPB2	2305221	S	220	2088	2308	0.00055
Streptomyces sp. 11-1-2	1851167	S	219	509	728	0.00017
Streptomyces sp. CFMR 7	1649184	S	186	361	547	0.00013
Streptomyces sp. CLI2509	1984801	S	151	731	882	0.00021
Streptomyces sp. M56	1495638	S	146	481	627	0.00015
Streptomyces sp. CB04723	2748873	S	145	314	459	0.00011
Streptomyces sp. F2	317660	S	135	197	332	0.00008
Streptomyces sp. Tu6071	355249	S	133	605	738	0.00018
Streptomyces sp. 2114.2	1881022	S	123	832	955	0.00023
Streptomyces sp. endophyte_N2	2153485	S	111	412	523	0.00013
Streptomyces griseorubiginosus	67304	S	7188	3618	10806	0.00259
Streptomyces venezuelae	54571	S	5828	3108	8936	0.00214
Streptomyces capitiformicae	2014920	S	3470	1184	4654	0.00111
Streptomyces actuosus	1885	S	3387	2131	5518	0.00132
Streptomyces chartreusis	1969	S	3088	2216	5304	0.00127
Streptomyces bingchenggensis	379067	S	2441	866	3307	0.00079
Streptomyces albus	1888	S	2396	995	3391	0.00081
Streptomyces bathyalis	2710756	S	2319	681	3000	0.00072
Streptomyces aquilus	2548456	S	2088	1003	3091	0.00074
