name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	2794	1656	4450	0.00081
Bradyrhizobium sp. CCBAU 51753	1325100	S	2107	1479	3586	0.00065
Bradyrhizobium sp. CCBAU 53351	1325114	S	2084	3280	5364	0.00097
Bradyrhizobium sp. BTAi1	288000	S	1974	1052	3026	0.00055
Bradyrhizobium sp. CCBAU 51765	1325102	S	1962	1955	3917	0.00071
Bradyrhizobium sp. ORS 285	115808	S	1717	1185	2902	0.00053
Bradyrhizobium sp. ORS 278	114615	S	1607	1086	2693	0.00049
Bradyrhizobium sp. SK17	2057741	S	1367	1326	2693	0.00049
Bradyrhizobium sp. CCGE-LA001	1223566	S	1349	1184	2533	0.00046
Bradyrhizobium sp. 6(2017)	1197460	S	1339	987	2326	0.00042
Bradyrhizobium sp. CCBAU 53421	1325120	S	1301	1204	2505	0.00046
Bradyrhizobium sp. 1(2017)	1404888	S	1278	1247	2525	0.00046
Bradyrhizobium sp. CCBAU 53338	1325111	S	1231	1653	2884	0.00052
Bradyrhizobium sp. PSBB068	2715960	S	1205	1167	2372	0.00043
Bradyrhizobium sp. CCBAU 53340	1325112	S	1164	1498	2662	0.00048
Bradyrhizobium sp.	376	S	846	2988	3834	0.00070
Bradyrhizobium sp. WSM471	319017	S	336	1470	1806	0.00033
Bradyrhizobium sp. LCT2	2493093	S	193	1020	1213	0.00022
Bradyrhizobium sp. SG09	2599805	S	112	1665	1777	0.00032
Bradyrhizobium sp. TM102	2599819	S	108	1652	1760	0.00032
Bradyrhizobium erythrophlei	1437360	S	7029	2120	9149	0.00166
Bradyrhizobium diazoefficiens	1355477	S	5841	16126	21967	0.00399
Bradyrhizobium icense	1274631	S	3072	1370	4442	0.00081
Bradyrhizobium paxllaeri	190148	S	2782	1784	4566	0.00083
Bradyrhizobium lablabi	722472	S	2021	4088	6109	0.00111
Bradyrhizobium symbiodeficiens	1404367	S	1975	2532	4507	0.00082
Bradyrhizobium oligotrophicum	44255	S	1790	913	2703	0.00049
Bradyrhizobium guangxiense	1325115	S	1721	2529	4250	0.00077
Bradyrhizobium guangdongense	1325090	S	1697	2177	3874	0.00070
Bradyrhizobium canariense	255045	S	1632	472	2104	0.00038
Bradyrhizobium genosp. L	83637	S	1626	1048	2674	0.00049
Bradyrhizobium japonicum	375	S	1539	3994	5533	0.00100
Bradyrhizobium cosmicum	1404864	S	1487	1649	3136	0.00057
Bradyrhizobium vignae	1549949	S	1423	1080	2503	0.00045
Bradyrhizobium zhanjiangense	1325107	S	1412	1069	2481	0.00045
Bradyrhizobium arachidis	858423	S	1280	1199	2479	0.00045
Bradyrhizobium guangzhouense	1325095	S	1238	1581	2819	0.00051
Bradyrhizobium genosp. B	83627	S	1199	886	2085	0.00038
Bradyrhizobium amphicarpaeae	1404768	S	1142	1536	2678	0.00049
Bradyrhizobium betae	244734	S	913	1260	2173	0.00039
Bradyrhizobium ottawaense	931866	S	242	2977	3219	0.00058
Bosea sp. Tri-49	1867715	S	1849	908	2757	0.00050
Bosea sp. F3-2	2599640	S	1745	1038	2783	0.00051
Bosea sp. AS-1	2015316	S	1737	1018	2755	0.00050
Bosea sp. RAC05	1842539	S	1708	919	2627	0.00048
Bosea sp. ANAM02	2020412	S	1450	887	2337	0.00042
Bosea sp. PAMC 26642	1792307	S	1322	654	1976	0.00036
Bosea vaviloviae	1526658	S	1505	778	2283	0.00041
Rhodopseudomonas palustris	1076	S	11417	11507	22924	0.00416
Nitrobacter hamburgensis	912	S	1957	808	2765	0.00050
Nitrobacter winogradskyi	913	S	1276	641	1917	0.00035
Tardiphaga robiniae	943830	S	1300	528	1828	0.00033
