name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 051011	858422	S	1040	773	1813	0.00141
Bradyrhizobium sp. CCBAU 51753	1325100	S	654	590	1244	0.00097
Bradyrhizobium sp. BTAi1	288000	S	513	349	862	0.00067
Bradyrhizobium sp. ORS 278	114615	S	512	448	960	0.00075
Bradyrhizobium sp. ORS 285	115808	S	497	443	940	0.00073
Bradyrhizobium sp. SK17	2057741	S	408	511	919	0.00071
Bradyrhizobium sp. PSBB068	2715960	S	383	485	868	0.00067
Bradyrhizobium sp. 6(2017)	1197460	S	374	359	733	0.00057
Bradyrhizobium sp. CCBAU 53421	1325120	S	352	428	780	0.00061
Bradyrhizobium sp. CCBAU 53338	1325111	S	328	564	892	0.00069
Bradyrhizobium sp. CCBAU 51765	1325102	S	320	408	728	0.00057
Bradyrhizobium sp. CCGE-LA001	1223566	S	311	352	663	0.00051
Bradyrhizobium sp. 1(2017)	1404888	S	311	393	704	0.00055
Bradyrhizobium sp. CCBAU 53351	1325114	S	266	536	802	0.00062
Bradyrhizobium sp. CCBAU 53340	1325112	S	234	385	619	0.00048
Bradyrhizobium sp.	376	S	179	852	1031	0.00080
Bradyrhizobium erythrophlei	1437360	S	1730	643	2373	0.00184
Bradyrhizobium diazoefficiens	1355477	S	1251	4387	5638	0.00438
Bradyrhizobium paxllaeri	190148	S	1251	995	2246	0.00174
Bradyrhizobium icense	1274631	S	1241	682	1923	0.00149
Bradyrhizobium oligotrophicum	44255	S	547	349	896	0.00070
Bradyrhizobium lablabi	722472	S	542	1405	1947	0.00151
Bradyrhizobium genosp. L	83637	S	488	391	879	0.00068
Bradyrhizobium canariense	255045	S	413	148	561	0.00044
Bradyrhizobium guangdongense	1325090	S	405	657	1062	0.00083
Bradyrhizobium vignae	1549949	S	350	333	683	0.00053
Bradyrhizobium japonicum	375	S	350	1142	1492	0.00116
Bradyrhizobium zhanjiangense	1325107	S	336	319	655	0.00051
Bradyrhizobium symbiodeficiens	1404367	S	321	522	843	0.00065
Bradyrhizobium genosp. B	83627	S	294	273	567	0.00044
Bradyrhizobium guangzhouense	1325095	S	293	474	767	0.00060
Bradyrhizobium cosmicum	1404864	S	292	408	700	0.00054
Bradyrhizobium arachidis	858423	S	277	327	604	0.00047
Bradyrhizobium guangxiense	1325115	S	268	500	768	0.00060
Bradyrhizobium betae	244734	S	197	340	537	0.00042
Bradyrhizobium amphicarpaeae	1404768	S	196	333	529	0.00041
Bosea sp. Tri-49	1867715	S	527	307	834	0.00065
Bosea sp. RAC05	1842539	S	464	294	758	0.00059
Bosea sp. F3-2	2599640	S	462	320	782	0.00061
Bosea sp. AS-1	2015316	S	388	264	652	0.00051
Bosea sp. ANAM02	2020412	S	349	248	597	0.00046
Bosea sp. PAMC 26642	1792307	S	309	180	489	0.00038
Bosea vaviloviae	1526658	S	388	238	626	0.00049
Rhodopseudomonas palustris	1076	S	2877	2933	5810	0.00451
Tardiphaga robiniae	943830	S	336	164	500	0.00039
Afipia carboxidovorans	40137	S	371	142	513	0.00040
Afipia sp. GAS231	1882747	S	326	509	835	0.00065
Nitrobacter hamburgensis	912	S	348	167	515	0.00040
Nitrobacter winogradskyi	913	S	280	161	441	0.00034
Variibacter gotjawalensis	1333996	S	575	167	742	0.00058
Rhizobium sp. BG4	2613770	S	199	111	310	0.00024
Rhizobium sp. NXC24	2048897	S	169	99	268	0.00021
Rhizobium sp. WL3	2603277	S	144	86	230	0.00018
Rhizobium sp. 11515TR	2028343	S	139	96	235	0.00018
Rhizobium sp. ACO-34A	1571470	S	132	75	207	0.00016
Rhizobium sp. NLR16a	2731112	S	104	287	391	0.00030
Rhizobium sp. CIAT894	2020312	S	103	190	293	0.00023
Rhizobium leguminosarum	384	S	932	2727	3659	0.00284
Rhizobium etli	29449	S	292	786	1078	0.00084
Rhizobium favelukesii	348824	S	211	87	298	0.00023
Rhizobium pseudoryzae	379684	S	199	102	301	0.00023
Rhizobium jaguaris	1312183	S	191	74	265	0.00021
Rhizobium phaseoli	396	S	150	641	791	0.00061
Rhizobium lusitanum	293958	S	127	81	208	0.00016
Rhizobium lentis	1138194	S	127	123	250	0.00019
Rhizobium bangladeshense	1138189	S	120	98	218	0.00017
Rhizobium gallicum	56730	S	119	293	412	0.00032
Rhizobium tropici	398	S	108	78	186	0.00015
Rhizobium flavum	1335061	S	107	225	332	0.00026
Rhizobium rosettiformans	1368430	S	100	100	200	0.00016
Agrobacterium tumefaciens	358	S	427	1227	1654	0.00128
Agrobacterium vitis	373	S	199	71	270	0.00021
Neorhizobium galegae	399	S	444	187	631	0.00049
Neorhizobium sp. SOG26	2060726	S	187	197	384	0.00030
Neorhizobium sp. NCHU2750	1825976	S	149	88	237	0.00018
Sinorhizobium meliloti	382	S	1702	1126	2828	0.00220
Sinorhizobium fredii	380	S	1038	2709	3747	0.00291
Sinorhizobium sp. BG8	2613773	S	214	80	294	0.00023
Sinorhizobium sp. RAC02	1842534	S	191	109	300	0.00023
Sinorhizobium americanum	194963	S	309	289	598	0.00046
Sinorhizobium medicae	110321	S	285	117	402	0.00031
Ensifer adhaerens	106592	S	411	497	908	0.00071
Ensifer mexicanus	375549	S	393	163	556	0.00043
Ensifer alkalisoli	1752398	S	255	160	415	0.00032
Ensifer sojae	716925	S	241	207	448	0.00035
Ensifer sp. PDNC004	2811423	S	185	168	353	0.00027
Shinella sp. HZN7	879274	S	368	364	732	0.00057
Shinella sp. PSBB067	2715959	S	279	317	596	0.00046
Kaistia sp. 32K	2795690	S	537	303	840	0.00065
Georhizobium profundi	2341112	S	239	110	349	0.00027
Ciceribacter thiooxidans	1969821	S	237	111	348	0.00027
Mesorhizobium sp. N3	675281	S	627	374	1001	0.00078
Mesorhizobium sp. 8	2584466	S	480	345	825	0.00064
Mesorhizobium sp. Pch-S	2082387	S	343	146	489	0.00038
Mesorhizobium sp. J8	2777475	S	328	319	647	0.00050
Mesorhizobium sp. DCY119	2108445	S	318	207	525	0.00041
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	288	318	606	0.00047
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	267	277	544	0.00042
Mesorhizobium sp. 131-2-1	2744518	S	254	333	587	0.00046
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	248	223	471	0.00037
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	245	324	569	0.00044
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	241	352	593	0.00046
Mesorhizobium sp. INR15	2654248	S	225	118	343	0.00027
Mesorhizobium sp. L-2-11	2744521	S	211	218	429	0.00033
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	210	260	470	0.00037
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	180	198	378	0.00029
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	176	225	401	0.00031
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	167	176	343	0.00027
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	155	171	326	0.00025
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	154	345	499	0.00039
Mesorhizobium sp. NBSH29	2654249	S	145	41	186	0.00014
Mesorhizobium sp. 113-3-3	2744516	S	136	194	330	0.00026
Mesorhizobium sp. L-8-10	2744523	S	134	780	914	0.00071
Mesorhizobium sp. NZP2077	2483404	S	132	137	269	0.00021
Mesorhizobium sp. L-8-3	2744522	S	120	720	840	0.00065
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	114	147	261	0.00020
Mesorhizobium oceanicum	1670800	S	434	247	681	0.00053
Mesorhizobium amorphae	71433	S	227	162	389	0.00030
Mesorhizobium australicum	536018	S	186	190	376	0.00029
Mesorhizobium loti	381	S	177	1998	2175	0.00169
Mesorhizobium ciceri	39645	S	162	1216	1378	0.00107
Mesorhizobium opportunistum	593909	S	158	163	321	0.00025
Mesorhizobium huakuii	28104	S	131	226	357	0.00028
Mesorhizobium japonicum	2066070	S	117	289	406	0.00032
Mesorhizobium erdmanii	1777866	S	115	121	236	0.00018
Chelativorans sp. BNC1	266779	S	1694	617	2311	0.00179
Aminobacter sp. MSH1	374606	S	315	643	958	0.00074
Nitratireductor sp. SY7	2599600	S	451	290	741	0.00058
Nitratireductor sp. OM-1	1756988	S	217	86	303	0.00024
Roseitalea porphyridii	1852022	S	360	210	570	0.00044
Hoeflea sp. IMCC20628	1620421	S	164	51	215	0.00017
Hoeflea phototrophica	244596	S	126	46	172	0.00013
Oricola thermophila	2742145	S	241	106	347	0.00027
Phyllobacterium zundukense	1867719	S	127	45	172	0.00013
Salaquimonas pukyongi	2712698	S	119	27	146	0.00011
Methylobacterium sp. 4-46	426117	S	642	503	1145	0.00089
Methylobacterium sp. 17Sr1-43	2202828	S	374	343	717	0.00056
Methylobacterium sp. WL1	2603276	S	283	278	561	0.00044
Methylobacterium sp. 17Sr1-1	2202826	S	246	494	740	0.00058
Methylobacterium nodulans	114616	S	660	305	965	0.00075
Methylobacterium aquaticum	270351	S	554	895	1449	0.00113
Methylobacterium durans	2202825	S	422	205	627	0.00049
