#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,PH4008,SAMN27964159,PRJNA833221,GCA_025531515.1,Scaffold,28.0515,48.3,,JAMYHJ01,468,0,2022-10-03T00:00:00Z,,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,PH4021C,SAMN27964160,PRJNA833221,GCA_025531435.1,Scaffold,28.0352,48.3,,JAMYHK01,458,0,2022-10-03T00:00:00Z,,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,Bt65,SAMN20427119,PRJNA749953,GCA_023650535.1,Complete,19.7454,48.5018,chromosome 1:CP097910.1; chromosome 2:CP097911.1; chromosome 3:CP097912.1; chromosome 4:CP097913.1; chromosome 5:CP097914.1; chromosome 6:CP097915.1; chromosome 7:CP097916.1; chromosome 8:CP097917.1; chromosome 9:CP097918.1; chromosome 10:CP097919.1; chromosome 11:CP097920.1; chromosome 12:CP097921.1; chromosome 13:CP097922.1; chromosome 14:CP097923.1,,14,0,2022-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/650/535/GCA_023650535.1_ASM2365053v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,Bt81,SAMN20427120,PRJNA749953,GCA_023650555.1,Complete,19.7441,48.5191,chromosome 1:CP097924.1; chromosome 2:CP097925.1; chromosome 3:CP097926.1; chromosome 4:CP097927.1; chromosome 5:CP097928.1; chromosome 6:CP097929.1; chromosome 7:CP097930.1; chromosome 8:CP097931.1; chromosome 9:CP097932.1; chromosome 10:CP097933.1; chromosome 11:CP097934.1; chromosome 12:CP097935.1; chromosome 13:CP097936.1; chromosome 14:CP097937.1,,14,0,2022-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/650/555/GCA_023650555.1_ASM2365055v1,
Cryptococcus neoformans var. neoformans B-3501A,Eukaryota;Fungi;Basidiomycetes,B-3501A,SAMN02953604,PRJNA12386,GCA_000149385.1, Chromosome,19.6998,48.5396,chromosome 1:NC_009177.1/CM000040.1; chromosome 2:NC_009178.1/CM000041.1; chromosome 3:NC_009179.1/CM000042.1; chromosome 4:NC_009180.1/CM000043.1; chromosome 5:NC_009181.1/CM000044.1; chromosome 6:NC_009182.1/CM000045.1; chromosome 7:NC_009183.1/CM000046.1; chromosome 8:NC_009184.1/CM000047.1; chromosome 9:NC_009185.1/CM000048.1; chromosome 10:NC_009186.1/CM000049.1; chromosome 11:NC_009187.1/CM000050.1; chromosome 12:NC_009188.1/CM000051.1; chromosome 13:NC_009189.1/CM000052.1; chromosome 14:NC_009190.1/CM000053.1,AAEY01,14,13156,2004-07-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/385/GCA_000149385.1_ASM14938v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/385/GCF_000149385.1_ASM14938v1
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,VYD146,SAMN13879943,PRJNA577944,GCA_011057555.1,Contig,19.4548,48.2,,JAACNL01,20,0,2020-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/057/555/GCA_011057555.1_ASM1105755v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,VYD147,SAMN13879944,PRJNA577944,GCA_011057515.1,Contig,19.3,48.2,,JAACNK01,16,0,2020-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/057/515/GCA_011057515.1_ASM1105751v1,
Cryptococcus neoformans var. grubii Bt85,Eukaryota;Fungi;Basidiomycetes,Bt85,SAMN01162765,PRJNA174559,GCA_002215835.1,Scaffold,19.2386,46.3,,AMKP01,39,6900,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,A1_35_8,SAMN10848832,PRJNA517966,GCA_010233735.1, Chromosome,19.2319,48.2014,chromosome 1:CP048087.1; chromosome 2:CP048088.1; chromosome (3;11):CP048100.1; chromosome 4:CP048090.1; chromosome 5:CP048091.1; chromosome 6:CP048092.1; chromosome 7:CP048093.1; chromosome 8:CP048094.1; chromosome 9:CP048095.1; chromosome 10:CP048096.1; chromosome (11;3):CP048089.1; chromosome 12:CP048097.1; chromosome 13:CP048098.1; chromosome 14:CP048099.1; mitochondrion MT:CP048101.1,,15,0,2020-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/233/735/GCA_010233735.1_ASM1023373v1,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Ze90-1,SAMN10848927,PRJNA517966,GCA_010233705.1, Chromosome,19.1894,48.3022,chromosome 1:CP048072.1; chromosome 2:CP048073.1; chromosome (3;11):CP048074.1; chromosome 4:CP048075.1; chromosome 5:CP048076.1; chromosome 6:CP048077.1; chromosome 7:CP048078.1; chromosome 8:CP048079.1; chromosome 9:CP048080.1; chromosome 10:CP048081.1; chromosome (11;3):CP048082.1; chromosome 12:CP048083.1; chromosome 13:CP048084.1; chromosome 14:CP048085.1; mitochondrion MT:CP048086.1,,15,0,2020-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/233/705/GCA_010233705.1_ASM1023370v1,
