#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Bacillus subtilis BEST7613,Bacteria;Terrabacteria group;Firmicutes,BEST7613,SAMD00061008,PRJDB112,GCA_000328745.1,Complete,7.58547,45.7,chromosome:AP012495.1,,1,7270,2012-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/745/GCA_000328745.1_ASM32874v1,
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DE0551,SAMN11792711,PRJNA543692,GCA_007671975.1,Scaffold,6.67887,39.1,,VDUC01,169,0,2019-07-30T00:00:00Z,,
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,JRS10,SAMEA3484409,PRJEB9876,GCA_001286785.1,Contig,5.35239,35.6,,CYHR01,1907,5222,2015-08-27T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/286/785/GCF_001286785.1_Bacillus_JRS10
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,G25-135,SAMN03654382,PRJNA283763,GCA_015845955.1,Contig,4.93595,43.6,,LDIN01,19,4835,2020-12-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/845/955/GCA_015845955.1_ASM1584595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/845/955/GCF_015845955.1_ASM1584595v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DE0211,SAMN11792371,PRJNA543692,GCA_007677815.1,Scaffold,4.78476,43.5,,VEDJ01,2215,0,2019-07-30T00:00:00Z,,
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,H19,SAMN09041732,PRJNA454800,GCA_003336815.1,Scaffold,4.76255,42.7,,QEQU01,273,4488,2018-07-24T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/336/815/GCF_003336815.1_ASM333681v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DE0468,SAMN11792628,PRJNA543692,GCA_007667515.1,Scaffold,4.62596,43.5,,VDRH01,1210,4577,2019-07-30T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/515/GCF_007667515.1_ASM766751v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,KSC 386,SAMN27921968,PRJNA832800,GCA_023714485.1,Contig,4.62397,45.5,,JAMAUE01,846,5014,2022-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/714/485/GCA_023714485.1_ASM2371448v1,
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DE0224,SAMN11792384,PRJNA543692,GCA_008764245.1,Scaffold,4.59354,38.4,,VTQV01,155,4236,2019-10-01T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/764/245/GCF_008764245.1_FS357
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,B4122,SAMN04100265,PRJNA295652,GCA_001619555.1,Scaffold,4.56562,43.2,,LJZV01,36,4626,2016-04-13T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/619/555/GCF_001619555.1_ASM161955v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,S1,SAMN18354472,PRJNA715610,GCA_017601115.1,Contig,4.48826,42.6,,JAGFPW01,101,4426,2021-03-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/601/115/GCA_017601115.1_ASM1760111v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/601/115/GCF_017601115.1_ASM1760111v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,SRCM103623,SAMN10796448,PRJNA516726,GCA_004119175.1,Contig,4.46286,43.4,,SDJO01,4,4460,2019-01-29T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/119/175/GCF_004119175.1_ASM411917v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,SRCM117323,SAMN30618819,PRJNA875560,GCA_025245215.1,Contig,4.45937,42.822,plasmid unnamed1:NZ_JAOBXH010000002.1/; plasmid unnamed2:NZ_JAOBXH010000006.1/; plasmid unnamed3:NZ_JAOBXH010000007.1/,JAOBXH01,7,4481,2022-09-18T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/245/215/GCF_025245215.1_ASM2524521v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,RS10,SAMN13510061,PRJNA594265,GCA_009937745.1, Chromosome,4.4572,43.4,chromosome:NZ_CP046860.1/CP046860.1,,1,4359,2020-01-28T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/937/745/GCF_009937745.1_ASM993774v1
Bacillus subtilis S1-4,Bacteria;Terrabacteria group;Firmicutes,S1-4,SAMN02470985,PRJNA174581,GCA_000340295.1,Contig,4.45405,43.0944,plasmid pSU01:NZ_ANIP01000001.1/ANIP01000001.1,ANIP01,104,4550,2012-12-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/295/GCA_000340295.1_ASM34029v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/295/GCF_000340295.1_ASM34029v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,BTU5,SAMN25236356,PRJNA800225,GCA_021728955.1,Contig,4.44287,43,,JAKKDR01,12,4522,2022-01-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/728/955/GCA_021728955.1_ASM2172895v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/728/955/GCF_021728955.1_ASM2172895v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NIB353,SAMN23526796,PRJNA785077,GCA_021172185.1,Complete,4.43668,42.9972,chromosome:NZ_CP089148.1/CP089148.1; plasmid pNIB353_1:NZ_CP089149.1/CP089149.1; plasmid pNIB353_2:NZ_CP089150.1/CP089150.1; plasmid pNIB353_3:NZ_CP089151.1/CP089151.1; plasmid pNIB353_4:NZ_CP089152.1/CP089152.1; plasmid pNIB353_5:NZ_CP089153.1/CP089153.1,,6,4570,2021-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/172/185/GCA_021172185.1_ASM2117218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/172/185/GCF_021172185.1_ASM2117218v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6108,SAMEA8103430,PRJEB43128,GCA_905311395.1,Contig,4.42011,43.3,,CAJNPU01,76,4504,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/311/395/GCA_905311395.1_NRS6108,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/311/395/GCF_905311395.1_NRS6108
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,FX-1,SAMN16229794,PRJNA664669,GCA_022647025.1,Complete,4.40244,42.8459,chromosome:NZ_CP061870.1/CP061870.1; plasmid unnamed1:NZ_CP061871.1/CP061871.1,,2,4346,2022-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/647/025/GCA_022647025.1_ASM2264702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/647/025/GCF_022647025.1_ASM2264702v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DE0387,SAMN11792547,PRJNA543692,GCA_007673065.1,Scaffold,4.40189,43.3,,VDYY01,389,4535,2019-07-30T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/673/065/GCF_007673065.1_ASM767306v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,EFB(1B)B16,SAMN05712598,PRJNA344835,GCA_020509345.1,Scaffold,4.36329,43.1,,MPOQ01,254,4495,2021-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/509/345/GCA_020509345.1_ASM2050934v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/509/345/GCF_020509345.1_ASM2050934v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,PT26A,SAMN04283650,PRJNA392442,GCA_003399995.1,Scaffold,4.36059,43.2,,NMOM01,24,4413,2018-08-16T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/399/995/GCF_003399995.1_ASM339999v1
