#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","L58-55","SAMN05452976","PRJNA335730","GCA_002103235.2","Complete",3.03714,37.9698,"chromosome:NZ_CP098507.1/CP098507.1; plasmid pLM58-55:NZ_CP098508.1/CP098508.1",,2,2949,"2022-06-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/103/235/GCF_002103235.2_ASM210323v2"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","10-092876-1155 LM6","SAMN06297524","PRJNA371291","GCA_001999045.1","Complete",2.97445,38,"chromosome:NZ_CP019619.1/CP019619.1",,1,2852,"2017-02-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/045/GCF_001999045.1_ASM199904v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","MF4626","SAMN08056486","PRJNA419519","GCA_002831485.1","Complete",3.03263,37.973,"chromosome:NZ_CP025082.1/CP025082.1; plasmid pMF4626:NZ_CP025083.1/CP025083.1",,2,2959,"2017-12-10T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/831/485/GCF_002831485.1_ASM283148v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","1BR16","SAMN14260764","PRJNA609411","GCA_018336695.1","Complete",2.97379,37.9,"chromosome:NZ_CP050027.1/CP050027.1",,1,2924,"2021-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/695/GCA_018336695.1_ASM1833669v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/695/GCF_018336695.1_ASM1833669v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","4/52-1953","SAMN13973456","PRJNA604519","GCA_010443035.1","Complete",2.97363,38.2,"chromosome:NZ_CP048401.1/CP048401.1",,1,2925,"2020-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/443/035/GCA_010443035.1_ASM1044303v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/443/035/GCF_010443035.1_ASM1044303v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","10-092876-1559 LM1","SAMN06297508","PRJNA371291","GCA_001998915.1","Complete",2.97255,37.9,"chromosome:NZ_CP019614.1/CP019614.1",,1,2920,"2017-02-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/998/915/GCF_001998915.1_ASM199891v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","10-092876-1235 LM8","SAMN06297526","PRJNA371291","GCA_001999085.1","Complete",2.96682,37.8,"chromosome:NZ_CP019621.1/CP019621.1",,1,2858,"2017-02-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/085/GCF_001999085.1_ASM199908v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN028538","SAMN03285109","PRJNA215355","GCA_002105615.1","Complete",2.9666,38,"chromosome:NZ_CP020827.1/CP020827.1",,1,2882,"2017-04-24T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/615/GCF_002105615.1_ASM210561v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","s2020TJ","SAMN23176672","PRJNA780773","GCA_023515845.1","Complete",3.02367,38.06,"chromosome:NZ_CP087264.1/CP087264.1; plasmid unnamed:NZ_CP087265.1/CP087265.1",,2,2889,"2022-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/515/845/GCA_023515845.1_ASM2351584v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/515/845/GCF_023515845.1_ASM2351584v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","FORC_057","SAMN06625636","PRJNA380043","GCA_003999665.1","Complete",2.96585,38,"chromosome:NZ_CP021174.1/CP021174.1",,1,2886,"2019-01-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/999/665/GCF_003999665.1_ASM399966v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","10-092876-1016 LM11","SAMN06297604","PRJNA371291","GCA_001999145.1","Complete",2.96566,38,"chromosome:NZ_CP019624.1/CP019624.1",,1,2853,"2017-02-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/145/GCF_001999145.1_ASM199914v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","AUSMDU00007774","SAMN13191637","PRJNA556438","GCA_009664735.1","Complete",2.96454,38,"chromosome:NZ_CP045969.1/CP045969.1",,1,2881,"2019-11-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/735/GCF_009664735.1_ASM966473v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","S10","SAMN14260707","PRJNA609411","GCA_018336755.1","Complete",2.96447,37.9,"chromosome:NZ_CP050024.1/CP050024.1",,1,2871,"2021-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/755/GCA_018336755.1_ASM1833675v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/755/GCF_018336755.1_ASM1833675v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","S8","SAMN14260726","PRJNA609411","GCA_018336775.1","Complete",2.96405,37.9,"chromosome:NZ_CP050025.1/CP050025.1",,1,2874,"2021-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/775/GCA_018336775.1_ASM1833677v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/775/GCF_018336775.1_ASM1833677v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_1080","SAMN16357249","PRJNA231221","GCA_016728025.1","Complete",2.96372,38,"chromosome:NZ_CP068150.1/CP068150.1",,1,2908,"2021-01-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/728/025/GCA_016728025.1_ASM1672802v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/728/025/GCF_016728025.1_ASM1672802v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","S12","SAMN14260686","PRJNA609411","GCA_018336715.1","Complete",2.96028,37.9,"chromosome:NZ_CP050023.1/CP050023.1",,1,2882,"2021-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/715/GCA_018336715.1_ASM1833671v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/715/GCF_018336715.1_ASM1833671v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","MB5","SAMN14260728","PRJNA609411","GCA_018336735.1","Complete",2.95988,37.8,"chromosome:NZ_CP050026.1/CP050026.1",,1,2945,"2021-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/735/GCA_018336735.1_ASM1833673v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/735/GCF_018336735.1_ASM1833673v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","MB2","SAMN14260762","PRJNA609411","GCA_018336795.1","Complete",2.95974,37.8,"chromosome:NZ_CP050129.1/CP050129.1",,1,2940,"2021-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/336/795/GCA_018336795.1_ASM1833679v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/795/GCF_018336795.1_ASM1833679v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","J2-031","SAMN02203124","PRJNA203445","GCA_000438645.1","Complete",2.95891,38,"chromosome:NC_021837.1/CP006593.1",,1,2891,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/645/GCA_000438645.1_ASM43864v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/645/GCF_000438645.1_ASM43864v1"
